 i       X     FEXACT   FI_UPWIND   ERR_UP
   0  -1.00000   0.00000    0.261862    0.261862
   1  -0.97980   0.00000    0.261862    0.261862
   2  -0.95960   0.00000    0.261862    0.261862
   3  -0.93939   0.00000    0.261861    0.261861
   4  -0.91919   0.00000    0.261861    0.261861
   5  -0.89899   0.00000    0.261861    0.261861
   6  -0.87879   0.00000    0.261861    0.261861
   7  -0.85859   0.00000    0.261861    0.261861
   8  -0.83838   0.00000    0.261861    0.261861
   9  -0.81818   0.00000    0.261861    0.261861
  10  -0.79798   0.00062    0.261861    0.261245
  11  -0.77778   0.00948    0.261860    0.252377
  12  -0.75758   0.07789    0.261860    0.183967
  13  -0.73737   0.34120    0.261860    0.079335
  14  -0.71717   0.79703    0.261860    0.535165
  15  -0.69697   0.99291    0.261860    0.731050
  16  -0.67677   0.65965    0.261860    0.397793
  17  -0.65657   0.23372    0.261860    0.028143
  18  -0.63636   0.04416    0.261860    0.217699
  19  -0.61616   0.00445    0.261860    0.257410
  20  -0.59596   0.00000    0.261859    0.261859
  21  -0.57576   0.00000    0.261859    0.261859
  22  -0.55556   0.00000    0.261859    0.261859
  23  -0.53535   0.00000    0.261859    0.261859
  24  -0.51515   0.00000    0.261859    0.261859
  25  -0.49495   0.00000    0.261859    0.261859
  26  -0.47475   0.00000    0.261859    0.261859
  27  -0.45455   0.00000    0.261859    0.261859
  28  -0.43434   0.00000    0.261858    0.261858
  29  -0.41414   0.00000    0.261858    0.261858
  30  -0.39394   1.00000    0.261858    0.738142
  31  -0.37374   1.00000    0.261858    0.738142
  32  -0.35354   1.00000    0.261858    0.738142
  33  -0.33333   1.00000    0.261858    0.738142
  34  -0.31313   1.00000    0.261858    0.738142
  35  -0.29293   1.00000    0.261858    0.738142
  36  -0.27273   1.00000    0.261858    0.738142
  37  -0.25253   1.00000    0.261858    0.738142
  38  -0.23232   1.00000    0.261858    0.738142
  39  -0.21212   1.00000    0.261858    0.738142
  40  -0.19192   0.00000    0.261858    0.261858
  41  -0.17172   0.00000    0.261858    0.261858
  42  -0.15152   0.00000    0.261858    0.261858
  43  -0.13131   0.00000    0.261858    0.261858
  44  -0.11111   0.00000    0.261858    0.261858
  45  -0.09091   0.00000    0.261858    0.261858
  46  -0.07071   0.00000    0.261859    0.261859
  47  -0.05051   0.00000    0.261859    0.261859
  48  -0.03030   0.00000    0.261859    0.261859
  49  -0.01010   0.00000    0.261859    0.261859
  50   0.01010   0.10071    0.261859    0.161151
  51   0.03030   0.30273    0.261859    0.040875
  52   0.05051   0.50476    0.261859    0.242901
  53   0.07071   0.70679    0.261859    0.444928
  54   0.09091   0.90881    0.261860    0.646954
  55   0.11111   0.88916    0.261860    0.627301
  56   0.13131   0.68713    0.261860    0.425274
  57   0.15152   0.48511    0.261860    0.223248
  58   0.17172   0.28308    0.261860    0.021221
  59   0.19192   0.08105    0.261860    0.180805
  60   0.21212   0.00000    0.261860    0.261860
  61   0.23232   0.00000    0.261860    0.261860
  62   0.25253   0.00000    0.261860    0.261860
  63   0.27273   0.00000    0.261861    0.261861
  64   0.29293   0.00000    0.261861    0.261861
  65   0.31313   0.00000    0.261861    0.261861
  66   0.33333   0.00000    0.261861    0.261861
  67   0.35354   0.00000    0.261861    0.261861
  68   0.37374   0.00000    0.261861    0.261861
  69   0.39394   0.00000    0.261861    0.261861
  70   0.41414   0.51237    0.261861    0.250509
  71   0.43434   0.75412    0.261862    0.492257
  72   0.45455   0.89064    0.261862    0.628777
  73   0.47475   0.96755    0.261862    0.705687
  74   0.49495   0.99872    0.261862    0.736854
  75   0.51515   0.98848    0.261862    0.726616
  76   0.53535   0.93547    0.261862    0.673613
  77   0.55556   0.83157    0.261862    0.569708
  78   0.57576   0.65290    0.261862    0.391035
  79   0.59596   0.28180    0.261863    0.019939
  80   0.61616   0.00000    0.261863    0.261863
  81   0.63636   0.00000    0.261863    0.261863
  82   0.65657   0.00000    0.261863    0.261863
  83   0.67677   0.00000    0.261863    0.261863
  84   0.69697   0.00000    0.261863    0.261863
  85   0.71717   0.00000    0.261863    0.261863
  86   0.73737   0.00000    0.261863    0.261863
  87   0.75758   0.00000    0.261863    0.261863
  88   0.77778   0.00000    0.261863    0.261863
  89   0.79798   0.00000    0.261863    0.261863
  90   0.81818   0.00000    0.261863    0.261863
  91   0.83838   0.00000    0.261863    0.261863
  92   0.85859   0.00000    0.261863    0.261863
  93   0.87879   0.00000    0.261863    0.261863
  94   0.89899   0.00000    0.261862    0.261862
  95   0.91919   0.00000    0.261862    0.261862
  96   0.93939   0.00000    0.261862    0.261862
  97   0.95960   0.00000    0.261862    0.261862
  98   0.97980   0.00000    0.261862    0.261862
  99   1.00000   0.00000    0.261862    0.261862
 
