 i       X     FEXACT   FI_LAXW   ERR_LAXW
   0  -1.00000   0.00000    0.284654    0.284654
   1  -0.97980   0.00000    0.279692    0.279692
   2  -0.95960   0.00000    0.273833    0.273833
   3  -0.93939   0.00000    0.267329    0.267329
   4  -0.91919   0.00000    0.260464    0.260464
   5  -0.89899   0.00000    0.253545    0.253545
   6  -0.87879   0.00000    0.246893    0.246893
   7  -0.85859   0.00000    0.240836    0.240836
   8  -0.83838   0.00000    0.235699    0.235699
   9  -0.81818   0.00000    0.231797    0.231797
  10  -0.79798   0.00062    0.229421    0.228805
  11  -0.77778   0.00948    0.228835    0.219352
  12  -0.75758   0.07789    0.230266    0.152373
  13  -0.73737   0.34120    0.233895    0.107301
  14  -0.71717   0.79703    0.239849    0.557176
  15  -0.69697   0.99291    0.248202    0.744708
  16  -0.67677   0.65965    0.258966    0.400687
  17  -0.65657   0.23372    0.272087    0.038371
  18  -0.63636   0.04416    0.287451    0.243290
  19  -0.61616   0.00445    0.304875    0.300426
  20  -0.59596   0.00000    0.324120    0.324120
  21  -0.57576   0.00000    0.344885    0.344885
  22  -0.55556   0.00000    0.366820    0.366820
  23  -0.53535   0.00000    0.389526    0.389526
  24  -0.51515   0.00000    0.412572    0.412572
  25  -0.49495   0.00000    0.435497    0.435497
  26  -0.47475   0.00000    0.457824    0.457824
  27  -0.45455   0.00000    0.479071    0.479071
  28  -0.43434   0.00000    0.498762    0.498762
  29  -0.41414   0.00000    0.516441    0.516441
  30  -0.39394   1.00000    0.531680    0.468320
  31  -0.37374   1.00000    0.544095    0.455905
  32  -0.35354   1.00000    0.553350    0.446650
  33  -0.33333   1.00000    0.559175    0.440825
  34  -0.31313   1.00000    0.561365    0.438635
  35  -0.29293   1.00000    0.559790    0.440210
  36  -0.27273   1.00000    0.554402    0.445598
  37  -0.25253   1.00000    0.545228    0.454772
  38  -0.23232   1.00000    0.532382    0.467618
  39  -0.21212   1.00000    0.516050    0.483950
  40  -0.19192   0.00000    0.496494    0.496494
  41  -0.17172   0.00000    0.474041    0.474041
  42  -0.15152   0.00000    0.449077    0.449077
  43  -0.13131   0.00000    0.422032    0.422032
  44  -0.11111   0.00000    0.393372    0.393372
  45  -0.09091   0.00000    0.363588    0.363588
  46  -0.07071   0.00000    0.333176    0.333176
  47  -0.05051   0.00000    0.302632    0.302632
  48  -0.03030   0.00000    0.272434    0.272434
  49  -0.01010   0.00000    0.243031    0.243031
  50   0.01010   0.10071    0.214834    0.114126
  51   0.03030   0.30273    0.188204    0.114530
  52   0.05051   0.50476    0.163449    0.341311
  53   0.07071   0.70679    0.140814    0.565973
  54   0.09091   0.90881    0.120482    0.788331
  55   0.11111   0.88916    0.102571    0.786589
  56   0.13131   0.68713    0.087138    0.599996
  57   0.15152   0.48511    0.074178    0.410929
  58   0.17172   0.28308    0.063636    0.219445
  59   0.19192   0.08105    0.055410    0.025645
  60   0.21212   0.00000    0.049358    0.049358
  61   0.23232   0.00000    0.045312    0.045312
  62   0.25253   0.00000    0.043085    0.043085
  63   0.27273   0.00000    0.042476    0.042476
  64   0.29293   0.00000    0.043289    0.043289
  65   0.31313   0.00000    0.045330    0.045330
  66   0.33333   0.00000    0.048424    0.048424
  67   0.35354   0.00000    0.052414    0.052414
  68   0.37374   0.00000    0.057166    0.057166
  69   0.39394   0.00000    0.062575    0.062575
  70   0.41414   0.51237    0.068560    0.443810
  71   0.43434   0.75412    0.075068    0.679050
  72   0.45455   0.89064    0.082069    0.808570
  73   0.47475   0.96755    0.089551    0.877998
  74   0.49495   0.99872    0.097516    0.901200
  75   0.51515   0.98848    0.105976    0.882502
  76   0.53535   0.93547    0.114944    0.820531
  77   0.55556   0.83157    0.124429    0.707141
  78   0.57576   0.65290    0.134430    0.518468
  79   0.59596   0.28180    0.144931    0.136870
  80   0.61616   0.00000    0.155898    0.155898
  81   0.63636   0.00000    0.167273    0.167273
  82   0.65657   0.00000    0.178971    0.178971
  83   0.67677   0.00000    0.190887    0.190887
  84   0.69697   0.00000    0.202889    0.202889
  85   0.71717   0.00000    0.214823    0.214823
  86   0.73737   0.00000    0.226519    0.226519
  87   0.75758   0.00000    0.237794    0.237794
  88   0.77778   0.00000    0.248458    0.248458
  89   0.79798   0.00000    0.258320    0.258320
  90   0.81818   0.00000    0.267197    0.267197
  91   0.83838   0.00000    0.274921    0.274921
  92   0.85859   0.00000    0.281344    0.281344
  93   0.87879   0.00000    0.286346    0.286346
  94   0.89899   0.00000    0.289843    0.289843
  95   0.91919   0.00000    0.291788    0.291788
  96   0.93939   0.00000    0.292177    0.292177
  97   0.95960   0.00000    0.291052    0.291052
  98   0.97980   0.00000    0.288499    0.288499
  99   1.00000   0.00000    0.284654    0.284654
 
