 i       X     FEXACT   FI_LAXF   ERR_LAXF
   0  -1.00000   0.00000    0.261867    0.261867
   1  -0.97980   0.00000    0.261868    0.261868
   2  -0.95960   0.00000    0.261867    0.261867
   3  -0.93939   0.00000    0.261868    0.261868
   4  -0.91919   0.00000    0.261867    0.261867
   5  -0.89899   0.00000    0.261868    0.261868
   6  -0.87879   0.00000    0.261868    0.261868
   7  -0.85859   0.00000    0.261867    0.261867
   8  -0.83838   0.00000    0.261868    0.261868
   9  -0.81818   0.00000    0.261867    0.261867
  10  -0.79798   0.00062    0.261868    0.261252
  11  -0.77778   0.00948    0.261867    0.252383
  12  -0.75758   0.07789    0.261869    0.183975
  13  -0.73737   0.34120    0.261866    0.079329
  14  -0.71717   0.79703    0.261869    0.535157
  15  -0.69697   0.99291    0.261866    0.731044
  16  -0.67677   0.65965    0.261869    0.397784
  17  -0.65657   0.23372    0.261866    0.028149
  18  -0.63636   0.04416    0.261869    0.217709
  19  -0.61616   0.00445    0.261865    0.257416
  20  -0.59596   0.00000    0.261870    0.261870
  21  -0.57576   0.00000    0.261865    0.261865
  22  -0.55556   0.00000    0.261870    0.261870
  23  -0.53535   0.00000    0.261865    0.261865
  24  -0.51515   0.00000    0.261870    0.261870
  25  -0.49495   0.00000    0.261865    0.261865
  26  -0.47475   0.00000    0.261871    0.261871
  27  -0.45455   0.00000    0.261864    0.261864
  28  -0.43434   0.00000    0.261871    0.261871
  29  -0.41414   0.00000    0.261864    0.261864
  30  -0.39394   1.00000    0.261871    0.738129
  31  -0.37374   1.00000    0.261864    0.738136
  32  -0.35354   1.00000    0.261871    0.738129
  33  -0.33333   1.00000    0.261863    0.738137
  34  -0.31313   1.00000    0.261872    0.738128
  35  -0.29293   1.00000    0.261863    0.738137
  36  -0.27273   1.00000    0.261872    0.738128
  37  -0.25253   1.00000    0.261863    0.738137
  38  -0.23232   1.00000    0.261872    0.738128
  39  -0.21212   1.00000    0.261863    0.738137
  40  -0.19192   0.00000    0.261873    0.261873
  41  -0.17172   0.00000    0.261862    0.261862
  42  -0.15152   0.00000    0.261873    0.261873
  43  -0.13131   0.00000    0.261862    0.261862
  44  -0.11111   0.00000    0.261873    0.261873
  45  -0.09091   0.00000    0.261862    0.261862
  46  -0.07071   0.00000    0.261874    0.261874
  47  -0.05051   0.00000    0.261861    0.261861
  48  -0.03030   0.00000    0.261874    0.261874
  49  -0.01010   0.00000    0.261861    0.261861
  50   0.01010   0.10071    0.261874    0.161166
  51   0.03030   0.30273    0.261861    0.040874
  52   0.05051   0.50476    0.261874    0.242886
  53   0.07071   0.70679    0.261860    0.444927
  54   0.09091   0.90881    0.261875    0.646939
  55   0.11111   0.88916    0.261860    0.627300
  56   0.13131   0.68713    0.261875    0.425259
  57   0.15152   0.48511    0.261860    0.223247
  58   0.17172   0.28308    0.261874    0.021207
  59   0.19192   0.08105    0.261861    0.180806
  60   0.21212   0.00000    0.261874    0.261874
  61   0.23232   0.00000    0.261861    0.261861
  62   0.25253   0.00000    0.261874    0.261874
  63   0.27273   0.00000    0.261861    0.261861
  64   0.29293   0.00000    0.261874    0.261874
  65   0.31313   0.00000    0.261862    0.261862
  66   0.33333   0.00000    0.261873    0.261873
  67   0.35354   0.00000    0.261862    0.261862
  68   0.37374   0.00000    0.261873    0.261873
  69   0.39394   0.00000    0.261862    0.261862
  70   0.41414   0.51237    0.261873    0.250498
  71   0.43434   0.75412    0.261863    0.492256
  72   0.45455   0.89064    0.261872    0.628766
  73   0.47475   0.96755    0.261863    0.705686
  74   0.49495   0.99872    0.261872    0.736844
  75   0.51515   0.98848    0.261863    0.726614
  76   0.53535   0.93547    0.261872    0.673603
  77   0.55556   0.83157    0.261863    0.569707
  78   0.57576   0.65290    0.261871    0.391026
  79   0.59596   0.28180    0.261864    0.019938
  80   0.61616   0.00000    0.261871    0.261871
  81   0.63636   0.00000    0.261864    0.261864
  82   0.65657   0.00000    0.261871    0.261871
  83   0.67677   0.00000    0.261864    0.261864
  84   0.69697   0.00000    0.261871    0.261871
  85   0.71717   0.00000    0.261865    0.261865
  86   0.73737   0.00000    0.261870    0.261870
  87   0.75758   0.00000    0.261865    0.261865
  88   0.77778   0.00000    0.261870    0.261870
  89   0.79798   0.00000    0.261865    0.261865
  90   0.81818   0.00000    0.261870    0.261870
  91   0.83838   0.00000    0.261866    0.261866
  92   0.85859   0.00000    0.261869    0.261869
  93   0.87879   0.00000    0.261866    0.261866
  94   0.89899   0.00000    0.261869    0.261869
  95   0.91919   0.00000    0.261866    0.261866
  96   0.93939   0.00000    0.261869    0.261869
  97   0.95960   0.00000    0.261866    0.261866
  98   0.97980   0.00000    0.261868    0.261868
  99   1.00000   0.00000    0.261867    0.261867
 
