 i       X     FEXACT   FI_LAXF   ERR_LAXF
   0   0.00000   0.00000  -0.00945   0.00945
   1   0.00251   0.01575   0.00614   0.00961
   2   0.00501   0.03149   0.02172   0.00977
   3   0.00752   0.04722   0.03729   0.00993
   4   0.01003   0.06295   0.05286   0.01009
   5   0.01253   0.07866   0.06842   0.01024
   6   0.01504   0.09434   0.08395   0.01039
   7   0.01754   0.11001   0.09947   0.01054
   8   0.02005   0.12565   0.11496   0.01069
   9   0.02256   0.14125   0.13042   0.01083
  10   0.02506   0.15682   0.14585   0.01097
  11   0.02757   0.17236   0.16125   0.01111
  12   0.03008   0.18785   0.17660   0.01124
  13   0.03258   0.20329   0.19191   0.01137
  14   0.03509   0.21868   0.20718   0.01150
  15   0.03759   0.23402   0.22239   0.01163
  16   0.04010   0.24930   0.23755   0.01175
  17   0.04261   0.26452   0.25264   0.01188
  18   0.04511   0.27967   0.26768   0.01199
  19   0.04762   0.29475   0.28265   0.01211
  20   0.05013   0.30977   0.29755   0.01222
  21   0.05263   0.32470   0.31237   0.01233
  22   0.05514   0.33955   0.32712   0.01243
  23   0.05764   0.35432   0.34178   0.01254
  24   0.06015   0.36900   0.35637   0.01264
  25   0.06266   0.38359   0.37086   0.01273
  26   0.06516   0.39809   0.38526   0.01283
  27   0.06767   0.41248   0.39957   0.01292
  28   0.07018   0.42678   0.41377   0.01300
  29   0.07268   0.44096   0.42788   0.01309
  30   0.07519   0.45504   0.44187   0.01317
  31   0.07769   0.46901   0.45576   0.01324
  32   0.08020   0.48286   0.46954   0.01332
  33   0.08271   0.49659   0.48320   0.01339
  34   0.08521   0.51019   0.49674   0.01346
  35   0.08772   0.52367   0.51015   0.01352
  36   0.09023   0.53702   0.52344   0.01358
  37   0.09273   0.55024   0.53660   0.01364
  38   0.09524   0.56332   0.54963   0.01369
  39   0.09774   0.57626   0.56252   0.01374
  40   0.10025   0.58906   0.57527   0.01379
  41   0.10276   0.60171   0.58788   0.01383
  42   0.10526   0.61421   0.60034   0.01387
  43   0.10777   0.62656   0.61265   0.01391
  44   0.11028   0.63876   0.62481   0.01394
  45   0.11278   0.65079   0.63682   0.01397
  46   0.11529   0.66267   0.64867   0.01400
  47   0.11779   0.67438   0.66036   0.01402
  48   0.12030   0.68592   0.67188   0.01404
  49   0.12281   0.69730   0.68324   0.01406
  50   0.12531   0.70850   0.69443   0.01407
  51   0.12782   0.71952   0.70544   0.01408
  52   0.13033   0.73037   0.71628   0.01408
  53   0.13283   0.74103   0.72695   0.01409
  54   0.13534   0.75152   0.73743   0.01409
  55   0.13784   0.76181   0.74773   0.01408
  56   0.14035   0.77192   0.75785   0.01407
  57   0.14286   0.78183   0.76777   0.01406
  58   0.14536   0.79155   0.77751   0.01404
  59   0.14787   0.80108   0.78705   0.01403
  60   0.15038   0.81040   0.79640   0.01400
  61   0.15288   0.81953   0.80555   0.01398
  62   0.15539   0.82845   0.81450   0.01395
  63   0.15789   0.83717   0.82325   0.01391
  64   0.16040   0.84568   0.83180   0.01388
  65   0.16291   0.85397   0.84014   0.01384
  66   0.16541   0.86206   0.84827   0.01380
  67   0.16792   0.86994   0.85619   0.01375
  68   0.17043   0.87759   0.86389   0.01370
  69   0.17293   0.88503   0.87139   0.01365
  70   0.17544   0.89225   0.87867   0.01359
  71   0.17794   0.89925   0.88572   0.01353
  72   0.18045   0.90603   0.89256   0.01347
  73   0.18296   0.91258   0.89918   0.01340
  74   0.18546   0.91891   0.90558   0.01333
  75   0.18797   0.92501   0.91175   0.01325
  76   0.19048   0.93087   0.91770   0.01318
  77   0.19298   0.93651   0.92341   0.01310
  78   0.19549   0.94192   0.92890   0.01301
  79   0.19799   0.94709   0.93416   0.01293
  80   0.20050   0.95202   0.93919   0.01284
  81   0.20301   0.95673   0.94398   0.01275
  82   0.20551   0.96119   0.94854   0.01265
