 i       X     FEXACT   FI_UPWIND   ERR_UP
   0   0.00000   0.00000  -0.00942   0.00942
   1   0.00251   0.01575   0.00625   0.00950
   2   0.00501   0.03149   0.02192   0.00957
   3   0.00752   0.04722   0.03758   0.00965
   4   0.01003   0.06295   0.05323   0.00972
   5   0.01253   0.07866   0.06887   0.00979
   6   0.01504   0.09434   0.08449   0.00985
   7   0.01754   0.11001   0.10009   0.00991
   8   0.02005   0.12565   0.11567   0.00997
   9   0.02256   0.14125   0.13122   0.01003
  10   0.02506   0.15682   0.14674   0.01009
  11   0.02757   0.17236   0.16221   0.01014
  12   0.03008   0.18785   0.17765   0.01019
  13   0.03258   0.20329   0.19305   0.01024
  14   0.03509   0.21868   0.20840   0.01028
  15   0.03759   0.23402   0.22369   0.01033
  16   0.04010   0.24930   0.23893   0.01037
  17   0.04261   0.26452   0.25411   0.01041
  18   0.04511   0.27967   0.26923   0.01044
  19   0.04762   0.29475   0.28428   0.01047
  20   0.05013   0.30977   0.29926   0.01050
  21   0.05263   0.32470   0.31417   0.01053
  22   0.05514   0.33955   0.32900   0.01056
  23   0.05764   0.35432   0.34374   0.01058
  24   0.06015   0.36900   0.35841   0.01060
  25   0.06266   0.38359   0.37298   0.01061
  26   0.06516   0.39809   0.38746   0.01063
  27   0.06767   0.41248   0.40184   0.01064
  28   0.07018   0.42678   0.41613   0.01065
  29   0.07268   0.44096   0.43031   0.01066
  30   0.07519   0.45504   0.44438   0.01066
  31   0.07769   0.46901   0.45835   0.01066
  32   0.08020   0.48286   0.47220   0.01066
  33   0.08271   0.49659   0.48593   0.01065
  34   0.08521   0.51019   0.49954   0.01065
  35   0.08772   0.52367   0.51303   0.01064
  36   0.09023   0.53702   0.52640   0.01063
  37   0.09273   0.55024   0.53963   0.01061
  38   0.09524   0.56332   0.55273   0.01059
  39   0.09774   0.57626   0.56569   0.01057
  40   0.10025   0.58906   0.57851   0.01055
  41   0.10276   0.60171   0.59118   0.01053
  42   0.10526   0.61421   0.60371   0.01050
  43   0.10777   0.62656   0.61609   0.01047
  44   0.11028   0.63876   0.62832   0.01043
  45   0.11278   0.65079   0.64039   0.01040
  46   0.11529   0.66267   0.65231   0.01036
  47   0.11779   0.67438   0.66406   0.01032
  48   0.12030   0.68592   0.67565   0.01028
  49   0.12281   0.69730   0.68707   0.01023
  50   0.12531   0.70850   0.69831   0.01018
  51   0.12782   0.71952   0.70939   0.01013
  52   0.13033   0.73037   0.72029   0.01008
  53   0.13283   0.74103   0.73101   0.01002
  54   0.13534   0.75152   0.74155   0.00996
  55   0.13784   0.76181   0.75191   0.00990
  56   0.14035   0.77192   0.76208   0.00984
  57   0.14286   0.78183   0.77206   0.00977
  58   0.14536   0.79155   0.78185   0.00971
  59   0.14787   0.80108   0.79144   0.00963
  60   0.15038   0.81040   0.80084   0.00956
  61   0.15288   0.81953   0.81004   0.00949
  62   0.15539   0.82845   0.81904   0.00941
  63   0.15789   0.83717   0.82784   0.00933
  64   0.16040   0.84568   0.83643   0.00925
  65   0.16291   0.85397   0.84481   0.00916
  66   0.16541   0.86206   0.85299   0.00907
  67   0.16792   0.86994   0.86095   0.00899
  68   0.17043   0.87759   0.86870   0.00889
  69   0.17293   0.88503   0.87623   0.00880
  70   0.17544   0.89225   0.88355   0.00870
  71   0.17794   0.89925   0.89065   0.00861
