 i       X     FEXACT   FI_LAXW   ERR_LAXW
   0  -1.00000   0.00000   -0.012675    0.012675
   1  -0.97980   0.20202    0.110241    0.091780
   2  -0.95960   0.40404    0.305255    0.098786
   3  -0.93939   0.60606    0.531625    0.074435
   4  -0.91919   0.80808    0.724994    0.083088
   5  -0.89899   0.98990    0.825622    0.164277
   6  -0.87879   0.78788    0.806177    0.018298
   7  -0.85859   0.58586    0.682195    0.096337
   8  -0.83838   0.38384    0.500627    0.116788
   9  -0.81818   0.18182    0.315833    0.134015
  10  -0.79798   0.00000    0.167842    0.167842
  11  -0.77778   0.00000    0.073283    0.073283
  12  -0.75758   0.00000    0.028857    0.028857
  13  -0.73737   0.00000    0.018475    0.018475
  14  -0.71717   0.00000    0.017737    0.017737
  15  -0.69697   0.00000    0.000959    0.000959
  16  -0.67677   0.00000   -0.041965    0.041965
  17  -0.65657   0.00000   -0.088250    0.088250
  18  -0.63636   0.00000   -0.087494    0.087494
  19  -0.61616   0.00000    0.003860    0.003860
  20  -0.59596   0.28138    0.186427    0.094952
  21  -0.57576   0.65275    0.415592    0.237157
  22  -0.55556   0.83148    0.635074    0.196405
  23  -0.53535   0.93542    0.811983    0.123439
  24  -0.51515   0.98845    0.941299    0.047155
  25  -0.49495   0.99872    1.022574    0.023851
  26  -0.47475   0.96759    1.039395    0.071805
  27  -0.45455   0.89072    0.966611    0.075887
  28  -0.43434   0.75427    0.799233    0.044964
  29  -0.41414   0.51267    0.571873    0.059203
  30  -0.39394   0.00000    0.345464    0.345464
  31  -0.37374   0.00000    0.171825    0.171825
  32  -0.35354   0.00000    0.068300    0.068300
  33  -0.33333   0.00000    0.020830    0.020830
  34  -0.31313   0.00000    0.004574    0.004574
  35  -0.29293   0.00000    0.000644    0.000644
  36  -0.27273   0.00000    0.000044    0.000044
  37  -0.25253   0.00000   -0.000000    0.000000
  38  -0.23232   0.00000    0.000000    0.000000
  39  -0.21212   0.00000    0.000000    0.000000
  40  -0.19192   0.00000    0.000000    0.000000
  41  -0.17172   0.00000   -0.000000    0.000000
  42  -0.15152   0.00000   -0.000000    0.000000
  43  -0.13131   0.00000    0.000000    0.000000
  44  -0.11111   0.00000    0.000002    0.000002
  45  -0.09091   0.00000    0.000002    0.000002
  46  -0.07071   0.00000   -0.000009    0.000009
  47  -0.05051   0.00000   -0.000028    0.000028
  48  -0.03030   0.00000   -0.000001    0.000001
  49  -0.01010   0.00000    0.000138    0.000138
  50   0.01010   0.00000    0.000266    0.000266
  51   0.03030   0.00000   -0.000122    0.000122
  52   0.05051   0.00000   -0.001372    0.001372
  53   0.07071   0.00000   -0.002181    0.002181
  54   0.09091   0.00000    0.000939    0.000939
  55   0.11111   0.00000    0.009727    0.009727
  56   0.13131   0.00000    0.016511    0.016511
  57   0.15152   0.00000    0.002996    0.002996
  58   0.17172   0.00000   -0.042664    0.042664
  59   0.19192   0.00000   -0.097683    0.097683
  60   0.21212   0.00261   -0.097916    0.100528
  61   0.23232   0.02938    0.021101    0.008279
  62   0.25253   0.17625    0.258722    0.082470
  63   0.27273   0.56392    0.524662    0.039253
  64   0.29293   0.96223    0.692857    0.269370
  65   0.31313   0.87564    0.691560    0.184080
  66   0.33333   0.42497    0.547336    0.122367
  67   0.35354   0.11000    0.349417    0.239421
  68   0.37374   0.01518    0.179458    0.164274
  69   0.39394   0.00112    0.071737    0.070619
  70   0.41414   0.00000    0.021745    0.021745
  71   0.43434   0.00000    0.011852    0.011852
  72   0.45455   0.00000    0.021216    0.021216
  73   0.47475   0.00000    0.021643    0.021643
  74   0.49495   0.00000   -0.014409    0.014409
  75   0.51515   0.00000   -0.084198    0.084198
  76   0.53535   0.00000   -0.133990    0.133990
  77   0.55556   0.00000   -0.085966    0.085966
  78   0.57576   0.00000    0.097426    0.097426
  79   0.59596   0.00000    0.373110    0.373110
  80   0.61616   1.00000    0.644992    0.355008
  81   0.63636   1.00000    0.833637    0.166363
  82   0.65657   1.00000    0.925069    0.074931
  83   0.67677   1.00000    0.965152    0.034848
  84   0.69697   1.00000    1.012401    0.012401
  85   0.71717   1.00000    1.083990    0.083990
  86   0.73737   1.00000    1.133631    0.133631
  87   0.75758   1.00000    1.085594    0.085594
  88   0.77778   1.00000    0.903418    0.096582
  89   0.79798   1.00000    0.629820    0.370180
  90   0.81818   0.00000    0.357135    0.357135
  91   0.83838   0.00000    0.160126    0.160126
  92   0.85859   0.00000    0.056585    0.056585
  93   0.87879   0.00000    0.019299    0.019299
  94   0.89899   0.00000    0.009516    0.009516
  95   0.91919   0.00000   -0.001116    0.001116
  96   0.93939   0.00000   -0.023881    0.023881
  97   0.95960   0.00000   -0.051356    0.051356
  98   0.97980   0.00000   -0.058675    0.058675
  99   1.00000   0.00000   -0.012675    0.012675
 
