 i       X     FEXACT   FI_FTCS   ERR_FTCS
   0  -1.00000   0.00000    -34077.375000     34077.375000
   1  -0.97980   0.20202     66859.023438     66858.820312
   2  -0.95960   0.40404     45276.265625     45275.863281
   3  -0.93939   0.60606   -164905.531250    164906.140625
   4  -0.91919   0.80808    -22551.570312     22552.378906
   5  -0.89899   0.98990    270839.843750    270838.843750
   6  -0.87879   0.78788    -58464.406250     58465.195312
   7  -0.85859   0.58586   -375572.625000    375573.218750
   8  -0.83838   0.38384    179226.593750    179226.203125
   9  -0.81818   0.18182    472121.750000    472121.562500
  10  -0.79798   0.00000   -289480.375000    289480.375000
  11  -0.77778   0.00000   -578824.500000    578824.500000
  12  -0.75758   0.00000    342752.562500    342752.562500
  13  -0.73737   0.00000    740867.500000    740867.500000
  14  -0.71717   0.00000   -327911.468750    327911.468750
  15  -0.69697   0.00000   -985938.562500    985938.562500
  16  -0.67677   0.00000    269488.187500    269488.187500
  17  -0.65657   0.00000   1274707.375000   1274707.375000
  18  -0.63636   0.00000   -198952.250000    198952.250000
  19  -0.61616   0.00000  -1506882.000000   1506882.000000
  20  -0.59596   0.28138    134371.125000    134370.843750
  21  -0.57576   0.65275   1586634.750000   1586634.125000
  22  -0.55556   0.83148    -98669.687500     98670.515625
  23  -0.53535   0.93542  -1493905.625000   1493906.500000
  24  -0.51515   0.98845    148724.562500    148723.578125
  25  -0.49495   0.99872   1306840.625000   1306839.625000
  26  -0.47475   0.96759   -357616.031250    357617.000000
  27  -0.45455   0.89072  -1159885.750000   1159886.625000
  28  -0.43434   0.75427    743995.250000    743994.500000
  29  -0.41414   0.51267   1163113.500000   1163113.000000
  30  -0.39394   0.00000  -1215786.000000   1215786.000000
  31  -0.37374   0.00000  -1330160.000000   1330160.000000
  32  -0.35354   0.00000   1600476.875000   1600476.875000
  33  -0.33333   0.00000   1565042.000000   1565042.000000
  34  -0.31313   0.00000  -1753141.500000   1753141.500000
  35  -0.29293   0.00000  -1727283.000000   1727283.000000
  36  -0.27273   0.00000   1649839.250000   1649839.250000
  37  -0.25253   0.00000   1730959.750000   1730959.750000
  38  -0.23232   0.00000  -1384748.625000   1384748.625000
  39  -0.21212   0.00000  -1595491.250000   1595491.250000
  40  -0.19192   0.00000   1085821.750000   1085821.750000
  41  -0.17172   0.00000   1410584.000000   1410584.000000
  42  -0.15152   0.00000   -833310.437500    833310.437500
  43  -0.13131   0.00000  -1259046.375000   1259046.375000
  44  -0.11111   0.00000    636270.750000    636270.750000
  45  -0.09091   0.00000   1162187.750000   1162187.750000
  46  -0.07071   0.00000   -457725.593750    457725.593750
  47  -0.05051   0.00000  -1072447.125000   1072447.125000
  48  -0.03030   0.00000    262186.187500    262186.187500
  49  -0.01010   0.00000    912524.250000    912524.250000
  50   0.01010   0.00000    -61468.187500     61468.187500
  51   0.03030   0.00000   -649231.500000    649231.500000
  52   0.05051   0.00000    -82356.406250     82356.406250
  53   0.07071   0.00000    347235.000000    347235.000000
  54   0.09091   0.00000    114980.007812    114980.007812
  55   0.11111   0.00000   -133494.718750    133494.718750
  56   0.13131   0.00000    -49171.015625     49171.015625
  57   0.15152   0.00000     91883.421875     91883.421875
  58   0.17172   0.00000    -49129.058594     49129.058594
  59   0.19192   0.00000   -197937.015625    197937.015625
  60   0.21212   0.00261    130175.273438    130175.273438
  61   0.23232   0.02938    357291.218750    357291.187500
  62   0.25253   0.17625   -199121.593750    199121.765625
  63   0.27273   0.56392   -489993.593750    489994.156250
  64   0.29293   0.96223    287178.875000    287177.906250
  65   0.31313   0.87564    569894.875000    569894.000000
  66   0.33333   0.42497   -403536.031250    403536.468750
  67   0.35354   0.11000   -604890.000000    604890.125000
  68   0.37374   0.01518    522125.968750    522125.968750
  69   0.39394   0.00112    606663.125000    606663.125000
  70   0.41414   0.00000   -600789.875000    600789.875000
  71   0.43434   0.00000   -578972.625000    578972.625000
  72   0.45455   0.00000    604922.625000    604922.625000
  73   0.47475   0.00000    515579.750000    515579.750000
  74   0.49495   0.00000   -526733.250000    526733.250000
  75   0.51515   0.00000   -403216.125000    403216.125000
  76   0.53535   0.00000    398484.312500    398484.312500
  77   0.55556   0.00000    239147.000000    239147.000000
  78   0.57576   0.00000   -283016.531250    283016.531250
  79   0.59596   0.00000    -52966.203125     52966.203125
  80   0.61616   1.00000    235282.375000    235281.375000
  81   0.63636   1.00000    -96732.812500     96733.812500
  82   0.65657   1.00000   -264416.812500    264417.812500
  83   0.67677   1.00000    154612.843750    154611.843750
  84   0.69697   1.00000    327982.437500    327981.437500
  85   0.71717   1.00000   -103754.562500    103755.562500
  86   0.73737   1.00000   -358918.187500    358919.187500
  87   0.75758   1.00000    -18627.359375     18628.359375
  88   0.77778   1.00000    308467.375000    308466.375000
  89   0.79798   1.00000    136709.031250    136708.031250
  90   0.81818   0.00000   -181966.359375    181966.359375
  91   0.83838   0.00000   -183185.781250    183185.781250
  92   0.85859   0.00000     38279.867188     38279.867188
  93   0.87879   0.00000    147850.453125    147850.453125
  94   0.89899   0.00000     54542.402344     54542.402344
  95   0.91919   0.00000    -79339.960938     79339.960938
  96   0.93939   0.00000    -67419.750000     67419.750000
  97   0.95960   0.00000     35531.230469     35531.230469
  98   0.97980   0.00000     16657.296875     16657.296875
  99   1.00000   0.00000    -34077.375000     34077.375000
 
