 i       X     FEXACT   FI_LAXF   ERR_LAXF
   0  -1.00000   0.00000    0.152199    0.152199
   1  -0.97980   0.20202    0.213888    0.011868
   2  -0.95960   0.40404    0.279659    0.124381
   3  -0.93939   0.60606    0.355724    0.250336
   4  -0.91919   0.80808    0.421918    0.386164
   5  -0.89899   0.98990    0.480735    0.509164
   6  -0.87879   0.78788    0.508727    0.279152
   7  -0.85859   0.58586    0.511608    0.074251
   8  -0.83838   0.38384    0.473539    0.089699
   9  -0.81818   0.18182    0.411564    0.229747
  10  -0.79798   0.00000    0.325041    0.325041
  11  -0.77778   0.00000    0.238182    0.238182
  12  -0.75758   0.00000    0.155845    0.155845
  13  -0.73737   0.00000    0.099418    0.099418
  14  -0.71717   0.00000    0.058148    0.058148
  15  -0.69697   0.00000    0.055262    0.055262
  16  -0.67677   0.00000    0.054086    0.054086
  17  -0.65657   0.00000    0.099452    0.099452
  18  -0.63636   0.00000    0.122398    0.122398
  19  -0.61616   0.00000    0.215247    0.215247
  20  -0.59596   0.28138    0.256785    0.024594
  21  -0.57576   0.65275    0.392420    0.260328
  22  -0.55556   0.83148    0.449497    0.381982
  23  -0.53535   0.93542    0.593619    0.341802
  24  -0.51515   0.98845    0.644282    0.344173
  25  -0.49495   0.99872    0.734756    0.263968
  26  -0.47475   0.96759    0.742259    0.225331
  27  -0.45455   0.89072    0.736349    0.154375
  28  -0.43434   0.75427    0.677392    0.076877
  29  -0.41414   0.51267    0.591792    0.079122
  30  -0.39394   0.00000    0.484458    0.484458
  31  -0.37374   0.00000    0.369931    0.369931
  32  -0.35354   0.00000    0.262417    0.262417
  33  -0.33333   0.00000    0.161727    0.161727
  34  -0.31313   0.00000    0.093939    0.093939
  35  -0.29293   0.00000    0.036920    0.036920
  36  -0.27273   0.00000    0.015915    0.015915
  37  -0.25253   0.00000    0.000000    0.000000
  38  -0.23232   0.00000    0.000000    0.000000
  39  -0.21212   0.00000    0.000000    0.000000
  40  -0.19192   0.00000    0.000000    0.000000
  41  -0.17172   0.00000    0.000000    0.000000
  42  -0.15152   0.00000    0.000001    0.000001
  43  -0.13131   0.00000    0.000001    0.000001
  44  -0.11111   0.00000    0.000003    0.000003
  45  -0.09091   0.00000    0.000008    0.000008
  46  -0.07071   0.00000    0.000019    0.000019
  47  -0.05051   0.00000    0.000043    0.000043
  48  -0.03030   0.00000    0.000094    0.000094
  49  -0.01010   0.00000    0.000200    0.000200
  50   0.01010   0.00000    0.000416    0.000416
  51   0.03030   0.00000    0.000841    0.000841
  52   0.05051   0.00000    0.001655    0.001655
  53   0.07071   0.00000    0.003148    0.003148
  54   0.09091   0.00000    0.005827    0.005827
  55   0.11111   0.00000    0.010384    0.010384
  56   0.13131   0.00000    0.017967    0.017967
  57   0.15152   0.00000    0.029824    0.029824
  58   0.17172   0.00000    0.047889    0.047889
  59   0.19192   0.00000    0.073483    0.073483
  60   0.21212   0.00261    0.108490    0.105878
  61   0.23232   0.02938    0.152371    0.122991
  62   0.25253   0.17625    0.204290    0.028037
  63   0.27273   0.56392    0.259130    0.304786
  64   0.29293   0.96223    0.310174    0.652053
  65   0.31313   0.87564    0.348607    0.527033
  66   0.33333   0.42497    0.363588    0.061381
  67   0.35354   0.11000    0.351568    0.241572
  68   0.37374   0.01518    0.308317    0.293133
  69   0.39394   0.00112    0.244019    0.242902
  70   0.41414   0.00000    0.172220    0.172220
  71   0.43434   0.00000    0.102702    0.102702
  72   0.45455   0.00000    0.065829    0.065829
  73   0.47475   0.00000    0.035106    0.035106
  74   0.49495   0.00000    0.062598    0.062598
  75   0.51515   0.00000    0.060350    0.060350
  76   0.53535   0.00000    0.147026    0.147026
  77   0.55556   0.00000    0.147026    0.147026
  78   0.57576   0.00000    0.305108    0.305108
  79   0.59596   0.00000    0.305108    0.305108
  80   0.61616   1.00000    0.528967    0.471033
  81   0.63636   1.00000    0.528967    0.471033
  82   0.65657   1.00000    0.755582    0.244418
  83   0.67677   1.00000    0.755585    0.244415
  84   0.69697   1.00000    0.883268    0.116732
  85   0.71717   1.00000    0.883285    0.116715
  86   0.73737   1.00000    0.852641    0.147359
  87   0.75758   1.00000    0.852721    0.147279
  88   0.77778   1.00000    0.693522    0.306478
  89   0.79798   1.00000    0.693852    0.306148
  90   0.81818   0.00000    0.466058    0.466058
  91   0.83838   0.00000    0.467258    0.467258
  92   0.85859   0.00000    0.228594    0.228594
  93   0.87879   0.00000    0.232407    0.232407
  94   0.89899   0.00000    0.073222    0.073222
  95   0.91919   0.00000    0.083642    0.083642
  96   0.93939   0.00000    0.045495    0.045495
  97   0.95960   0.00000    0.069488    0.069488
  98   0.97980   0.00000    0.107076    0.107076
  99   1.00000   0.00000    0.152199    0.152199
 
