 i       X     FEXACT   FI_LAXW   ERR_LAXW
   0   0.00000   0.00000   0.13628   0.13628
   1   0.01010   0.06342   0.19862   0.13520
   2   0.02020   0.12660   0.26016   0.13356
   3   0.03030   0.18927   0.32065   0.13138
   4   0.04040   0.25112   0.37985   0.12873
   5   0.05051   0.31201   0.43752   0.12551
   6   0.06061   0.37165   0.49343   0.12178
   7   0.07071   0.42979   0.54735   0.11756
   8   0.08081   0.48620   0.59907   0.11287
   9   0.09091   0.54066   0.64837   0.10772
  10   0.10101   0.59293   0.69507   0.10214
  11   0.11111   0.64277   0.73897   0.09620
  12   0.12121   0.69007   0.77989   0.08982
  13   0.13131   0.73455   0.81767   0.08312
  14   0.14141   0.77611   0.85215   0.07604
  15   0.15152   0.81455   0.88321   0.06866
  16   0.16162   0.84971   0.91071   0.06100
  17   0.17172   0.88144   0.93454   0.05310
  18   0.18182   0.90963   0.95461   0.04499
  19   0.19192   0.93415   0.97084   0.03669
  20   0.20202   0.95489   0.98316   0.02827
  21   0.21212   0.97180   0.99152   0.01971
  22   0.22222   0.98480   0.99588   0.01108
  23   0.23232   0.99384   0.99624   0.00240
  24   0.24242   0.99887   0.99258   0.00629
  25   0.25253   0.99987   0.98493   0.01495
  26   0.26263   0.99685   0.97331   0.02355
  27   0.27273   0.98982   0.95777   0.03205
  28   0.28283   0.97881   0.93838   0.04043
  29   0.29293   0.96385   0.91520   0.04865
  30   0.30303   0.94501   0.88834   0.05666
  31   0.31313   0.92236   0.85791   0.06445
  32   0.32323   0.89599   0.82402   0.07197
  33   0.33333   0.86602   0.78681   0.07921
  34   0.34343   0.83256   0.74644   0.08612
  35   0.35354   0.79578   0.70305   0.09272
  36   0.36364   0.75576   0.65684   0.09892
  37   0.37374   0.71270   0.60798   0.10472
  38   0.38384   0.66681   0.55668   0.11013
  39   0.39394   0.61820   0.50313   0.11507
  40   0.40404   0.56709   0.44756   0.11953
  41   0.41414   0.51370   0.39018   0.12352
  42   0.42424   0.45824   0.33124   0.12701
  43   0.43434   0.40094   0.27096   0.12998
  44   0.44444   0.34207   0.20958   0.13249
  45   0.45455   0.28178   0.14737   0.13441
  46   0.46465   0.22035   0.08456   0.13579
  47   0.47475   0.15803   0.02141   0.13662
  48   0.48485   0.09507  -0.04182   0.13690
  49   0.49495   0.03174  -0.10489   0.13663
  50   0.50505  -0.03173  -0.16753   0.13580
  51   0.51515  -0.09507  -0.22950   0.13444
  52   0.52525  -0.15796  -0.29055   0.13259
  53   0.53535  -0.22028  -0.35043   0.13014
  54   0.54545  -0.28171  -0.40889   0.12718
  55   0.55556  -0.34201  -0.46571   0.12370
  56   0.56566  -0.40093  -0.52065   0.11972
  57   0.57576  -0.45824  -0.57350   0.11526
  58   0.58586  -0.51370  -0.62404   0.11034
  59   0.59596  -0.56709  -0.67206   0.10497
  60   0.60606  -0.61814  -0.71738   0.09924
  61   0.61616  -0.66676  -0.75981   0.09305
  62   0.62626  -0.71265  -0.79918   0.08653
  63   0.63636  -0.75572  -0.83533   0.07961
  64   0.64646  -0.79574  -0.86812   0.07238
  65   0.65657  -0.83255  -0.89741   0.06486
  66   0.66667  -0.86602  -0.92309   0.05708
  67   0.67677  -0.89599  -0.94505   0.04906
  68   0.68687  -0.92235  -0.96321   0.04086
  69   0.69697  -0.94498  -0.97749   0.03251
  70   0.70707  -0.96383  -0.98783   0.02400
  71   0.71717  -0.97880  -0.99420   0.01540
  72   0.72727  -0.98982  -0.99656   0.00674
  73   0.73737  -0.99685  -0.99491   0.00195
  74   0.74747  -0.99987  -0.98925   0.01062
  75   0.75758  -0.99887  -0.97961   0.01926
  76   0.76768  -0.99384  -0.96603   0.02782
  77   0.77778  -0.98481  -0.94855   0.03626
  78   0.78788  -0.97182  -0.92726   0.04456
  79   0.79798  -0.95491  -0.90223   0.05268
  80   0.80808  -0.93415  -0.87357   0.06058
  81   0.81818  -0.90963  -0.84139   0.06824
  82   0.82828  -0.88144  -0.80582   0.07562
  83   0.83838  -0.84971  -0.76701   0.08270
  84   0.84848  -0.81459  -0.72511   0.08948
  85   0.85859  -0.77615  -0.68029   0.09586
  86   0.86869  -0.73459  -0.63273   0.10186
  87   0.87879  -0.69012  -0.58262   0.10749
  88   0.88889  -0.64282  -0.53017   0.11265
  89   0.89899  -0.59293  -0.47558   0.11735
  90   0.90909  -0.54066  -0.41908   0.12158
  91   0.91919  -0.48621  -0.36089   0.12532
  92   0.92929  -0.42980  -0.30125   0.12855
  93   0.93939  -0.37171  -0.24039   0.13132
  94   0.94949  -0.31208  -0.17857   0.13351
  95   0.95960  -0.25118  -0.11602   0.13516
  96   0.96970  -0.18927  -0.05301   0.13626
  97   0.97980  -0.12661   0.01021   0.13682
  98   0.98990  -0.06343   0.07339   0.13682
  99   1.00000   0.00001   0.13628   0.13627
 
