 i       X     FEXACT   FI_UPWIND   ERR_UP
   0   0.00000   0.00000   0.00319   0.00319
   1   0.01010   0.06342   0.01182   0.05160
   2   0.02020   0.12660   0.02040   0.10620
   3   0.03030   0.18927   0.02890   0.16037
   4   0.04040   0.25112   0.03729   0.21383
   5   0.05051   0.31201   0.04553   0.26649
   6   0.06061   0.37165   0.05358   0.31807
   7   0.07071   0.42979   0.06141   0.36838
   8   0.08081   0.48620   0.06900   0.41720
   9   0.09091   0.54066   0.07631   0.46434
  10   0.10101   0.59293   0.08332   0.50961
  11   0.11111   0.64277   0.08999   0.55278
  12   0.12121   0.69007   0.09629   0.59378
  13   0.13131   0.73455   0.10221   0.63234
  14   0.14141   0.77611   0.10772   0.66839
  15   0.15152   0.81455   0.11279   0.70176
  16   0.16162   0.84971   0.11741   0.73230
  17   0.17172   0.88144   0.12156   0.75988
  18   0.18182   0.90963   0.12521   0.78441
  19   0.19192   0.93415   0.12837   0.80578
  20   0.20202   0.95489   0.13100   0.82388
  21   0.21212   0.97180   0.13311   0.83869
  22   0.22222   0.98480   0.13468   0.85012
  23   0.23232   0.99384   0.13571   0.85812
  24   0.24242   0.99887   0.13620   0.86267
  25   0.25253   0.99987   0.13613   0.86374
  26   0.26263   0.99685   0.13552   0.86134
  27   0.27273   0.98982   0.13436   0.85546
  28   0.28283   0.97881   0.13266   0.84615
  29   0.29293   0.96385   0.13042   0.83342
  30   0.30303   0.94501   0.12767   0.81734
  31   0.31313   0.92236   0.12439   0.79796
  32   0.32323   0.89599   0.12062   0.77537
  33   0.33333   0.86602   0.11636   0.74966
  34   0.34343   0.83256   0.11163   0.72093
  35   0.35354   0.79578   0.10645   0.68933
  36   0.36364   0.75576   0.10085   0.65491
  37   0.37374   0.71270   0.09483   0.61787
  38   0.38384   0.66681   0.08844   0.57837
  39   0.39394   0.61820   0.08169   0.53651
  40   0.40404   0.56709   0.07461   0.49248
  41   0.41414   0.51370   0.06723   0.44647
  42   0.42424   0.45824   0.05958   0.39866
  43   0.43434   0.40094   0.05169   0.34925
  44   0.44444   0.34207   0.04359   0.29849
  45   0.45455   0.28178   0.03531   0.24646
  46   0.46465   0.22035   0.02690   0.19345
  47   0.47475   0.15803   0.01837   0.13966
  48   0.48485   0.09507   0.00978   0.08530
  49   0.49495   0.03174   0.00114   0.03060
  50   0.50505  -0.03173  -0.00751   0.02422
  51   0.51515  -0.09507  -0.01612   0.07895
  52   0.52525  -0.15796  -0.02467   0.13330
  53   0.53535  -0.22028  -0.03311   0.18717
  54   0.54545  -0.28171  -0.04143   0.24029
  55   0.55556  -0.34201  -0.04958   0.29244
  56   0.56566  -0.40093  -0.05752   0.34341
  57   0.57576  -0.45824  -0.06524   0.39300
  58   0.58586  -0.51370  -0.07270   0.44100
  59   0.59596  -0.56709  -0.07986   0.48723
  60   0.60606  -0.61814  -0.08670   0.53145
  61   0.61616  -0.66676  -0.09319   0.57358
  62   0.62626  -0.71265  -0.09930   0.61335
  63   0.63636  -0.75572  -0.10502   0.65070
  64   0.64646  -0.79574  -0.11031   0.68543
  65   0.65657  -0.83255  -0.11516   0.71739
  66   0.66667  -0.86602  -0.11954   0.74647
  67   0.67677  -0.89599  -0.12345   0.77254
  68   0.68687  -0.92235  -0.12685   0.79550
  69   0.69697  -0.94498  -0.12975   0.81523
  70   0.70707  -0.96383  -0.13212   0.83171
  71   0.71717  -0.97880  -0.13396   0.84483
  72   0.72727  -0.98982  -0.13527   0.85455
  73   0.73737  -0.99685  -0.13602   0.86083
  74   0.74747  -0.99987  -0.13623   0.86364
  75   0.75758  -0.99887  -0.13589   0.86297
  76   0.76768  -0.99384  -0.13501   0.85884
  77   0.77778  -0.98481  -0.13358   0.85124
  78   0.78788  -0.97182  -0.13161   0.84021
  79   0.79798  -0.95491  -0.12911   0.82580
  80   0.80808  -0.93415  -0.12609   0.80806
  81   0.81818  -0.90963  -0.12257   0.78706
  82   0.82828  -0.88144  -0.11855   0.76290
  83   0.83838  -0.84971  -0.11405   0.73566
  84   0.84848  -0.81459  -0.10910   0.70549
  85   0.85859  -0.77615  -0.10370   0.67245
  86   0.86869  -0.73459  -0.09789   0.63670
  87   0.87879  -0.69012  -0.09168   0.59844
  88   0.88889  -0.64282  -0.08511   0.55771
  89   0.89899  -0.59293  -0.07819   0.51475
  90   0.90909  -0.54066  -0.07095   0.46971
  91   0.91919  -0.48621  -0.06344   0.42277
  92   0.92929  -0.42980  -0.05566   0.37414
  93   0.93939  -0.37171  -0.04766   0.32405
  94   0.94949  -0.31208  -0.03947   0.27260
  95   0.95960  -0.25118  -0.03112   0.22006
  96   0.96970  -0.18927  -0.02265   0.16663
  97   0.97980  -0.12661  -0.01408   0.11253
  98   0.98990  -0.06343  -0.00546   0.05797
  99   1.00000   0.00001   0.00319   0.00318
 
