 i       X     FEXACT   FI_FTCS   ERR_FTCS
   0   0.00000    0.00000              NaN               NaN
   1   0.00063    0.00389              NaN               NaN
   2   0.00125    0.00786              NaN               NaN
   3   0.00188    0.01177              NaN               NaN
   4   0.00250    0.01573              NaN               NaN
   5   0.00313    0.01964              NaN               NaN
   6   0.00375    0.02355              NaN               NaN
   7   0.00438    0.02751              NaN               NaN
   8   0.00500    0.03142              NaN               NaN
   9   0.00563    0.03538              NaN               NaN
  10   0.00625    0.03928              NaN               NaN
  11   0.00688    0.04319              NaN               NaN
  12   0.00750    0.04715              NaN               NaN
  13   0.00813    0.05105              NaN               NaN
  14   0.00876    0.05501              NaN               NaN
  15   0.00938    0.05891              NaN               NaN
  16   0.01001    0.06281              NaN               NaN
  17   0.01063    0.06677              NaN               NaN
  18   0.01126    0.07061              NaN               NaN
  19   0.01188    0.07456              NaN               NaN
  20   0.01251    0.07846              NaN               NaN
  21   0.01313    0.08241              NaN               NaN
  22   0.01376    0.08631              NaN               NaN
  23   0.01438    0.09020              NaN               NaN
  24   0.01501    0.09415              NaN               NaN
  25   0.01563    0.09804              NaN               NaN
  26   0.01626    0.10198              NaN               NaN
  27   0.01689    0.10587              NaN               NaN
  28   0.01751    0.10975              NaN               NaN
  29   0.01814    0.11369              NaN               NaN
  30   0.01876    0.11757              NaN               NaN
  31   0.01939    0.12151              NaN               NaN
  32   0.02001    0.12539              NaN               NaN
  33   0.02064    0.12926              NaN               NaN
  34   0.02126    0.13320              NaN               NaN
  35   0.02189    0.13707              NaN               NaN
  36   0.02251    0.14100              NaN               NaN
  37   0.02314    0.14486              NaN               NaN
  38   0.02376    0.14873              NaN               NaN
  39   0.02439    0.15265              NaN               NaN
  40   0.02502    0.15651              NaN               NaN
  41   0.02564    0.16042              NaN               NaN
  42   0.02627    0.16428              NaN               NaN
  43   0.02689    0.16813              NaN               NaN
  44   0.02752    0.17204              NaN               NaN
  45   0.02814    0.17589              NaN               NaN
  46   0.02877    0.17979              NaN               NaN
  47   0.02939    0.18363              NaN               NaN
  48   0.03002    0.18747              NaN               NaN
  49   0.03064    0.19137              NaN               NaN
  50   0.03127    0.19520              NaN               NaN
  51   0.03189    0.19909              NaN               NaN
  52   0.03252    0.20291              NaN               NaN
  53   0.03315    0.20674              NaN               NaN
  54   0.03377    0.21056              NaN               NaN
  55   0.03440    0.21438              NaN               NaN
  56   0.03502    0.21825              NaN               NaN
  57   0.03565    0.22206              NaN               NaN
  58   0.03627    0.22593              NaN               NaN
  59   0.03690    0.22973              NaN               NaN
  60   0.03752    0.23353              NaN               NaN
  61   0.03815    0.23739              NaN               NaN
  62   0.03877    0.24118              NaN               NaN
  63   0.03940    0.24503              NaN               NaN
  64   0.04003    0.24881              NaN               NaN
  65   0.04065    0.25265              NaN               NaN
  66   0.04128    0.25643              NaN               NaN
  67   0.04190    0.26020              NaN               NaN
  68   0.04253    0.26403              NaN               NaN
  69   0.04315    0.26780              NaN               NaN
  70   0.04378    0.27162              NaN               NaN
  71   0.04440    0.27538              NaN               NaN
  72   0.04503    0.27913              NaN               NaN
  73   0.04565    0.28294              NaN               NaN
  74   0.04628    0.28668              NaN               NaN
  75   0.04690    0.29048              NaN               NaN
  76   0.04753    0.29421              NaN               NaN
  77   0.04816    0.29795              NaN               NaN
  78   0.04878    0.30173              NaN               NaN
  79   0.04941    0.30545              NaN               NaN
  80   0.05003    0.30923              NaN               NaN
  81   0.05066    0.31294              NaN               NaN
