 i       X     FEXACT   FI_LAXW   ERR_LAXW
 137   0.08568   0.51269   0.97607   0.46338
 138   0.08630   0.51604   0.97523   0.45918
 139   0.08693   0.51944   0.97436   0.45493
 140   0.08755   0.52277   0.97349   0.45072
 141   0.08818   0.52615   0.97260   0.44645
 142   0.08881   0.52947   0.97169   0.44223
 143   0.08943   0.53278   0.97077   0.43800
 144   0.09006   0.53613   0.96984   0.43371
 145   0.09068   0.53942   0.96889   0.42947
 146   0.09131   0.54276   0.96792   0.42516
 147   0.09193   0.54604   0.96694   0.42091
 148   0.09256   0.54930   0.96595   0.41665
 149   0.09318   0.55261   0.96494   0.41232
 150   0.09381   0.55587   0.96392   0.40805
 151   0.09443   0.55916   0.96288   0.40372
 152   0.09506   0.56239   0.96182   0.39943
 153   0.09568   0.56562   0.96075   0.39513
 154   0.09631   0.56889   0.95967   0.39078
 155   0.09694   0.57210   0.95857   0.38647
 156   0.09756   0.57534   0.95746   0.38211
 157   0.09819   0.57849   0.95633   0.37784
 158   0.09881   0.58172   0.95518   0.37347
 159   0.09944   0.58489   0.95402   0.36913
 160   0.10006   0.58805   0.95285   0.36480
 161   0.10069   0.59126   0.95166   0.36040
 162   0.10131   0.59440   0.95046   0.35606
 163   0.10194   0.59759   0.94924   0.35165
 164   0.10256   0.60072   0.94801   0.34729
 165   0.10319   0.60384   0.94676   0.34293
 166   0.10381   0.60699   0.94550   0.33850
 167   0.10444   0.61009   0.94422   0.33413
 168   0.10507   0.61323   0.94293   0.32970
 169   0.10569   0.61631   0.94162   0.32531
 170   0.10632   0.61938   0.94030   0.32091
 171   0.10694   0.62249   0.93896   0.31647
 172   0.10757   0.62555   0.93761   0.31206
 173   0.10819   0.62864   0.93624   0.30760
 174   0.10882   0.63167   0.93486   0.30319
 175   0.10944   0.63469   0.93346   0.29877
 176   0.11007   0.63775   0.93205   0.29430
 177   0.11069   0.64076   0.93062   0.28986
 178   0.11132   0.64380   0.92918   0.28538
 179   0.11194   0.64678   0.92772   0.28094
 180   0.11257   0.64976   0.92625   0.27650
 181   0.11320   0.65277   0.92477   0.27200
 182   0.11382   0.65572   0.92327   0.26755
 183   0.11445   0.65871   0.92175   0.26304
 184   0.11507   0.66165   0.92022   0.25858
 185   0.11570   0.66457   0.91868   0.25411
 186   0.11632   0.66753   0.91713   0.24960
 187   0.11695   0.67043   0.91556   0.24513
 188   0.11757   0.67337   0.91397   0.24060
 189   0.11820   0.67625   0.91238   0.23612
 190   0.11882   0.67913   0.91077   0.23164
 191   0.11945   0.68203   0.90914   0.22711
 192   0.12008   0.68488   0.90750   0.22262
 193   0.12070   0.68772   0.90585   0.21812
 194   0.12133   0.69056   0.90418   0.21363
 195   0.12195   0.69342   0.90250   0.20908
 196   0.12258   0.69623   0.90081   0.20458
 197   0.12320   0.69907   0.89910   0.20003
 198   0.12383   0.70186   0.89737   0.19552
 199   0.12445   0.70464   0.89564   0.19100
 200   0.12508   0.70745   0.89389   0.18644
 201   0.12570   0.71020   0.89212   0.18192
 202   0.12633   0.71299   0.89035   0.17736
 203   0.12695   0.71572   0.88855   0.17283
 204   0.12758   0.71844   0.88675   0.16830
 205   0.12821   0.72120   0.88493   0.16373
 206   0.12883   0.72390   0.88309   0.15920
 207   0.12946   0.72663   0.88125   0.15462
 208   0.13008   0.72931   0.87938   0.15008
 209   0.13071   0.73198   0.87751   0.14553
 210   0.13133   0.73467   0.87562   0.14095
 211   0.13196   0.73732   0.87372   0.13640
 212   0.13258   0.73999   0.87180   0.13181
 213   0.13321   0.74261   0.86987   0.12725
 214   0.13383   0.74522   0.86792   0.12270
 215   0.13446   0.74786   0.86596   0.11810
 216   0.13508   0.75045   0.86399   0.11354
 217   0.13571   0.75307   0.86200   0.10894
 218   0.13634   0.75563   0.86001   0.10437
 219   0.13696   0.75818   0.85799   0.09981
 220   0.13759   0.76076   0.85597   0.09520
 221   0.13821   0.76329   0.85393   0.09064
 222   0.13884   0.76585   0.85188   0.08603
 223   0.13946   0.76836   0.84982   0.08146
 224   0.14009   0.77085   0.84775   0.07689
 225   0.14071   0.77337   0.84566   0.07229
 226   0.14134   0.77580   0.84356   0.06776
 227   0.14196   0.77830   0.84145   0.06315
 228   0.14259   0.78075   0.83933   0.05859
 229   0.14321   0.78322   0.83720   0.05398
 230   0.14384   0.78564   0.83506   0.04941
 231   0.14447   0.78805   0.83290   0.04484
 232   0.14509   0.79049   0.83073   0.04024
 233   0.14572   0.79288   0.82855   0.03567
 234   0.14634   0.79529   0.82636   0.03107
 235   0.14697   0.79765   0.82415   0.02650
 236   0.14759   0.80000   0.82194   0.02194
 237   0.14822   0.80237   0.81971   0.01733
 238   0.14884   0.80470   0.81747   0.01277
 239   0.14947   0.80705   0.81522   0.00817
 240   0.15009   0.80935   0.81295   0.00360
 241   0.15072   0.81164   0.81067   0.00096
 242   0.15134   0.81395   0.80839   0.00556
 243   0.15197   0.81621   0.80609   0.01012
 244   0.15260   0.81850   0.80378   0.01472
 245   0.15322   0.82073   0.80145   0.01928
