 i       X     FEXACT   FI_UPWIND   ERR_UP
 137   0.08568   0.51269   0.86397   0.35128
 138   0.08630   0.51604   0.86322   0.34718
 139   0.08693   0.51944   0.86246   0.34303
 140   0.08755   0.52277   0.86169   0.33892
 141   0.08818   0.52615   0.86090   0.33475
 142   0.08881   0.52947   0.86010   0.33063
 143   0.08943   0.53278   0.85928   0.32651
 144   0.09006   0.53613   0.85845   0.32232
 145   0.09068   0.53942   0.85761   0.31819
 146   0.09131   0.54276   0.85675   0.31400
 147   0.09193   0.54604   0.85589   0.30985
 148   0.09256   0.54930   0.85500   0.30570
 149   0.09318   0.55261   0.85411   0.30149
 150   0.09381   0.55587   0.85320   0.29733
 151   0.09443   0.55916   0.85228   0.29312
 152   0.09506   0.56239   0.85134   0.28895
 153   0.09568   0.56562   0.85040   0.28478
 154   0.09631   0.56889   0.84944   0.28055
 155   0.09694   0.57210   0.84846   0.27637
 156   0.09756   0.57534   0.84747   0.27213
 157   0.09819   0.57849   0.84647   0.26799
 158   0.09881   0.58172   0.84546   0.26374
 159   0.09944   0.58489   0.84443   0.25954
 160   0.10006   0.58805   0.84339   0.25534
 161   0.10069   0.59126   0.84234   0.25108
 162   0.10131   0.59440   0.84128   0.24687
 163   0.10194   0.59759   0.84020   0.24261
 164   0.10256   0.60072   0.83911   0.23839
 165   0.10319   0.60384   0.83800   0.23417
 166   0.10381   0.60699   0.83688   0.22989
 167   0.10444   0.61009   0.83575   0.22566
 168   0.10507   0.61323   0.83461   0.22138
 169   0.10569   0.61631   0.83346   0.21714
 170   0.10632   0.61938   0.83229   0.21290
 171   0.10694   0.62249   0.83111   0.20861
 172   0.10757   0.62555   0.82991   0.20437
 173   0.10819   0.62864   0.82871   0.20007
 174   0.10882   0.63167   0.82749   0.19582
 175   0.10944   0.63469   0.82625   0.19156
 176   0.11007   0.63775   0.82501   0.18726
 177   0.11069   0.64076   0.82375   0.18299
 178   0.11132   0.64380   0.82248   0.17868
 179   0.11194   0.64678   0.82120   0.17442
 180   0.11257   0.64976   0.81990   0.17015
 181   0.11320   0.65277   0.81859   0.16583
 182   0.11382   0.65572   0.81727   0.16155
 183   0.11445   0.65871   0.81594   0.15723
 184   0.11507   0.66165   0.81459   0.15295
 185   0.11570   0.66457   0.81324   0.14867
 186   0.11632   0.66753   0.81186   0.14434
