 i       X     FEXACT   FI_LAXW   ERR_LAXW
   0  -1.00000   0.00000    0.009329    0.009329
   1  -0.99900   0.01001    0.015889    0.005884
   2  -0.99800   0.02001    0.023209    0.003199
   3  -0.99700   0.03001    0.031165    0.001151
   4  -0.99600   0.04002    0.039639    0.000381
   5  -0.99500   0.05002    0.048522    0.001503
   6  -0.99400   0.06003    0.057723    0.002307
   7  -0.99300   0.07004    0.067162    0.002873
   8  -0.99200   0.08004    0.076777    0.003262
   9  -0.99100   0.09004    0.086518    0.003526
  10  -0.99000   0.10005    0.096348    0.003702
  11  -0.98899   0.11006    0.106239    0.003816
  12  -0.98799   0.12006    0.116172    0.003889
  13  -0.98699   0.13006    0.126131    0.003933
  14  -0.98599   0.14007    0.136108    0.003963
  15  -0.98499   0.15007    0.146096    0.003978
  16  -0.98399   0.16008    0.156092    0.003989
  17  -0.98299   0.17009    0.166091    0.003994
  18  -0.98199   0.18009    0.176093    0.003997
  19  -0.98099   0.19010    0.186096    0.004000
  20  -0.97999   0.20010    0.196100    0.004000
  21  -0.97899   0.21011    0.206105    0.004000
  22  -0.97799   0.22011    0.216110    0.004000
  23  -0.97699   0.23011    0.226115    0.003999
  24  -0.97599   0.24012    0.236121    0.004000
  25  -0.97499   0.25012    0.246126    0.003999
  26  -0.97399   0.26013    0.256131    0.003999
  27  -0.97299   0.27014    0.266136    0.004000
  28  -0.97199   0.28014    0.276140    0.003999
  29  -0.97099   0.29015    0.286145    0.004001
  30  -0.96999   0.30015    0.296150    0.004000
  31  -0.96898   0.31016    0.306155    0.004000
  32  -0.96798   0.32016    0.316160    0.004001
  33  -0.96698   0.33016    0.326164    0.004000
  34  -0.96598   0.34017    0.336169    0.004002
  35  -0.96498   0.35017    0.346174    0.004001
  36  -0.96398   0.36018    0.356179    0.004001
  37  -0.96298   0.37019    0.366184    0.004002
  38  -0.96198   0.38019    0.376188    0.004001
  39  -0.96098   0.39020    0.386193    0.004003
  40  -0.95998   0.40020    0.396198    0.004002
  41  -0.95898   0.41021    0.406203    0.004002
  42  -0.95798   0.42021    0.416209    0.004001
  43  -0.95698   0.43021    0.426216    0.003999
  44  -0.95598   0.44022    0.436223    0.003998
  45  -0.95498   0.45022    0.446229    0.003996
  46  -0.95398   0.46023    0.456233    0.003997
  47  -0.95298   0.47024    0.466234    0.004001
  48  -0.95198   0.48024    0.476234    0.004006
  49  -0.95098   0.49025    0.486233    0.004013
  50  -0.94998   0.50025    0.496236    0.004014
  51  -0.94897   0.51026    0.506245    0.004010
  52  -0.94797   0.52026    0.516261    0.004000
  53  -0.94697   0.53026    0.526281    0.003984
  54  -0.94597   0.54027    0.536299    0.003972
  55  -0.94497   0.55027    0.546308    0.003967
  56  -0.94397   0.56028    0.556301    0.003979
  57  -0.94297   0.57029    0.566276    0.004009
  58  -0.94197   0.58029    0.576241    0.004048
  59  -0.94097   0.59030    0.586209    0.004086
  60  -0.93997   0.60030    0.596200    0.004100
  61  -0.93897   0.61031    0.606228    0.004077
  62  -0.93797   0.62031    0.616301    0.004009
  63  -0.93697   0.63031    0.626407    0.003907
  64  -0.93597   0.64032    0.636518    0.003803
  65  -0.93497   0.65032    0.646592    0.003733
  66  -0.93397   0.66033    0.656587    0.003743
  67  -0.93297   0.67034    0.666478    0.003858
  68  -0.93197   0.68034    0.676268    0.004073
  69  -0.93097   0.69035    0.686000    0.004346
  70  -0.92996   0.70035    0.695752    0.004598
  71  -0.92896   0.71036    0.705617    0.004738
  72  -0.92796   0.72036    0.715680    0.004680
  73  -0.92696   0.73037    0.725988    0.004378
  74  -0.92596   0.74037    0.736522    0.003849
  75  -0.92496   0.75037    0.747193    0.003182
  76  -0.92396   0.76038    0.757846    0.002534
  77  -0.92296   0.77039    0.768295    0.002091
  78  -0.92196   0.78039    0.778359    0.002031
  79  -0.92096   0.79040    0.787918    0.002477
  80  -0.91996   0.80040    0.796948    0.003451
  81  -0.91896   0.81041    0.805544    0.004861
  82  -0.91796   0.82041    0.813920    0.006490
  83  -0.91696   0.83042    0.822377    0.008038
  84  -0.91596   0.84042    0.831259    0.009162
  85  -0.91496   0.85042    0.840885    0.009540
  86  -0.91396   0.86043    0.851493    0.008937
  87  -0.91296   0.87044    0.863189    0.007246
  88  -0.91196   0.88044    0.875920    0.004520
  89  -0.91096   0.89045    0.889469    0.000976
  90  -0.90995   0.90045    0.903477    0.003027
  91  -0.90895   0.91045    0.917482    0.007027
  92  -0.90795   0.92046    0.930971    0.010511
  93  -0.90695   0.93047    0.943439    0.012973
  94  -0.90595   0.94047    0.954431    0.013960
  95  -0.90495   0.95047    0.963586    0.013111
  96  -0.90395   0.96048    0.970657    0.010177
  97  -0.90295   0.97049    0.975519    0.005033
  98  -0.90195   0.98049    0.978162    0.002329
  99  -0.90095   0.99050    0.978676    0.011819
 100  -0.89995   0.99950    0.977227    0.022273
 101  -0.89895   0.98950    0.974029    0.015466
 102  -0.89795   0.97949    0.969324    0.010166
 103  -0.89695   0.96948    0.963360    0.006125
 104  -0.89595   0.95948    0.956371    0.003108
 105  -0.89495   0.94948    0.948572    0.000903
 106  -0.89395   0.93947    0.940148    0.000680
