 i       X     FEXACT   FI_FTCS   ERR_FTCS
   0  -1.00000   0.00000              NaN              NaN
   1  -0.99900   0.01001              NaN              NaN
   2  -0.99800   0.02001              NaN              NaN
   3  -0.99700   0.03001              NaN              NaN
   4  -0.99600   0.04002              NaN              NaN
   5  -0.99500   0.05002              NaN              NaN
   6  -0.99400   0.06003              NaN              NaN
   7  -0.99300   0.07004              NaN              NaN
   8  -0.99200   0.08004              NaN              NaN
   9  -0.99100   0.09004              NaN              NaN
  10  -0.99000   0.10005              NaN              NaN
  11  -0.98899   0.11006              NaN              NaN
  12  -0.98799   0.12006              NaN              NaN
  13  -0.98699   0.13006              NaN              NaN
  14  -0.98599   0.14007              NaN              NaN
  15  -0.98499   0.15007              NaN              NaN
  16  -0.98399   0.16008              NaN              NaN
  17  -0.98299   0.17009              NaN              NaN
  18  -0.98199   0.18009              NaN              NaN
  19  -0.98099   0.19010              NaN              NaN
  20  -0.97999   0.20010              NaN              NaN
  21  -0.97899   0.21011              NaN              NaN
  22  -0.97799   0.22011              NaN              NaN
  23  -0.97699   0.23011              NaN              NaN
  24  -0.97599   0.24012              NaN              NaN
  25  -0.97499   0.25012              NaN              NaN
  26  -0.97399   0.26013              NaN              NaN
  27  -0.97299   0.27014              NaN              NaN
  28  -0.97199   0.28014              NaN              NaN
  29  -0.97099   0.29015              NaN              NaN
  30  -0.96999   0.30015              NaN              NaN
  31  -0.96898   0.31016              NaN              NaN
  32  -0.96798   0.32016              NaN              NaN
  33  -0.96698   0.33016              NaN              NaN
  34  -0.96598   0.34017              NaN              NaN
  35  -0.96498   0.35017              NaN              NaN
  36  -0.96398   0.36018              NaN              NaN
  37  -0.96298   0.37019              NaN              NaN
  38  -0.96198   0.38019              NaN              NaN
  39  -0.96098   0.39020              NaN              NaN
  40  -0.95998   0.40020              NaN              NaN
  41  -0.95898   0.41021              NaN              NaN
  42  -0.95798   0.42021              NaN              NaN
  43  -0.95698   0.43021              NaN              NaN
  44  -0.95598   0.44022              NaN              NaN
  45  -0.95498   0.45022              NaN              NaN
  46  -0.95398   0.46023              NaN              NaN
  47  -0.95298   0.47024              NaN              NaN
  48  -0.95198   0.48024              NaN              NaN
  49  -0.95098   0.49025              NaN              NaN
