 i       X     FEXACT   FI_LAXF   ERR_LAXF
   0  -1.00000   0.00000    0.056061    0.056061
   1  -0.99900   0.01001    0.061009    0.051003
   2  -0.99800   0.02001    0.066231    0.046220
   3  -0.99700   0.03001    0.071728    0.041713
   4  -0.99600   0.04002    0.077497    0.037477
   5  -0.99500   0.05002    0.083537    0.033512
   6  -0.99400   0.06003    0.089841    0.029811
   7  -0.99300   0.07004    0.096408    0.026373
   8  -0.99200   0.08004    0.103226    0.023186
   9  -0.99100   0.09004    0.110294    0.020250
  10  -0.99000   0.10005    0.117596    0.017546
  11  -0.98899   0.11006    0.125132    0.015077
  12  -0.98799   0.12006    0.132880    0.012820
  13  -0.98699   0.13006    0.140842    0.010778
  14  -0.98599   0.14007    0.148995    0.008924
  15  -0.98499   0.15007    0.157339    0.007264
  16  -0.98399   0.16008    0.165849    0.005769
  17  -0.98299   0.17009    0.174527    0.004442
  18  -0.98199   0.18009    0.183348    0.003258
  19  -0.98099   0.19010    0.192312    0.002216
  20  -0.97999   0.20010    0.201396    0.001296
  21  -0.97899   0.21011    0.210601    0.000496
  22  -0.97799   0.22011    0.219903    0.000207
  23  -0.97699   0.23011    0.229305    0.000810
  24  -0.97599   0.24012    0.238785    0.001336
  25  -0.97499   0.25012    0.248344    0.001781
  26  -0.97399   0.26013    0.257964    0.002166
  27  -0.97299   0.27014    0.267647    0.002488
  28  -0.97199   0.28014    0.277376    0.002763
  29  -0.97099   0.29015    0.287154    0.002992
  30  -0.96999   0.30015    0.296965    0.003185
  31  -0.96898   0.31016    0.306813    0.003342
  32  -0.96798   0.32016    0.316685    0.003475
  33  -0.96698   0.33016    0.326584    0.003580
  34  -0.96598   0.34017    0.336500    0.003671
  35  -0.96498   0.35017    0.346435    0.003740
  36  -0.96398   0.36018    0.356382    0.003798
  37  -0.96298   0.37019    0.366341    0.003844
  38  -0.96198   0.38019    0.376309    0.003881
  39  -0.96098   0.39020    0.386285    0.003911
  40  -0.95998   0.40020    0.396266    0.003934
  41  -0.95898   0.41021    0.406253    0.003952
  42  -0.95798   0.42021    0.416242    0.003968
  43  -0.95698   0.43021    0.426235    0.003979
  44  -0.95598   0.44022    0.436229    0.003991
  45  -0.95498   0.45022    0.446226    0.003999
  46  -0.95398   0.46023    0.456222    0.004008
  47  -0.95298   0.47024    0.466219    0.004016
  48  -0.95198   0.48024    0.476215    0.004025
  49  -0.95098   0.49025    0.486211    0.004035
  50  -0.94998   0.50025    0.496204    0.004045
  51  -0.94897   0.51026    0.506197    0.004058
  52  -0.94797   0.52026    0.516186    0.004074
  53  -0.94697   0.53026    0.526173    0.004092
  54  -0.94597   0.54027    0.536155    0.004116
  55  -0.94497   0.55027    0.546133    0.004142
  56  -0.94397   0.56028    0.556103    0.004177
  57  -0.94297   0.57029    0.566068    0.004217
  58  -0.94197   0.58029    0.576023    0.004267
  59  -0.94097   0.59030    0.585969    0.004326
  60  -0.93997   0.60030    0.595900    0.004400
  61  -0.93897   0.61031    0.605821    0.004485
  62  -0.93797   0.62031    0.615719    0.004591
  63  -0.93697   0.63031    0.625602    0.004712
  64  -0.93597   0.64032    0.635456    0.004865
  65  -0.93497   0.65032    0.645288    0.005037
  66  -0.93397   0.66033    0.655080    0.005250
  67  -0.93297   0.67034    0.664844    0.005492
  68  -0.93197   0.68034    0.674554    0.005786
  69  -0.93097   0.69035    0.684225    0.006121
  70  -0.92996   0.70035    0.693827    0.006523
  71  -0.92896   0.71036    0.703377    0.006978
  72  -0.92796   0.72036    0.712838    0.007522
  73  -0.92696   0.73037    0.722230    0.008135
  74  -0.92596   0.74037    0.731511    0.008860
  75  -0.92496   0.75037    0.740702    0.009673
  76  -0.92396   0.76038    0.749753    0.010627
  77  -0.92296   0.77039    0.758692    0.011693
  78  -0.92196   0.78039    0.767458    0.012932
  79  -0.92096   0.79040    0.776085    0.014311
  80  -0.91996   0.80040    0.784501    0.015899
  81  -0.91896   0.81041    0.792747    0.017658
  82  -0.91796   0.82041    0.800742    0.019669
  83  -0.91696   0.83042    0.808531    0.021884
  84  -0.91596   0.84042    0.816025    0.024396
  85  -0.91496   0.85042    0.823277    0.027148
  86  -0.91396   0.86043    0.830185    0.030245
  87  -0.91296   0.87044    0.836813    0.033622
  88  -0.91196   0.88044    0.843049    0.037392
  89  -0.91096   0.89045    0.848964    0.041481
  90  -0.90995   0.90045    0.854440    0.046010
  91  -0.90895   0.91045    0.859556    0.050898
  92  -0.90795   0.92046    0.864188    0.056272
  93  -0.90695   0.93047    0.868423    0.062042
  94  -0.90595   0.94047    0.872134    0.068337
  95  -0.90495   0.95047    0.875414    0.075061
  96  -0.90395   0.96048    0.878135    0.082345
  97  -0.90295   0.97049    0.880399    0.090086
  98  -0.90195   0.98049    0.882079    0.098412
  99  -0.90095   0.99050    0.883280    0.107216
 100  -0.89995   0.99950    0.883881    0.115619
 101  -0.89895   0.98950    0.883991    0.105504
 102  -0.89795   0.97949    0.883496    0.095993
 103  -0.89695   0.96948    0.882508    0.086977
 104  -0.89595   0.95948    0.880921    0.078559
 105  -0.89495   0.94948    0.878845    0.070630
 106  -0.89395   0.93947    0.876189    0.063280
 107  -0.89295   0.92946    0.873060    0.056405
 108  -0.89195   0.91946    0.869379    0.050081
 109  -0.89095   0.90945    0.865247    0.044207
 110  -0.88994   0.89945    0.860601    0.038849
 111  -0.88894   0.88944    0.855536    0.033908
 112  -0.88794   0.87944    0.850000    0.029440
 113  -0.88694   0.86943    0.844081    0.025353
 114  -0.88594   0.85943    0.837743    0.021687
 115  -0.88494   0.84943    0.831060    0.018365
 116  -0.88394   0.83942    0.824011    0.015408
 117  -0.88294   0.82941    0.816660    0.012755
 118  -0.88194   0.81941    0.808995    0.010415
 119  -0.88094   0.80940    0.801071    0.008333
 120  -0.87994   0.79940    0.792884    0.006516
 121  -0.87894   0.78939    0.784480    0.004914
 122  -0.87794   0.77939    0.775860    0.003530
 123  -0.87694   0.76938    0.767063    0.002322
 124  -0.87594   0.75938    0.758091    0.001288
 125  -0.87494   0.74938    0.748979    0.000397
 126  -0.87394   0.73937    0.739729    0.000361
 127  -0.87294   0.72936    0.730370    0.001005
 128  -0.87194   0.71936    0.720905    0.001546
 129  -0.87094   0.70935    0.711357    0.002003
 130  -0.86993   0.69935    0.701730    0.002380
 131  -0.86893   0.68934    0.692041    0.002697
 132  -0.86793   0.67934    0.682295    0.002955
 133  -0.86693   0.66933    0.672503    0.003169
 134  -0.86593   0.65933    0.662671    0.003342
 135  -0.86493   0.64933    0.652807    0.003481
 136  -0.86393   0.63932    0.642915    0.003596
 137  -0.86293   0.62931    0.633000    0.003685
 138  -0.86193   0.61931    0.623067    0.003757
 139  -0.86093   0.60930    0.613119    0.003815
 140  -0.85993   0.59930    0.603159    0.003859
 141  -0.85893   0.58929    0.593189    0.003895
 142  -0.85793   0.57929    0.583212    0.003922
 143  -0.85693   0.56928    0.573228    0.003943
 144  -0.85593   0.55928    0.563240    0.003961
 145  -0.85493   0.54928    0.553249    0.003973
 146  -0.85393   0.53927    0.543255    0.003986
 147  -0.85293   0.52926    0.533259    0.003994
 148  -0.85193   0.51926    0.523262    0.004003
 149  -0.85093   0.50925    0.513264    0.004010
 150  -0.84992   0.49925    0.503268    0.004018
 151  -0.84892   0.48924    0.493270    0.004026
 152  -0.84792   0.47924    0.483275    0.004035
 153  -0.84692   0.46923    0.473279    0.004045
 154  -0.84592   0.45923    0.463287    0.004058
 155  -0.84492   0.44922    0.453296    0.004072
 156  -0.84392   0.43922    0.443309    0.004090
 157  -0.84292   0.42921    0.433324    0.004109
 158  -0.84192   0.41921    0.423345    0.004135
 159  -0.84092   0.40920    0.413369    0.004165
 160  -0.83992   0.39920    0.403402    0.004203
 161  -0.83892   0.38919    0.393440    0.004246
 162  -0.83792   0.37919    0.383489    0.004299
 163  -0.83692   0.36918    0.373545    0.004360
 164  -0.83592   0.35918    0.363617    0.004437
 165  -0.83492   0.34917    0.353699    0.004524
 166  -0.83392   0.33917    0.343801    0.004632
 167  -0.83292   0.32916    0.333918    0.004753
 168  -0.83192   0.31916    0.324062    0.004902
 169  -0.83092   0.30915    0.314224    0.005070
 170  -0.82991   0.29915    0.304423    0.005274
 171  -0.82891   0.28914    0.294646    0.005502
 172  -0.82791   0.27914    0.284917    0.005777
 173  -0.82691   0.26913    0.275218    0.006084
 174  -0.82591   0.25913    0.265580    0.006451
 175  -0.82491   0.24912    0.255983    0.006858
 176  -0.82391   0.23912    0.246460    0.007341
 177  -0.82291   0.22912    0.236989    0.007874
 178  -0.82191   0.21911    0.227611    0.008501
 179  -0.82091   0.20910    0.218295    0.009191
 180  -0.81991   0.19910    0.209094    0.009995
 181  -0.81891   0.18909    0.199969    0.010875
 182  -0.81791   0.17909    0.190980    0.011890
 183  -0.81691   0.16908    0.182083    0.012998
 184  -0.81591   0.15908    0.173347    0.014267
 185  -0.81491   0.14907    0.164718    0.015644
 186  -0.81391   0.13907    0.156277    0.017208
 187  -0.81291   0.12907    0.147961    0.018896
 188  -0.81191   0.11906    0.139858    0.020798
 189  -0.81091   0.10905    0.131898    0.022843
 190  -0.80990   0.09905    0.124177    0.025128
 191  -0.80890   0.08904    0.116617    0.027573
 192  -0.80790   0.07904    0.109320    0.030280
 193  -0.80690   0.06903    0.102200    0.033165
 194  -0.80590   0.05903    0.095367    0.036337
 195  -0.80490   0.04902    0.088724    0.039699
 196  -0.80390   0.03902    0.082386    0.043367
 197  -0.80290   0.02902    0.076252    0.047236
 198  -0.80190   0.01901    0.070436    0.051427
 199  -0.80090   0.00900    0.064833    0.055828
 200  -0.79990   0.00000    0.059557    0.059557
 201  -0.79890   0.00000    0.054499    0.054499
 202  -0.79790   0.00000    0.049771    0.049771
 203  -0.79690   0.00000    0.045263    0.045263
 204  -0.79590   0.00000    0.041081    0.041081
 205  -0.79490   0.00000    0.037117    0.037117
 206  -0.79390   0.00000    0.033468    0.033468
 207  -0.79290   0.00000    0.030031    0.030031
 208  -0.79190   0.00000    0.026894    0.026894
 209  -0.79090   0.00000    0.023957    0.023957
 210  -0.78989   0.00000    0.021301    0.021301
 211  -0.78889   0.00000    0.018831    0.018831
 212  -0.78789   0.00000    0.016617    0.016617
 213  -0.78689   0.00000    0.014574    0.014574
 214  -0.78589   0.00000    0.012760    0.012760
 215  -0.78489   0.00000    0.011099    0.011099
 216  -0.78389   0.00000    0.009638    0.009638
 217  -0.78289   0.00000    0.008311    0.008311
 218  -0.78189   0.00000    0.007155    0.007155
 219  -0.78089   0.00000    0.006114    0.006114
 220  -0.77989   0.00000    0.005217    0.005217
 221  -0.77889   0.00000    0.004417    0.004417
 222  -0.77789   0.00000    0.003734    0.003734
 223  -0.77689   0.00000    0.003130    0.003130
 224  -0.77589   0.00000    0.002621    0.002621
 225  -0.77489   0.00000    0.002175    0.002175
 226  -0.77389   0.00000    0.001803    0.001803
 227  -0.77289   0.00000    0.001481    0.001481
 228  -0.77189   0.00000    0.001215    0.001215
 229  -0.77089   0.00000    0.000987    0.000987
 230  -0.76988   0.00000    0.000801    0.000801
 231  -0.76888   0.00000    0.000644    0.000644
 232  -0.76788   0.00000    0.000517    0.000517
 233  -0.76688   0.00000    0.000410    0.000410
 234  -0.76588   0.00000    0.000325    0.000325
 235  -0.76488   0.00000    0.000255    0.000255
 236  -0.76388   0.00000    0.000200    0.000200
 237  -0.76288   0.00000    0.000155    0.000155
 238  -0.76188   0.00000    0.000120    0.000120
 239  -0.76088   0.00000    0.000092    0.000092
 240  -0.75988   0.00000    0.000070    0.000070
 241  -0.75888   0.00000    0.000053    0.000053
 242  -0.75788   0.00000    0.000040    0.000040
 243  -0.75688   0.00000    0.000030    0.000030
 244  -0.75588   0.00000    0.000022    0.000022
 245  -0.75488   0.00000    0.000016    0.000016
 246  -0.75388   0.00000    0.000012    0.000012
 247  -0.75288   0.00000    0.000009    0.000009
 248  -0.75188   0.00000    0.000006    0.000006
 249  -0.75088   0.00000    0.000004    0.000004
 250  -0.74987   0.00000    0.000003    0.000003
 251  -0.74887   0.00000    0.000002    0.000002
 252  -0.74787   0.00000    0.000002    0.000002
 253  -0.74687   0.00000    0.000001    0.000001
 254  -0.74587   0.00000    0.000001    0.000001
 255  -0.74487   0.00000    0.000000    0.000000
 256  -0.74387   0.00000    0.000000    0.000000
 257  -0.74287   0.00000    0.000000    0.000000
 258  -0.74187   0.00000    0.000000    0.000000
 259  -0.74087   0.00000    0.000000    0.000000
 260  -0.73987   0.00000    0.000000    0.000000
 261  -0.73887   0.00000    0.000000    0.000000
 262  -0.73787   0.00000    0.000000    0.000000
 263  -0.73687   0.00000    0.000000    0.000000
 264  -0.73587   0.00000    0.000000    0.000000
 265  -0.73487   0.00000    0.000000    0.000000
 266  -0.73387   0.00000    0.000000    0.000000
 267  -0.73287   0.00000    0.000000    0.000000
 268  -0.73187   0.00000    0.000000    0.000000
 269  -0.73087   0.00000    0.000000    0.000000
 270  -0.72986   0.00000    0.000000    0.000000
 271  -0.72886   0.00000    0.000000    0.000000
 272  -0.72786   0.00000    0.000000    0.000000
 273  -0.72686   0.00000    0.000000    0.000000
 274  -0.72586   0.00000    0.000000    0.000000
