 i       X     FEXACT   FI_FTCS   ERR_FTCS
   0   0.00000    0.00000   **************          ********
   1   0.01010    0.06342   **************          ********
   2   0.02020    0.12659   **************          ********
   3   0.03030    0.18925   **************          ********
   4   0.04040    0.25115   **************          ********
   5   0.05051    0.31203   **************          ********
   6   0.06061    0.37166   **************          ********
   7   0.07071    0.42979   **************          ********
   8   0.08081    0.48620   **************          ********
   9   0.09091    0.54064   **************          ********
  10   0.10101    0.59291   **************          ********
  11   0.11111    0.64279   **************          ********
  12   0.12121    0.69008   **************          ********
  13   0.13131    0.73459   **************          ********
  14   0.14141    0.77615   **************          ********
  15   0.15152    0.81458   **************          ********
  16   0.16162    0.84973   **************          ********
  17   0.17172    0.88145   **************          ********
  18   0.18182    0.90963   **************          ********
  19   0.19192    0.93415   **************          ********
  20   0.20202    0.95490   **************          ********
  21   0.21212    0.97181   **************          ********
  22   0.22222    0.98481   **************          ********
  23   0.23232    0.99384   **************          ********
  24   0.24242    0.99887   **************          ********
  25   0.25253    0.99987   **************          ********
  26   0.26263    0.99685   **************          ********
  27   0.27273    0.98982   **************          ********
  28   0.28283    0.97880   **************          ********
  29   0.29293    0.96384   **************          ********
  30   0.30303    0.94500   **************          ********
  31   0.31313    0.92235   **************          ********
  32   0.32323    0.89599   **************          ********
  33   0.33333    0.86603   **************          ********
  34   0.34343    0.83257   **************          ********
  35   0.35354    0.79576   **************          ********
  36   0.36364    0.75575   **************          ********
  37   0.37374    0.71269   **************          ********
  38   0.38384    0.66677   **************          ********
  39   0.39394    0.61816   **************          ********
  40   0.40404    0.56706   **************          ********
  41   0.41414    0.51368   **************          ********
  42   0.42424    0.45823   **************          ********
  43   0.43434    0.40093   **************          ********
  44   0.44444    0.34202   **************          ********
  45   0.45455    0.28173   **************          ********
  46   0.46465    0.22031   **************          ********
  47   0.47475    0.15800   **************          ********
  48   0.48485    0.09506   **************          ********
  49   0.49495    0.03173   **************          ********
  50   0.50505   -0.03173   **************          ********
  51   0.51515   -0.09506   **************          ********
  52   0.52525   -0.15800   **************          ********
  53   0.53535   -0.22031   **************          ********
  54   0.54545   -0.28173   **************          ********
  55   0.55556   -0.34202   **************          ********
  56   0.56566   -0.40093   **************          ********
  57   0.57576   -0.45823   **************          ********
  58   0.58586   -0.51368   **************          ********
  59   0.59596   -0.56706   **************          ********
  60   0.60606   -0.61816   **************          ********
  61   0.61616   -0.66677   **************          ********
  62   0.62626   -0.71269   **************          ********
  63   0.63636   -0.75575   **************          ********
  64   0.64646   -0.79576   **************          ********
  65   0.65657   -0.83257   **************          ********
  66   0.66667   -0.86603   **************          ********
  67   0.67677   -0.89599   **************          ********
  68   0.68687   -0.92235   **************          ********
  69   0.69697   -0.94500   **************          ********
  70   0.70707   -0.96384   **************          ********
  71   0.71717   -0.97880   **************          ********
  72   0.72727   -0.98982   **************          ********
  73   0.73737   -0.99685   **************          ********
  74   0.74747   -0.99987   **************          ********
  75   0.75758   -0.99887   **************          ********
  76   0.76768   -0.99384   **************          ********
  77   0.77778   -0.98481   **************          ********
  78   0.78788   -0.97181   **************          ********
  79   0.79798   -0.95490   **************          ********
  80   0.80808   -0.93415   **************          ********
  81   0.81818   -0.90963   **************          ********
  82   0.82828   -0.88145   **************          ********
  83   0.83838   -0.84973   **************          ********
  84   0.84848   -0.81458   **************          ********
  85   0.85859   -0.77615   **************          ********
  86   0.86869   -0.73459   **************          ********
  87   0.87879   -0.69008   **************          ********
  88   0.88889   -0.64279   **************          ********
  89   0.89899   -0.59291   **************          ********
  90   0.90909   -0.54064   **************          ********
  91   0.91919   -0.48620   **************          ********
  92   0.92929   -0.42979   **************          ********
  93   0.93939   -0.37166   **************          ********
  94   0.94949   -0.31203   **************          ********
  95   0.95960   -0.25115   **************          ********
  96   0.96970   -0.18925   **************          ********
  97   0.97980   -0.12659   **************          ********
  98   0.98990   -0.06342   **************          ********
  99   1.00000    0.00000   **************          ********
 
