 i       X     FEXACT   FI_LAXW   ERR_LAXW
   0   0.00000   0.00000  -0.05628   0.05628
   1   0.01010   0.06342   0.00715   0.05627
   2   0.02020   0.12659   0.07056   0.05603
   3   0.03030   0.18925   0.13368   0.05557
   4   0.04040   0.25115   0.19626   0.05488
   5   0.05051   0.31203   0.25806   0.05398
   6   0.06061   0.37166   0.31881   0.05285
   7   0.07071   0.42979   0.37828   0.05151
   8   0.08081   0.48620   0.43623   0.04997
   9   0.09091   0.54064   0.49242   0.04822
  10   0.10101   0.59291   0.54663   0.04628
  11   0.11111   0.64279   0.59863   0.04415
  12   0.12121   0.69008   0.64823   0.04185
  13   0.13131   0.73459   0.69522   0.03938
  14   0.14141   0.77615   0.73940   0.03674
  15   0.15152   0.81458   0.78061   0.03397
  16   0.16162   0.84973   0.81868   0.03105
  17   0.17172   0.88145   0.85345   0.02801
  18   0.18182   0.90963   0.88478   0.02485
  19   0.19192   0.93415   0.91255   0.02160
  20   0.20202   0.95490   0.93664   0.01826
  21   0.21212   0.97181   0.95697   0.01484
  22   0.22222   0.98481   0.97344   0.01137
  23   0.23232   0.99384   0.98599   0.00785
  24   0.24242   0.99887   0.99457   0.00430
  25   0.25253   0.99987   0.99915   0.00073
  26   0.26263   0.99685   0.99970   0.00285
  27   0.27273   0.98982   0.99623   0.00641
  28   0.28283   0.97880   0.98874   0.00994
  29   0.29293   0.96384   0.97728   0.01344
  30   0.30303   0.94500   0.96188   0.01688
  31   0.31313   0.92235   0.94260   0.02025
  32   0.32323   0.89599   0.91953   0.02354
  33   0.33333   0.86603   0.89276   0.02674
  34   0.34343   0.83257   0.86240   0.02983
  35   0.35354   0.79576   0.82856   0.03279
  36   0.36364   0.75575   0.79138   0.03563
  37   0.37374   0.71269   0.75102   0.03832
  38   0.38384   0.66677   0.70763   0.04086
  39   0.39394   0.61816   0.66140   0.04324
  40   0.40404   0.56706   0.61250   0.04544
  41   0.41414   0.51368   0.56113   0.04746
  42   0.42424   0.45823   0.50751   0.04928
  43   0.43434   0.40093   0.45184   0.05091
  44   0.44444   0.34202   0.39435   0.05233
  45   0.45455   0.28173   0.33528   0.05354
  46   0.46465   0.22031   0.27485   0.05454
  47   0.47475   0.15800   0.21332   0.05532
  48   0.48485   0.09506   0.15093   0.05587
  49   0.49495   0.03173   0.08793   0.05620
  50   0.50505  -0.03173   0.02458   0.05630
  51   0.51515  -0.09506  -0.03888   0.05618
  52   0.52525  -0.15800  -0.10217   0.05583
  53   0.53535  -0.22031  -0.16506   0.05525
  54   0.54545  -0.28173  -0.22728   0.05446
  55   0.55556  -0.34202  -0.28858   0.05344
  56   0.56566  -0.40093  -0.34872   0.05221
  57   0.57576  -0.45823  -0.40746   0.05077
  58   0.58586  -0.51368  -0.46456   0.04912
  59   0.59596  -0.56706  -0.51978   0.04727
  60   0.60606  -0.61816  -0.57292   0.04524
  61   0.61616  -0.66677  -0.62375   0.04302
  62   0.62626  -0.71269  -0.67206   0.04063
  63   0.63636  -0.75575  -0.71767   0.03808
  64   0.64646  -0.79576  -0.76039   0.03537
  65   0.65657  -0.83257  -0.80005   0.03252
  66   0.66667  -0.86603  -0.83648   0.02954
  67   0.67677  -0.89599  -0.86955   0.02644
  68   0.68687  -0.92235  -0.89912   0.02324
  69   0.69697  -0.94500  -0.92506   0.01994
  70   0.70707  -0.96384  -0.94728   0.01656
  71   0.71717  -0.97880  -0.96569   0.01311
  72   0.72727  -0.98982  -0.98021   0.00961
  73   0.73737  -0.99685  -0.99078   0.00607
  74   0.74747  -0.99987  -0.99736   0.00251
  75   0.75758  -0.99887  -0.99993   0.00106
  76   0.76768  -0.99384  -0.99847   0.00463
  77   0.77778  -0.98481  -0.99299   0.00818
  78   0.78788  -0.97181  -0.98351   0.01169
  79   0.79798  -0.95490  -0.97007   0.01516
  80   0.80808  -0.93415  -0.95272   0.01857
  81   0.81818  -0.90963  -0.93154   0.02191
  82   0.82828  -0.88145  -0.90661   0.02515
  83   0.83838  -0.84973  -0.87802   0.02830
  84   0.84848  -0.81458  -0.84590   0.03133
  85   0.85859  -0.77615  -0.81038   0.03423
  86   0.86869  -0.73459  -0.77159   0.03700
  87   0.87879  -0.69008  -0.72969   0.03961
  88   0.88889  -0.64279  -0.68486   0.04207
  89   0.89899  -0.59291  -0.63727   0.04436
  90   0.90909  -0.54064  -0.58711   0.04647
  91   0.91919  -0.48620  -0.53459   0.04839
  92   0.92929  -0.42979  -0.47992   0.05012
  93   0.93939  -0.37166  -0.42331   0.05165
  94   0.94949  -0.31203  -0.36500   0.05296
  95   0.95960  -0.25115  -0.30522   0.05407
  96   0.96970  -0.18925  -0.24421   0.05496
  97   0.97980  -0.12659  -0.18221   0.05562
  98   0.98990  -0.06342  -0.11949   0.05606
  99   1.00000   0.00000  -0.05628   0.05628
 
