 i       X     FEXACT   FI_LAXF   ERR_LAXF
   0   0.00000   0.00000  -0.05626   0.05626
   1   0.01010   0.06342   0.00453   0.05889
   2   0.02020   0.12659   0.06531   0.06128
   3   0.03030   0.18925   0.12583   0.06342
   4   0.04040   0.25115   0.18584   0.06531
   5   0.05051   0.31203   0.24510   0.06693
   6   0.06061   0.37166   0.30337   0.06829
   7   0.07071   0.42979   0.36043   0.06937
   8   0.08081   0.48620   0.41603   0.07017
   9   0.09091   0.54064   0.46995   0.07069
  10   0.10101   0.59291   0.52199   0.07092
  11   0.11111   0.64279   0.57192   0.07087
  12   0.12121   0.69008   0.61955   0.07053
  13   0.13131   0.73459   0.66468   0.06991
  14   0.14141   0.77615   0.70714   0.06901
  15   0.15152   0.81458   0.74675   0.06783
  16   0.16162   0.84973   0.78335   0.06637
  17   0.17172   0.88145   0.81680   0.06465
  18   0.18182   0.90963   0.84696   0.06267
  19   0.19192   0.93415   0.87371   0.06043
  20   0.20202   0.95490   0.89694   0.05796
  21   0.21212   0.97181   0.91657   0.05525
  22   0.22222   0.98481   0.93249   0.05231
  23   0.23232   0.99384   0.94467   0.04917
  24   0.24242   0.99887   0.95304   0.04583
  25   0.25253   0.99987   0.95757   0.04230
  26   0.26263   0.99685   0.95825   0.03860
  27   0.27273   0.98982   0.95507   0.03475
  28   0.28283   0.97880   0.94804   0.03076
  29   0.29293   0.96384   0.93720   0.02664
  30   0.30303   0.94500   0.92258   0.02242
  31   0.31313   0.92235   0.90425   0.01811
  32   0.32323   0.89599   0.88227   0.01372
  33   0.33333   0.86603   0.85675   0.00928
  34   0.34343   0.83257   0.82777   0.00480
  35   0.35354   0.79576   0.79546   0.00030
  36   0.36364   0.75575   0.75995   0.00420
  37   0.37374   0.71269   0.72137   0.00868
  38   0.38384   0.66677   0.67990   0.01313
  39   0.39394   0.61816   0.63568   0.01752
  40   0.40404   0.56706   0.58891   0.02185
  41   0.41414   0.51368   0.53976   0.02608
  42   0.42424   0.45823   0.48844   0.03021
  43   0.43434   0.40093   0.43515   0.03422
  44   0.44444   0.34202   0.38012   0.03810
  45   0.45455   0.28173   0.32355   0.04181
  46   0.46465   0.22031   0.26567   0.04536
  47   0.47475   0.15800   0.20673   0.04873
  48   0.48485   0.09506   0.14696   0.05190
  49   0.49495   0.03173   0.08659   0.05486
  50   0.50505  -0.03173   0.02588   0.05761
  51   0.51515  -0.09506  -0.03494   0.06012
  52   0.52525  -0.15800  -0.09562   0.06238
  53   0.53535  -0.22031  -0.15591   0.06440
  54   0.54545  -0.28173  -0.21558   0.06616
  55   0.55556  -0.34202  -0.27437   0.06765
  56   0.56566  -0.40093  -0.33207   0.06886
  57   0.57576  -0.45823  -0.38842   0.06980
  58   0.58586  -0.51368  -0.44321   0.07046
  59   0.59596  -0.56706  -0.49622   0.07084
  60   0.60606  -0.61816  -0.54723   0.07093
  61   0.61616  -0.66677  -0.59603   0.07074
  62   0.62626  -0.71269  -0.64244   0.07026
  63   0.63636  -0.75575  -0.68626   0.06949
  64   0.64646  -0.79576  -0.72731   0.06845
  65   0.65657  -0.83257  -0.76544   0.06713
  66   0.66667  -0.86603  -0.80048   0.06554
  67   0.67677  -0.89599  -0.83230   0.06369
  68   0.68687  -0.92235  -0.86077   0.06158
  69   0.69697  -0.94500  -0.88578   0.05923
  70   0.70707  -0.96384  -0.90721   0.05663
  71   0.71717  -0.97880  -0.92500   0.05381
  72   0.72727  -0.98982  -0.93905   0.05077
  73   0.73737  -0.99685  -0.94933   0.04752
  74   0.74747  -0.99987  -0.95579   0.04409
  75   0.75758  -0.99887  -0.95839   0.04047
  76   0.76768  -0.99384  -0.95714   0.03670
  77   0.77778  -0.98481  -0.95203   0.03277
  78   0.78788  -0.97181  -0.94309   0.02872
  79   0.79798  -0.95490  -0.93036   0.02455
  80   0.80808  -0.93415  -0.91387   0.02028
  81   0.81818  -0.90963  -0.89371   0.01592
  82   0.82828  -0.88145  -0.86995   0.01151
  83   0.83838  -0.84973  -0.84268   0.00704
  84   0.84848  -0.81458  -0.81202   0.00255
  85   0.85859  -0.77615  -0.77809   0.00195
  86   0.86869  -0.73459  -0.74103   0.00644
  87   0.87879  -0.69008  -0.70099   0.01091
  88   0.88889  -0.64279  -0.65812   0.01533
  89   0.89899  -0.59291  -0.61260   0.01969
  90   0.90909  -0.54064  -0.56462   0.02398
  91   0.91919  -0.48620  -0.51436   0.02816
  92   0.92929  -0.42979  -0.46203   0.03224
  93   0.93939  -0.37166  -0.40784   0.03618
  94   0.94949  -0.31203  -0.35201   0.03998
  95   0.95960  -0.25115  -0.29476   0.04361
  96   0.96970  -0.18925  -0.23632   0.04707
  97   0.97980  -0.12659  -0.17693   0.05034
  98   0.98990  -0.06342  -0.11683   0.05341
  99   1.00000   0.00000  -0.05626   0.05626
 
