 i       X     FEXACT   FI_UPWIND   ERR_UP
   0   0.00000   0.00000  -0.05628   0.05628
   1   0.01010   0.06342   0.00589   0.05754
   2   0.02020   0.12659   0.06803   0.05856
   3   0.03030   0.18925   0.12991   0.05934
   4   0.04040   0.25115   0.19126   0.05989
   5   0.05051   0.31203   0.25184   0.06019
   6   0.06061   0.37166   0.31141   0.06026
   7   0.07071   0.42979   0.36972   0.06008
   8   0.08081   0.48620   0.42654   0.05965
   9   0.09091   0.54064   0.48165   0.05899
  10   0.10101   0.59291   0.53482   0.05809
  11   0.11111   0.64279   0.58583   0.05696
  12   0.12121   0.69008   0.63448   0.05559
  13   0.13131   0.73459   0.68058   0.05401
  14   0.14141   0.77615   0.72394   0.05220
  15   0.15152   0.81458   0.76439   0.05019
  16   0.16162   0.84973   0.80175   0.04797
  17   0.17172   0.88145   0.83589   0.04556
  18   0.18182   0.90963   0.86666   0.04297
  19   0.19192   0.93415   0.89395   0.04020
  20   0.20202   0.95490   0.91763   0.03727
  21   0.21212   0.97181   0.93762   0.03420
  22   0.22222   0.98481   0.95383   0.03098
  23   0.23232   0.99384   0.96620   0.02764
  24   0.24242   0.99887   0.97468   0.02419
  25   0.25253   0.99987   0.97924   0.02064
  26   0.26263   0.99685   0.97985   0.01700
  27   0.27273   0.98982   0.97652   0.01330
  28   0.28283   0.97880   0.96925   0.00955
  29   0.29293   0.96384   0.95809   0.00576
  30   0.30303   0.94500   0.94306   0.00194
  31   0.31313   0.92235   0.92424   0.00188
  32   0.32323   0.89599   0.90169   0.00570
  33   0.33333   0.86603   0.87552   0.00949
  34   0.34343   0.83257   0.84582   0.01325
  35   0.35354   0.79576   0.81271   0.01695
  36   0.36364   0.75575   0.77633   0.02059
  37   0.37374   0.71269   0.73683   0.02414
  38   0.38384   0.66677   0.69436   0.02759
  39   0.39394   0.61816   0.64909   0.03093
  40   0.40404   0.56706   0.60121   0.03415
  41   0.41414   0.51368   0.55091   0.03723
  42   0.42424   0.45823   0.49839   0.04016
  43   0.43434   0.40093   0.44386   0.04293
  44   0.44444   0.34202   0.38755   0.04553
  45   0.45455   0.28173   0.32967   0.04794
  46   0.46465   0.22031   0.27047   0.05016
  47   0.47475   0.15800   0.21018   0.05218
  48   0.48485   0.09506   0.14904   0.05398
  49   0.49495   0.03173   0.08730   0.05557
  50   0.50505  -0.03173   0.02521   0.05694
  51   0.51515  -0.09506  -0.03698   0.05808
  52   0.52525  -0.15800  -0.09902   0.05898
  53   0.53535  -0.22031  -0.16066   0.05965
  54   0.54545  -0.28173  -0.22166   0.06007
  55   0.55556  -0.34202  -0.28177   0.06026
  56   0.56566  -0.40093  -0.34073   0.06020
  57   0.57576  -0.45823  -0.39833   0.05989
  58   0.58586  -0.51368  -0.45432   0.05935
  59   0.59596  -0.56706  -0.50849   0.05857
  60   0.60606  -0.61816  -0.56061   0.05755
  61   0.61616  -0.66677  -0.61046   0.05630
  62   0.62626  -0.71269  -0.65787   0.05483
  63   0.63636  -0.75575  -0.70262   0.05313
  64   0.64646  -0.79576  -0.74454   0.05122
  65   0.65657  -0.83257  -0.78346   0.04911
  66   0.66667  -0.86603  -0.81923   0.04679
  67   0.67677  -0.89599  -0.85171   0.04429
  68   0.68687  -0.92235  -0.88075   0.04161
  69   0.69697  -0.94500  -0.90624   0.03876
  70   0.70707  -0.96384  -0.92809   0.03575
  71   0.71717  -0.97880  -0.94620   0.03260
  72   0.72727  -0.98982  -0.96050   0.02932
  73   0.73737  -0.99685  -0.97093   0.02593
  74   0.74747  -0.99987  -0.97745   0.02242
  75   0.75758  -0.99887  -0.98004   0.01883
  76   0.76768  -0.99384  -0.97868   0.01516
  77   0.77778  -0.98481  -0.97338   0.01143
  78   0.78788  -0.97181  -0.96416   0.00766
  79   0.79798  -0.95490  -0.95105   0.00385
  80   0.80808  -0.93415  -0.93412   0.00003
  81   0.81818  -0.90963  -0.91343   0.00379
  82   0.82828  -0.88145  -0.88905   0.00760
  83   0.83838  -0.84973  -0.86110   0.01138
  84   0.84848  -0.81458  -0.82968   0.01511
  85   0.85859  -0.77615  -0.79492   0.01878
  86   0.86869  -0.73459  -0.75696   0.02237
  87   0.87879  -0.69008  -0.71595   0.02588
  88   0.88889  -0.64279  -0.67206   0.02928
  89   0.89899  -0.59291  -0.62547   0.03256
  90   0.90909  -0.54064  -0.57635   0.03571
  91   0.91919  -0.48620  -0.52491   0.03871
  92   0.92929  -0.42979  -0.47136   0.04157
  93   0.93939  -0.37166  -0.41591   0.04425
  94   0.94949  -0.31203  -0.35879   0.04676
  95   0.95960  -0.25115  -0.30022   0.04907
  96   0.96970  -0.18925  -0.24044   0.05119
  97   0.97980  -0.12659  -0.17970   0.05311
  98   0.98990  -0.06342  -0.11823   0.05481
  99   1.00000   0.00000  -0.05628   0.05628
 
