 i       X     FEXACT   FI_FTCS   ERR_FTCS
   0  -1.00000   0.00000              NaN              NaN
   1  -0.99499   0.00000              NaN              NaN
   2  -0.98997   0.00000              NaN              NaN
   3  -0.98496   0.00000              NaN              NaN
   4  -0.97995   0.00000              NaN              NaN
   5  -0.97494   0.00000              NaN              NaN
   6  -0.96992   0.00000              NaN              NaN
   7  -0.96491   0.00000              NaN              NaN
   8  -0.95990   0.00000              NaN              NaN
   9  -0.95489   0.00000              NaN              NaN
  10  -0.94987   0.00000              NaN              NaN
  11  -0.94486   0.00000              NaN              NaN
  12  -0.93985   0.00000              NaN              NaN
  13  -0.93484   0.00000              NaN              NaN
  14  -0.92982   0.00000              NaN              NaN
  15  -0.92481   0.00000              NaN              NaN
  16  -0.91980   0.00000              NaN              NaN
  17  -0.91479   0.00000              NaN              NaN
  18  -0.90977   0.00000              NaN              NaN
  19  -0.90476   0.00000              NaN              NaN
  20  -0.89975   0.00000              NaN              NaN
  21  -0.89474   0.00000              NaN              NaN
  22  -0.88972   0.00000              NaN              NaN
  23  -0.88471   0.00000              NaN              NaN
  24  -0.87970   0.00000              NaN              NaN
  25  -0.87469   0.00000              NaN              NaN
  26  -0.86967   0.00000              NaN              NaN
  27  -0.86466   0.00000              NaN              NaN
  28  -0.85965   0.00000              NaN              NaN
  29  -0.85464   0.00000              NaN              NaN
  30  -0.84962   0.00000              NaN              NaN
  31  -0.84461   0.00000              NaN              NaN
  32  -0.83960   0.00000              NaN              NaN
  33  -0.83459   0.00000              NaN              NaN
  34  -0.82957   0.00000              NaN              NaN
  35  -0.82456   0.00000              NaN              NaN
  36  -0.81955   0.00000              NaN              NaN
  37  -0.81454   0.00000              NaN              NaN
  38  -0.80952   0.00000              NaN              NaN
  39  -0.80451   0.00000              NaN              NaN
  40  -0.79950   0.00049              NaN              NaN
  41  -0.79449   0.00103              NaN              NaN
  42  -0.78947   0.00210              NaN              NaN
  43  -0.78446   0.00410              NaN              NaN
  44  -0.77945   0.00777              NaN              NaN
  45  -0.77444   0.01406              NaN              NaN
  46  -0.76942   0.02447              NaN              NaN
  47  -0.76441   0.04098              NaN              NaN
  48  -0.75940   0.06605              NaN              NaN
  49  -0.75439   0.10241              NaN              NaN
  50  -0.74937   0.15279              NaN              NaN
  51  -0.74436   0.21932              NaN              NaN
  52  -0.73935   0.30402              NaN              NaN
  53  -0.73434   0.40380              NaN              NaN
  54  -0.72932   0.51603              NaN              NaN
  55  -0.72431   0.63449              NaN              NaN
  56  -0.71930   0.75062              NaN              NaN
  57  -0.71429   0.85439              NaN              NaN
  58  -0.70927   0.93570              NaN              NaN
  59  -0.70426   0.98596              NaN              NaN
  60  -0.69925   0.99953              NaN              NaN
  61  -0.69424   0.97455              NaN              NaN
  62  -0.68922   0.91422              NaN              NaN
  63  -0.68421   0.82517              NaN              NaN
  64  -0.67920   0.71661              NaN              NaN
  65  -0.67419   0.59877              NaN              NaN
  66  -0.66917   0.48138              NaN              NaN
  67  -0.66416   0.37235              NaN              NaN
  68  -0.65915   0.27605              NaN              NaN
  69  -0.65414   0.19758              NaN              NaN
  70  -0.64912   0.13606              NaN              NaN
  71  -0.64411   0.09015              NaN              NaN
  72  -0.63910   0.05747              NaN              NaN
  73  -0.63409   0.03525              NaN              NaN
  74  -0.62907   0.02080              NaN              NaN
  75  -0.62406   0.01181              NaN              NaN
  76  -0.61905   0.00640              NaN              NaN
  77  -0.61404   0.00337              NaN              NaN
  78  -0.60902   0.00170              NaN              NaN
  79  -0.60401   0.00083              NaN              NaN
  80  -0.59900   0.00000              NaN              NaN
  81  -0.59398   0.00000              NaN              NaN
  82  -0.58897   0.00000              NaN              NaN
  83  -0.58396   0.00000              NaN              NaN
  84  -0.57895   0.00000              NaN              NaN
  85  -0.57393   0.00000              NaN              NaN
  86  -0.56892   0.00000              NaN              NaN
  87  -0.56391   0.00000              NaN              NaN
  88  -0.55890   0.00000              NaN              NaN
  89  -0.55388   0.00000              NaN              NaN
  90  -0.54887   0.00000              NaN              NaN
  91  -0.54386   0.00000              NaN              NaN
  92  -0.53885   0.00000              NaN              NaN
  93  -0.53383   0.00000              NaN              NaN
  94  -0.52882   0.00000              NaN              NaN
  95  -0.52381   0.00000              NaN              NaN
  96  -0.51880   0.00000              NaN              NaN
  97  -0.51378   0.00000              NaN              NaN
  98  -0.50877   0.00000              NaN              NaN
  99  -0.50376   0.00000              NaN              NaN
 100  -0.49875   0.00000              NaN              NaN
 101  -0.49373   0.00000              NaN              NaN
 102  -0.48872   0.00000              NaN              NaN
 103  -0.48371   0.00000              NaN              NaN
 104  -0.47870   0.00000              NaN              NaN
 105  -0.47368   0.00000              NaN              NaN
 106  -0.46867   0.00000              NaN              NaN
 107  -0.46366   0.00000              NaN              NaN
 108  -0.45865   0.00000              NaN              NaN
 109  -0.45363   0.00000              NaN              NaN
 110  -0.44862   0.00000              NaN              NaN
 111  -0.44361   0.00000              NaN              NaN
 112  -0.43860   0.00000              NaN              NaN
 113  -0.43358   0.00000              NaN              NaN
 114  -0.42857   0.00000              NaN              NaN
 115  -0.42356   0.00000              NaN              NaN
 116  -0.41855   0.00000              NaN              NaN
 117  -0.41353   0.00000              NaN              NaN
 118  -0.40852   0.00000              NaN              NaN
 119  -0.40351   0.00000              NaN              NaN
 120  -0.39850   1.00000              NaN              NaN
 121  -0.39348   1.00000              NaN              NaN
 122  -0.38847   1.00000              NaN              NaN
 123  -0.38346   1.00000              NaN              NaN
 124  -0.37845   1.00000              NaN              NaN
 125  -0.37343   1.00000              NaN              NaN
 126  -0.36842   1.00000              NaN              NaN
 127  -0.36341   1.00000              NaN              NaN
 128  -0.35840   1.00000              NaN              NaN
 129  -0.35338   1.00000              NaN              NaN
 130  -0.34837   1.00000              NaN              NaN
 131  -0.34336   1.00000              NaN              NaN
 132  -0.33835   1.00000              NaN              NaN
 133  -0.33333   1.00000              NaN              NaN
 134  -0.32832   1.00000              NaN              NaN
 135  -0.32331   1.00000              NaN              NaN
 136  -0.31830   1.00000              NaN              NaN
 137  -0.31328   1.00000              NaN              NaN
 138  -0.30827   1.00000              NaN              NaN
 139  -0.30326   1.00000              NaN              NaN
 140  -0.29825   1.00000              NaN              NaN
 141  -0.29323   1.00000              NaN              NaN
 142  -0.28822   1.00000              NaN              NaN
 143  -0.28321   1.00000              NaN              NaN
 144  -0.27820   1.00000              NaN              NaN
 145  -0.27318   1.00000              NaN              NaN
 146  -0.26817   1.00000              NaN              NaN
 147  -0.26316   1.00000              NaN              NaN
 148  -0.25815   1.00000              NaN              NaN
 149  -0.25313   1.00000              NaN              NaN
 150  -0.24812   1.00000              NaN              NaN
 151  -0.24311   1.00000              NaN              NaN
 152  -0.23810   1.00000              NaN              NaN
 153  -0.23308   1.00000              NaN              NaN
 154  -0.22807   1.00000              NaN              NaN
 155  -0.22306   1.00000              NaN              NaN
 156  -0.21805   1.00000              NaN              NaN
 157  -0.21303   1.00000              NaN              NaN
 158  -0.20802   1.00000              NaN              NaN
 159  -0.20301   1.00000              NaN              NaN
 160  -0.19800   0.00000              NaN              NaN
 161  -0.19298   0.00000              NaN              NaN
 162  -0.18797   0.00000              NaN              NaN
 163  -0.18296   0.00000              NaN              NaN
 164  -0.17794   0.00000              NaN              NaN
 165  -0.17293   0.00000              NaN              NaN
 166  -0.16792   0.00000              NaN              NaN
 167  -0.16291   0.00000              NaN              NaN
 168  -0.15789   0.00000              NaN              NaN
 169  -0.15288   0.00000              NaN              NaN
 170  -0.14787   0.00000              NaN              NaN
 171  -0.14286   0.00000              NaN              NaN
 172  -0.13784   0.00000              NaN              NaN
 173  -0.13283   0.00000              NaN              NaN
 174  -0.12782   0.00000              NaN              NaN
 175  -0.12281   0.00000              NaN              NaN
 176  -0.11779   0.00000              NaN              NaN
 177  -0.11278   0.00000              NaN              NaN
 178  -0.10777   0.00000              NaN              NaN
 179  -0.10276   0.00000              NaN              NaN
 180  -0.09774   0.00000              NaN              NaN
 181  -0.09273   0.00000              NaN              NaN
 182  -0.08772   0.00000              NaN              NaN
 183  -0.08271   0.00000              NaN              NaN
 184  -0.07769   0.00000              NaN              NaN
 185  -0.07268   0.00000              NaN              NaN
 186  -0.06767   0.00000              NaN              NaN
 187  -0.06266   0.00000              NaN              NaN
 188  -0.05764   0.00000              NaN              NaN
 189  -0.05263   0.00000              NaN              NaN
 190  -0.04762   0.00000              NaN              NaN
 191  -0.04261   0.00000              NaN              NaN
 192  -0.03759   0.00000              NaN              NaN
 193  -0.03258   0.00000              NaN              NaN
 194  -0.02757   0.00000              NaN              NaN
 195  -0.02256   0.00000              NaN              NaN
 196  -0.01754   0.00000              NaN              NaN
 197  -0.01253   0.00000              NaN              NaN
 198  -0.00752   0.00000              NaN              NaN
 199  -0.00251   0.00000              NaN              NaN
 200   0.00251   0.02502              NaN              NaN
 201   0.00752   0.07507              NaN              NaN
 202   0.01253   0.12512              NaN              NaN
 203   0.01754   0.17517              NaN              NaN
 204   0.02256   0.22583              NaN              NaN
 205   0.02757   0.27588              NaN              NaN
 206   0.03258   0.32593              NaN              NaN
 207   0.03759   0.37598              NaN              NaN
 208   0.04261   0.42603              NaN              NaN
 209   0.04762   0.47607              NaN              NaN
 210   0.05263   0.52612              NaN              NaN
 211   0.05764   0.57617              NaN              NaN
 212   0.06266   0.62683              NaN              NaN
 213   0.06767   0.67688              NaN              NaN
 214   0.07268   0.72693              NaN              NaN
 215   0.07769   0.77698              NaN              NaN
 216   0.08271   0.82703              NaN              NaN
 217   0.08772   0.87708              NaN              NaN
 218   0.09273   0.92712              NaN              NaN
 219   0.09774   0.97717              NaN              NaN
 220   0.10276   0.97217              NaN              NaN
 221   0.10777   0.92212              NaN              NaN
 222   0.11278   0.87207              NaN              NaN
 223   0.11779   0.82202              NaN              NaN
 224   0.12281   0.77197              NaN              NaN
 225   0.12782   0.72192              NaN              NaN
 226   0.13283   0.67188              NaN              NaN
 227   0.13784   0.62183              NaN              NaN
 228   0.14286   0.57117              NaN              NaN
 229   0.14787   0.52112              NaN              NaN
 230   0.15288   0.47107              NaN              NaN
 231   0.15789   0.42102              NaN              NaN
 232   0.16291   0.37097              NaN              NaN
 233   0.16792   0.32092              NaN              NaN
 234   0.17293   0.27087              NaN              NaN
 235   0.17794   0.22083              NaN              NaN
 236   0.18296   0.17017              NaN              NaN
 237   0.18797   0.12012              NaN              NaN
 238   0.19298   0.07007              NaN              NaN
 239   0.19799   0.02002              NaN              NaN
 240   0.20301   0.00000              NaN              NaN
 241   0.20802   0.00000              NaN              NaN
 242   0.21303   0.00000              NaN              NaN
 243   0.21805   0.00000              NaN              NaN
 244   0.22306   0.00000              NaN              NaN
 245   0.22807   0.00000              NaN              NaN
 246   0.23308   0.00000              NaN              NaN
 247   0.23810   0.00000              NaN              NaN
 248   0.24311   0.00000              NaN              NaN
 249   0.24812   0.00000              NaN              NaN
 250   0.25313   0.00000              NaN              NaN
 251   0.25815   0.00000              NaN              NaN
 252   0.26316   0.00000              NaN              NaN
 253   0.26817   0.00000              NaN              NaN
 254   0.27318   0.00000              NaN              NaN
 255   0.27820   0.00000              NaN              NaN
 256   0.28321   0.00000              NaN              NaN
 257   0.28822   0.00000              NaN              NaN
 258   0.29323   0.00000              NaN              NaN
 259   0.29825   0.00000              NaN              NaN
 260   0.30326   0.00000              NaN              NaN
 261   0.30827   0.00000              NaN              NaN
 262   0.31328   0.00000              NaN              NaN
 263   0.31830   0.00000              NaN              NaN
 264   0.32331   0.00000              NaN              NaN
 265   0.32832   0.00000              NaN              NaN
 266   0.33333   0.00000              NaN              NaN
 267   0.33835   0.00000              NaN              NaN
 268   0.34336   0.00000              NaN              NaN
 269   0.34837   0.00000              NaN              NaN
 270   0.35338   0.00000              NaN              NaN
 271   0.35840   0.00000              NaN              NaN
 272   0.36341   0.00000              NaN              NaN
 273   0.36842   0.00000              NaN              NaN
 274   0.37343   0.00000              NaN              NaN
 275   0.37845   0.00000              NaN              NaN
 276   0.38346   0.00000              NaN              NaN
 277   0.38847   0.00000              NaN              NaN
 278   0.39348   0.00000              NaN              NaN
 279   0.39850   0.00000              NaN              NaN
 280   0.40351   0.26238              NaN              NaN
