 i       X     FEXACT   FI_LAXW   ERR_LAXW
   0  -1.00000   0.00000    0.232112    0.232112
   1  -0.99499   0.00000    0.210361    0.210361
   2  -0.98997   0.00000    0.189181    0.189181
   3  -0.98496   0.00000    0.168655    0.168655
   4  -0.97995   0.00000    0.148859    0.148859
   5  -0.97494   0.00000    0.129863    0.129863
   6  -0.96992   0.00000    0.111726    0.111726
   7  -0.96491   0.00000    0.094503    0.094503
   8  -0.95990   0.00000    0.078237    0.078237
   9  -0.95489   0.00000    0.062969    0.062969
  10  -0.94987   0.00000    0.048728    0.048728
  11  -0.94486   0.00000    0.035541    0.035541
  12  -0.93985   0.00000    0.023425    0.023425
  13  -0.93484   0.00000    0.012395    0.012395
  14  -0.92982   0.00000    0.002462    0.002462
  15  -0.92481   0.00000   -0.006370    0.006370
  16  -0.91980   0.00000   -0.014097    0.014097
  17  -0.91479   0.00000   -0.020717    0.020717
  18  -0.90977   0.00000   -0.026231    0.026231
  19  -0.90476   0.00000   -0.030639    0.030639
  20  -0.89975   0.00000   -0.033942    0.033942
  21  -0.89474   0.00000   -0.036140    0.036140
  22  -0.88972   0.00000   -0.037233    0.037233
  23  -0.88471   0.00000   -0.037217    0.037217
  24  -0.87970   0.00000   -0.036089    0.036089
  25  -0.87469   0.00000   -0.033844    0.033844
  26  -0.86967   0.00000   -0.030474    0.030474
  27  -0.86466   0.00000   -0.025971    0.025971
  28  -0.85965   0.00000   -0.020326    0.020326
  29  -0.85464   0.00000   -0.013529    0.013529
  30  -0.84962   0.00000   -0.005570    0.005570
  31  -0.84461   0.00000    0.003561    0.003561
  32  -0.83960   0.00000    0.013869    0.013869
  33  -0.83459   0.00000    0.025360    0.025360
  34  -0.82957   0.00000    0.038034    0.038034
  35  -0.82456   0.00000    0.051888    0.051888
  36  -0.81955   0.00000    0.066913    0.066913
  37  -0.81454   0.00000    0.083093    0.083093
  38  -0.80952   0.00000    0.100405    0.100405
  39  -0.80451   0.00000    0.118817    0.118817
  40  -0.79950   0.00049    0.138288    0.137800
  41  -0.79449   0.00103    0.158768    0.157737
  42  -0.78947   0.00210    0.180196    0.178100
  43  -0.78446   0.00410    0.202501    0.198403
  44  -0.77945   0.00777    0.225600    0.217832
  45  -0.77444   0.01406    0.249401    0.235346
  46  -0.76942   0.02447    0.273802    0.249333
  47  -0.76441   0.04098    0.298688    0.257704
  48  -0.75940   0.06605    0.323937    0.257889
  49  -0.75439   0.10241    0.349420    0.247006
  50  -0.74937   0.15279    0.374998    0.222208
  51  -0.74436   0.21932    0.400528    0.181209
  52  -0.73935   0.30402    0.425861    0.121838
  53  -0.73434   0.40380    0.450845    0.047042
  54  -0.72932   0.51603    0.475329    0.040702
  55  -0.72431   0.63449    0.499160    0.135332
  56  -0.71930   0.75062    0.522187    0.228431
  57  -0.71429   0.85439    0.544264    0.310126
  58  -0.70927   0.93570    0.565250    0.370448
  59  -0.70426   0.98596    0.585013    0.400948
  60  -0.69925   0.99953    0.603427    0.396103
  61  -0.69424   0.97455    0.620381    0.354164
  62  -0.68922   0.91422    0.635772    0.278450
  63  -0.68421   0.82517    0.649512    0.175660
  64  -0.67920   0.71661    0.661528    0.055078
  65  -0.67419   0.59877    0.671761    0.072990
  66  -0.66917   0.48138    0.680168    0.198793
  67  -0.66416   0.37235    0.686722    0.314372
  68  -0.65915   0.27605    0.691411    0.415358
  69  -0.65414   0.19758    0.694242    0.496663
  70  -0.64912   0.13606    0.695234    0.559173
  71  -0.64411   0.09015    0.694424    0.604273
  72  -0.63910   0.05747    0.691863    0.634391
  73  -0.63409   0.03525    0.687612    0.652361
  74  -0.62907   0.02080    0.681749    0.660945
  75  -0.62406   0.01181    0.674360    0.662547
  76  -0.61905   0.00640    0.665540    0.659135
  77  -0.61404   0.00337    0.655394    0.652029
  78  -0.60902   0.00170    0.644032    0.642331
  79  -0.60401   0.00083    0.631571    0.630743
  80  -0.59900   0.00000    0.618129    0.618129
  81  -0.59398   0.00000    0.603827    0.603827
  82  -0.58897   0.00000    0.588787    0.588787
  83  -0.58396   0.00000    0.573130    0.573130
  84  -0.57895   0.00000    0.556975    0.556975
  85  -0.57393   0.00000    0.540438    0.540438
  86  -0.56892   0.00000    0.523629    0.523629
  87  -0.56391   0.00000    0.506657    0.506657
  88  -0.55890   0.00000    0.489623    0.489623
  89  -0.55388   0.00000    0.472622    0.472622
  90  -0.54887   0.00000    0.455744    0.455744
  91  -0.54386   0.00000    0.439070    0.439070
  92  -0.53885   0.00000    0.422679    0.422679
  93  -0.53383   0.00000    0.406640    0.406640
  94  -0.52882   0.00000    0.391017    0.391017
  95  -0.52381   0.00000    0.375868    0.375868
  96  -0.51880   0.00000    0.361245    0.361245
  97  -0.51378   0.00000    0.347198    0.347198
  98  -0.50877   0.00000    0.333768    0.333768
  99  -0.50376   0.00000    0.320995    0.320995
 100  -0.49875   0.00000    0.308913    0.308913
 101  -0.49373   0.00000    0.297555    0.297555
 102  -0.48872   0.00000    0.286949    0.286949
 103  -0.48371   0.00000    0.277121    0.277121
 104  -0.47870   0.00000    0.268095    0.268095
 105  -0.47368   0.00000    0.259891    0.259891
 106  -0.46867   0.00000    0.252528    0.252528
