 i       X     FEXACT   FI_UPWIND   ERR_UP
   0  -1.00000   0.00000    0.275383    0.275383
   1  -0.99499   0.00000    0.275349    0.275349
   2  -0.98997   0.00000    0.275312    0.275312
   3  -0.98496   0.00000    0.275271    0.275271
   4  -0.97995   0.00000    0.275227    0.275227
   5  -0.97494   0.00000    0.275178    0.275178
   6  -0.96992   0.00000    0.275127    0.275127
   7  -0.96491   0.00000    0.275071    0.275071
   8  -0.95990   0.00000    0.275013    0.275013
   9  -0.95489   0.00000    0.274950    0.274950
  10  -0.94987   0.00000    0.274884    0.274884
  11  -0.94486   0.00000    0.274815    0.274815
  12  -0.93985   0.00000    0.274742    0.274742
  13  -0.93484   0.00000    0.274666    0.274666
  14  -0.92982   0.00000    0.274587    0.274587
  15  -0.92481   0.00000    0.274504    0.274504
  16  -0.91980   0.00000    0.274417    0.274417
  17  -0.91479   0.00000    0.274328    0.274328
  18  -0.90977   0.00000    0.274235    0.274235
  19  -0.90476   0.00000    0.274138    0.274138
  20  -0.89975   0.00000    0.274039    0.274039
  21  -0.89474   0.00000    0.273936    0.273936
  22  -0.88972   0.00000    0.273829    0.273829
  23  -0.88471   0.00000    0.273720    0.273720
  24  -0.87970   0.00000    0.273608    0.273608
  25  -0.87469   0.00000    0.273493    0.273493
  26  -0.86967   0.00000    0.273374    0.273374
  27  -0.86466   0.00000    0.273253    0.273253
  28  -0.85965   0.00000    0.273129    0.273129
  29  -0.85464   0.00000    0.273002    0.273002
  30  -0.84962   0.00000    0.272872    0.272872
  31  -0.84461   0.00000    0.272739    0.272739
  32  -0.83960   0.00000    0.272603    0.272603
  33  -0.83459   0.00000    0.272463    0.272463
  34  -0.82957   0.00000    0.272321    0.272321
  35  -0.82456   0.00000    0.272176    0.272176
  36  -0.81955   0.00000    0.272028    0.272028
  37  -0.81454   0.00000    0.271876    0.271876
  38  -0.80952   0.00000    0.271722    0.271722
  39  -0.80451   0.00000    0.271566    0.271566
  40  -0.79950   0.00049    0.271406    0.270918
  41  -0.79449   0.00103    0.271244    0.270213
  42  -0.78947   0.00210    0.271080    0.268984
  43  -0.78446   0.00410    0.270912    0.266814
  44  -0.77945   0.00777    0.270743    0.262974
  45  -0.77444   0.01406    0.270570    0.256515
  46  -0.76942   0.02447    0.270395    0.245927
  47  -0.76441   0.04098    0.270218    0.229234
  48  -0.75940   0.06605    0.270039    0.203990
  49  -0.75439   0.10241    0.269857    0.167444
  50  -0.74937   0.15279    0.269673    0.116883
  51  -0.74436   0.21932    0.269487    0.050168
  52  -0.73935   0.30402    0.269299    0.034724
  53  -0.73434   0.40380    0.269109    0.134694
  54  -0.72932   0.51603    0.268916    0.247115
  55  -0.72431   0.63449    0.268722    0.365770
  56  -0.71930   0.75062    0.268525    0.482093
  57  -0.71429   0.85439    0.268327    0.586062
  58  -0.70927   0.93570    0.268127    0.667572
  59  -0.70426   0.98596    0.267925    0.718036
  60  -0.69925   0.99953    0.267721    0.731809
  61  -0.69424   0.97455    0.267516    0.707030
  62  -0.68922   0.91422    0.267308    0.646913
  63  -0.68421   0.82517    0.267100    0.558072
  64  -0.67920   0.71661    0.266889    0.449717
  65  -0.67419   0.59877    0.266678    0.332093
  66  -0.66917   0.48138    0.266464    0.214911
  67  -0.66416   0.37235    0.266249    0.106100
  68  -0.65915   0.27605    0.266033    0.010020
  69  -0.65414   0.19758    0.265816    0.068236
  70  -0.64912   0.13606    0.265597    0.129536
  71  -0.64411   0.09015    0.265377    0.175226
  72  -0.63910   0.05747    0.265156    0.207685
  73  -0.63409   0.03525    0.264934    0.229682
  74  -0.62907   0.02080    0.264710    0.243907
  75  -0.62406   0.01181    0.264486    0.252673
  76  -0.61905   0.00640    0.264261    0.257856
  77  -0.61404   0.00337    0.264035    0.260670
  78  -0.60902   0.00170    0.263808    0.262107
  79  -0.60401   0.00083    0.263581    0.262753
  80  -0.59900   0.00000    0.263352    0.263352
  81  -0.59398   0.00000    0.263123    0.263123
  82  -0.58897   0.00000    0.262894    0.262894
  83  -0.58396   0.00000    0.262664    0.262664
  84  -0.57895   0.00000    0.262433    0.262433
  85  -0.57393   0.00000    0.262203    0.262203
  86  -0.56892   0.00000    0.261971    0.261971
  87  -0.56391   0.00000    0.261740    0.261740
  88  -0.55890   0.00000    0.261509    0.261509
  89  -0.55388   0.00000    0.261277    0.261277
  90  -0.54887   0.00000    0.261046    0.261046
  91  -0.54386   0.00000    0.260814    0.260814
  92  -0.53885   0.00000    0.260583    0.260583
  93  -0.53383   0.00000    0.260351    0.260351
  94  -0.52882   0.00000    0.260119    0.260119
  95  -0.52381   0.00000    0.259888    0.259888
  96  -0.51880   0.00000    0.259656    0.259656
  97  -0.51378   0.00000    0.259425    0.259425
  98  -0.50877   0.00000    0.259194    0.259194
  99  -0.50376   0.00000    0.258963    0.258963
 100  -0.49875   0.00000    0.258733    0.258733
 101  -0.49373   0.00000    0.258503    0.258503
 102  -0.48872   0.00000    0.258274    0.258274
 103  -0.48371   0.00000    0.258045    0.258045
 104  -0.47870   0.00000    0.257817    0.257817
 105  -0.47368   0.00000    0.257590    0.257590
 106  -0.46867   0.00000    0.257364    0.257364
 107  -0.46366   0.00000    0.257138    0.257138
 108  -0.45865   0.00000    0.256914    0.256914
 109  -0.45363   0.00000    0.256690    0.256690
 110  -0.44862   0.00000    0.256468    0.256468
 111  -0.44361   0.00000    0.256246    0.256246
 112  -0.43860   0.00000    0.256026    0.256026
 113  -0.43358   0.00000    0.255806    0.255806
 114  -0.42857   0.00000    0.255588    0.255588
 115  -0.42356   0.00000    0.255371    0.255371
 116  -0.41855   0.00000    0.255156    0.255156
 117  -0.41353   0.00000    0.254942    0.254942
 118  -0.40852   0.00000    0.254730    0.254730
 119  -0.40351   0.00000    0.254519    0.254519
 120  -0.39850   1.00000    0.254309    0.745691
 121  -0.39348   1.00000    0.254101    0.745898
 122  -0.38847   1.00000    0.253895    0.746105
 123  -0.38346   1.00000    0.253691    0.746309
 124  -0.37845   1.00000    0.253488    0.746512
 125  -0.37343   1.00000    0.253287    0.746713
 126  -0.36842   1.00000    0.253088    0.746912
 127  -0.36341   1.00000    0.252891    0.747109
 128  -0.35840   1.00000    0.252695    0.747305
 129  -0.35338   1.00000    0.252502    0.747498
 130  -0.34837   1.00000    0.252311    0.747689
 131  -0.34336   1.00000    0.252122    0.747878
 132  -0.33835   1.00000    0.251935    0.748065
 133  -0.33333   1.00000    0.251750    0.748250
 134  -0.32832   1.00000    0.251567    0.748433
 135  -0.32331   1.00000    0.251387    0.748613
 136  -0.31830   1.00000    0.251209    0.748791
 137  -0.31328   1.00000    0.251033    0.748967
 138  -0.30827   1.00000    0.250860    0.749140
 139  -0.30326   1.00000    0.250690    0.749310
 140  -0.29825   1.00000    0.250521    0.749479
 141  -0.29323   1.00000    0.250356    0.749644
 142  -0.28822   1.00000    0.250193    0.749807
 143  -0.28321   1.00000    0.250032    0.749968
 144  -0.27820   1.00000    0.249875    0.750125
 145  -0.27318   1.00000    0.249720    0.750280
 146  -0.26817   1.00000    0.249567    0.750432
 147  -0.26316   1.00000    0.249418    0.750582
 148  -0.25815   1.00000    0.249271    0.750729
 149  -0.25313   1.00000    0.249128    0.750872
 150  -0.24812   1.00000    0.248987    0.751013
 151  -0.24311   1.00000    0.248849    0.751151
 152  -0.23810   1.00000    0.248714    0.751286
 153  -0.23308   1.00000    0.248582    0.751418
 154  -0.22807   1.00000    0.248453    0.751547
 155  -0.22306   1.00000    0.248327    0.751673
 156  -0.21805   1.00000    0.248204    0.751796
 157  -0.21303   1.00000    0.248084    0.751916
 158  -0.20802   1.00000    0.247968    0.752032
 159  -0.20301   1.00000    0.247854    0.752146
 160  -0.19800   0.00000    0.247744    0.247744
 161  -0.19298   0.00000    0.247636    0.247636
 162  -0.18797   0.00000    0.247532    0.247532
 163  -0.18296   0.00000    0.247432    0.247432
 164  -0.17794   0.00000    0.247334    0.247334
 165  -0.17293   0.00000    0.247240    0.247240
 166  -0.16792   0.00000    0.247150    0.247150
 167  -0.16291   0.00000    0.247062    0.247062
 168  -0.15789   0.00000    0.246978    0.246978
 169  -0.15288   0.00000    0.246898    0.246898
 170  -0.14787   0.00000    0.246821    0.246821
 171  -0.14286   0.00000    0.246747    0.246747
 172  -0.13784   0.00000    0.246677    0.246677
 173  -0.13283   0.00000    0.246610    0.246610
 174  -0.12782   0.00000    0.246547    0.246547
 175  -0.12281   0.00000    0.246488    0.246488
 176  -0.11779   0.00000    0.246432    0.246432
 177  -0.11278   0.00000    0.246379    0.246379
 178  -0.10777   0.00000    0.246330    0.246330
 179  -0.10276   0.00000    0.246284    0.246284
 180  -0.09774   0.00000    0.246242    0.246242
 181  -0.09273   0.00000    0.246204    0.246204
 182  -0.08772   0.00000    0.246170    0.246170
 183  -0.08271   0.00000    0.246139    0.246139
 184  -0.07769   0.00000    0.246111    0.246111
 185  -0.07268   0.00000    0.246087    0.246087
 186  -0.06767   0.00000    0.246067    0.246067
 187  -0.06266   0.00000    0.246051    0.246051
 188  -0.05764   0.00000    0.246038    0.246038
 189  -0.05263   0.00000    0.246029    0.246029
 190  -0.04762   0.00000    0.246024    0.246024
 191  -0.04261   0.00000    0.246022    0.246022
 192  -0.03759   0.00000    0.246024    0.246024
 193  -0.03258   0.00000    0.246030    0.246030
 194  -0.02757   0.00000    0.246040    0.246040
 195  -0.02256   0.00000    0.246053    0.246053
