 i       X     FEXACT   FI_LAXF   ERR_LAXF
 132  -0.33835   1.00000    0.260315    0.739685
 133  -0.33333   1.00000    0.260085    0.739915
 134  -0.32832   1.00000    0.260290    0.739710
 135  -0.32331   1.00000    0.260059    0.739941
 136  -0.31830   1.00000    0.260267    0.739733
 137  -0.31328   1.00000    0.260034    0.739966
 138  -0.30827   1.00000    0.260243    0.739757
 139  -0.30326   1.00000    0.260009    0.739991
 140  -0.29825   1.00000    0.260221    0.739779
 141  -0.29323   1.00000    0.259985    0.740015
 142  -0.28822   1.00000    0.260198    0.739802
 143  -0.28321   1.00000    0.259961    0.740039
 144  -0.27820   1.00000    0.260177    0.739823
 145  -0.27318   1.00000    0.259939    0.740062
 146  -0.26817   1.00000    0.260156    0.739844
 147  -0.26316   1.00000    0.259916    0.740084
 148  -0.25815   1.00000    0.260136    0.739864
 149  -0.25313   1.00000    0.259895    0.740105
 150  -0.24812   1.00000    0.260117    0.739883
 151  -0.24311   1.00000    0.259875    0.740125
 152  -0.23810   1.00000    0.260098    0.739902
 153  -0.23308   1.00000    0.259855    0.740145
 154  -0.22807   1.00000    0.260080    0.739920
 155  -0.22306   1.00000    0.259836    0.740164
 156  -0.21805   1.00000    0.260062    0.739938
 157  -0.21303   1.00000    0.259818    0.740182
 158  -0.20802   1.00000    0.260046    0.739954
 159  -0.20301   1.00000    0.259801    0.740199
 160  -0.19800   0.00000    0.260030    0.260030
 161  -0.19298   0.00000    0.259785    0.259785
 162  -0.18797   0.00000    0.260016    0.260016
 163  -0.18296   0.00000    0.259769    0.259769
 164  -0.17794   0.00000    0.260002    0.260002
 165  -0.17293   0.00000    0.259755    0.259755
 166  -0.16792   0.00000    0.259989    0.259989
 167  -0.16291   0.00000    0.259742    0.259742
 168  -0.15789   0.00000    0.259977    0.259977
 169  -0.15288   0.00000    0.259730    0.259730
 170  -0.14787   0.00000    0.259966    0.259966
 171  -0.14286   0.00000    0.259719    0.259719
 172  -0.13784   0.00000    0.259956    0.259956
 173  -0.13283   0.00000    0.259708    0.259708
 174  -0.12782   0.00000    0.259947    0.259947
 175  -0.12281   0.00000    0.259699    0.259699
 176  -0.11779   0.00000    0.259939    0.259939
 177  -0.11278   0.00000    0.259691    0.259691
 178  -0.10777   0.00000    0.259931    0.259931
 179  -0.10276   0.00000    0.259684    0.259684
 180  -0.09774   0.00000    0.259925    0.259925
 181  -0.09273   0.00000    0.259678    0.259678
 182  -0.08772   0.00000    0.259920    0.259920
 183  -0.08271   0.00000    0.259673    0.259673
 184  -0.07769   0.00000    0.259916    0.259916
 185  -0.07268   0.00000    0.259669    0.259669
 186  -0.06767   0.00000    0.259913    0.259913
 187  -0.06266   0.00000    0.259666    0.259666
 188  -0.05764   0.00000    0.259911    0.259911
 189  -0.05263   0.00000    0.259664    0.259664
 190  -0.04762   0.00000    0.259910    0.259910
 191  -0.04261   0.00000    0.259663    0.259663
 192  -0.03759   0.00000    0.259910    0.259910
 193  -0.03258   0.00000    0.259664    0.259664
 194  -0.02757   0.00000    0.259911    0.259911
 195  -0.02256   0.00000    0.259665    0.259665
 196  -0.01754   0.00000    0.259913    0.259913
 197  -0.01253   0.00000    0.259668    0.259668
 198  -0.00752   0.00000    0.259916    0.259916
 199  -0.00251   0.00000    0.259671    0.259671
 200   0.00251   0.02502    0.259920    0.234896
 201   0.00752   0.07507    0.259676    0.184602
 202   0.01253   0.12512    0.259926    0.134803
