 i       X     FEXACT   FI_UPWIND   ERR_UP
  0  -1.00000   0.00000    0.082461    0.082461
  1  -0.99499   0.05013    0.107821    0.057696
  2  -0.98997   0.10025    0.137614    0.037364
  3  -0.98496   0.15038    0.171661    0.021286
  4  -0.97995   0.20050    0.209580    0.009080
  5  -0.97494   0.25063    0.250828    0.000201
  6  -0.96992   0.30075    0.294763    0.005989
  7  -0.96491   0.35088    0.340709    0.010168
  8  -0.95990   0.40100    0.388008    0.012995
  9  -0.95489   0.45113    0.436050    0.015078
 10  -0.94987   0.50125    0.484270    0.016984
 11  -0.94486   0.55138    0.532123    0.019256
 12  -0.93985   0.60150    0.579040    0.022464
 13  -0.93484   0.65163    0.624379    0.027250
 14  -0.92982   0.70175    0.667380    0.034374
 15  -0.92481   0.75188    0.707146    0.044733
 16  -0.91980   0.80200    0.742647    0.059358
 17  -0.91479   0.85213    0.772767    0.079363
 18  -0.90977   0.90226    0.796384    0.105872
 19  -0.90476   0.95238    0.812473    0.139908
 20  -0.89975   0.99749    0.820230    0.177264
 21  -0.89474   0.94737    0.819183    0.128184
 22  -0.88972   0.89724    0.809272    0.087970
 23  -0.88471   0.84712    0.790870    0.056247
 24  -0.87970   0.79699    0.764749    0.032243
 25  -0.87469   0.74687    0.731986    0.014881
 26  -0.86967   0.69674    0.693833    0.002909
 27  -0.86466   0.64662    0.651576    0.004959
 28  -0.85965   0.59649    0.606412    0.009920
 29  -0.85464   0.54637    0.559379    0.013012
 30  -0.84962   0.49624    0.511318    0.015078
 31  -0.84461   0.44612    0.462900    0.016784
 32  -0.83960   0.39599    0.414664    0.018674
 33  -0.83459   0.34587    0.367088    0.021223
 34  -0.82957   0.29574    0.320634    0.024895
 35  -0.82456   0.24561    0.275794    0.030181
 36  -0.81955   0.19549    0.233104    0.037616
 37  -0.81454   0.14536    0.193130    0.047766
 38  -0.80952   0.09524    0.156434    0.061196
 39  -0.80451   0.04511    0.123527    0.078413
 40  -0.79950   0.00000    0.094802    0.094802
 41  -0.79449   0.00000    0.070487    0.070487
 42  -0.78947   0.00000    0.050601    0.050601
 43  -0.78446   0.00000    0.034950    0.034950
 44  -0.77945   0.00000    0.023138    0.023138
 45  -0.77444   0.00000    0.014625    0.014625
 46  -0.76942   0.00000    0.008788    0.008788
 47  -0.76441   0.00000    0.004998    0.004998
 48  -0.75940   0.00000    0.002677    0.002677
 49  -0.75439   0.00000    0.001344    0.001344
 50  -0.74937   0.00000    0.000628    0.000628
 51  -0.74436   0.00000    0.000271    0.000271
 52  -0.73935   0.00000    0.000108    0.000108
 53  -0.73434   0.00000    0.000039    0.000039
 54  -0.72932   0.00000    0.000013    0.000013
 55  -0.72431   0.00000    0.000004    0.000004
 56  -0.71930   0.00000    0.000001    0.000001
 57  -0.71429   0.00000    0.000001    0.000001
