 i       X     FEXACT   FI_FTCS   ERR_FTCS
  0  -1.00000   0.00000  ***************  ***************
  1  -0.99499   0.05013  ***************  ***************
  2  -0.98997   0.10025  ***************  ***************
  3  -0.98496   0.15038  ***************  ***************
  4  -0.97995   0.20050  ***************  ***************
  5  -0.97494   0.25063  ***************  ***************
  6  -0.96992   0.30075  ***************  ***************
  7  -0.96491   0.35088  ***************  ***************
  8  -0.95990   0.40100  ***************  ***************
  9  -0.95489   0.45113  ***************  ***************
 10  -0.94987   0.50125  ***************  ***************
 11  -0.94486   0.55138  ***************  ***************
 12  -0.93985   0.60150  ***************  ***************
 13  -0.93484   0.65163  ***************  ***************
 14  -0.92982   0.70175  ***************  ***************
 15  -0.92481   0.75188  ***************  ***************
 16  -0.91980   0.80200  ***************  ***************
 17  -0.91479   0.85213  ***************  ***************
 18  -0.90977   0.90226  ***************  ***************
 19  -0.90476   0.95238  ***************  ***************
 20  -0.89975   0.99749  ***************  ***************
 21  -0.89474   0.94737  ***************  ***************
 22  -0.88972   0.89724  ***************  ***************
 23  -0.88471   0.84712  ***************  ***************
 24  -0.87970   0.79699  ***************  ***************
 25  -0.87469   0.74687  ***************  ***************
 26  -0.86967   0.69674  ***************  ***************
 27  -0.86466   0.64662  ***************  ***************
 28  -0.85965   0.59649  ***************  ***************
 29  -0.85464   0.54637  ***************  ***************
 30  -0.84962   0.49624  ***************  ***************
 31  -0.84461   0.44612  ***************  ***************
 32  -0.83960   0.39599  ***************  ***************
 33  -0.83459   0.34587  ***************  ***************
 34  -0.82957   0.29574  ***************  ***************
 35  -0.82456   0.24561  ***************  ***************
 36  -0.81955   0.19549  ***************  ***************
 37  -0.81454   0.14536  ***************  ***************
 38  -0.80952   0.09524  ***************  ***************
 39  -0.80451   0.04511  ***************  ***************
 40  -0.79950   0.00000  ***************  ***************
 41  -0.79449   0.00000  ***************  ***************
 42  -0.78947   0.00000  ***************  ***************
 43  -0.78446   0.00000  ***************  ***************
 44  -0.77945   0.00000  ***************  ***************
 45  -0.77444   0.00000  ***************  ***************
 46  -0.76942   0.00000  ***************  ***************
 47  -0.76441   0.00000  ***************  ***************
 48  -0.75940   0.00000  ***************  ***************
 49  -0.75439   0.00000  ***************  ***************
 50  -0.74937   0.00000  ***************  ***************
 51  -0.74436   0.00000  ***************  ***************
 52  -0.73935   0.00000  ***************  ***************
 53  -0.73434   0.00000  ***************  ***************
 54  -0.72932   0.00000  ***************  ***************
 55  -0.72431   0.00000  ***************  ***************
 56  -0.71930   0.00000  ***************  ***************
 57  -0.71429   0.00000  ***************  ***************
 58  -0.70927   0.00000  ***************  ***************
 59  -0.70426   0.00000  ***************  ***************
 60  -0.69925   0.00000  ***************  ***************
 61  -0.69424   0.00000  ***************  ***************
 62  -0.68922   0.00000  ***************  ***************
 63  -0.68421   0.00000  ***************  ***************
 64  -0.67920   0.00000  ***************  ***************
 65  -0.67419   0.00000  ***************  ***************
 66  -0.66917   0.00000  ***************  ***************
 67  -0.66416   0.00000  ***************  ***************
 68  -0.65915   0.00000  ***************  ***************
 69  -0.65414   0.00000  ***************  ***************
 70  -0.64912   0.00000  ***************  ***************
 71  -0.64411   0.00000  ***************  ***************
 72  -0.63910   0.00000  ***************  ***************
 73  -0.63409   0.00000  ***************  ***************
 74  -0.62907   0.00000  ***************  ***************
 75  -0.62406   0.00000  ***************  ***************
 76  -0.61905   0.00000  ***************  ***************
 77  -0.61404   0.00000  ***************  ***************
 78  -0.60902   0.00000  ***************  ***************
 79  -0.60401   0.00000  ***************  ***************
 80  -0.59900   0.14124  ***************  ***************
 81  -0.59398   0.34159  ***************  ***************
 82  -0.58897   0.45650  ***************  ***************
 83  -0.58396   0.54321  ***************  ***************
 84  -0.57895   0.61379  ***************  ***************
 85  -0.57393   0.67332  ***************  ***************
 86  -0.56892   0.72455  ***************  ***************
 87  -0.56391   0.76913  ***************  ***************
 88  -0.55890   0.80815  ***************  ***************
 89  -0.55388   0.84240  ***************  ***************
 90  -0.54887   0.87244  ***************  ***************
 91  -0.54386   0.89868  ***************  ***************
 92  -0.53885   0.92146  ***************  ***************
 93  -0.53383   0.94102  ***************  ***************
 94  -0.52882   0.95756  ***************  ***************
 95  -0.52381   0.97124  ***************  ***************
 96  -0.51880   0.98217  ***************  ***************
 97  -0.51378   0.99045  ***************  ***************
 98  -0.50877   0.99615  ***************  ***************
 99  -0.50376   0.99929  ***************  ***************
100  -0.49875   0.99992  ***************  ***************
101  -0.49373   0.99804  ***************  ***************
102  -0.48872   0.99362  ***************  ***************
103  -0.48371   0.98664  ***************  ***************
104  -0.47870   0.97705  ***************  ***************
105  -0.47368   0.96475  ***************  ***************
106  -0.46867   0.94966  ***************  ***************
107  -0.46366   0.93163  ***************  ***************
108  -0.45865   0.91049  ***************  ***************
109  -0.45363   0.88601  ***************  ***************
110  -0.44862   0.85792  ***************  ***************
111  -0.44361   0.82584  ***************  ***************
112  -0.43860   0.78928  ***************  ***************
113  -0.43358   0.74759  ***************  ***************
114  -0.42857   0.69985  ***************  ***************
115  -0.42356   0.64473  ***************  ***************
116  -0.41855   0.58011  ***************  ***************
117  -0.41353   0.50236  ***************  ***************
118  -0.40852   0.40394  ***************  ***************
119  -0.40351   0.26257  ***************  ***************
120  -0.39850   0.00000  ***************  ***************
121  -0.39348   0.00000  ***************  ***************
122  -0.38847   0.00000  ***************  ***************
123  -0.38346   0.00000  ***************  ***************
124  -0.37845   0.00000  ***************  ***************
125  -0.37343   0.00000  ***************  ***************
126  -0.36842   0.00000  ***************  ***************
127  -0.36341   0.00000  ***************  ***************
128  -0.35840   0.00000  ***************  ***************
129  -0.35338   0.00000  ***************  ***************
130  -0.34837   0.00000  ***************  ***************
131  -0.34336   0.00000  ***************  ***************
132  -0.33835   0.00000  ***************  ***************
133  -0.33333   0.00000  ***************  ***************
134  -0.32832   0.00000  ***************  ***************
135  -0.32331   0.00000  ***************  ***************
136  -0.31830   0.00000  ***************  ***************
137  -0.31328   0.00000  ***************  ***************
138  -0.30827   0.00000  ***************  ***************
139  -0.30326   0.00000  ***************  ***************
140  -0.29825   0.00000  ***************  ***************
141  -0.29323   0.00000  ***************  ***************
142  -0.28822   0.00000  ***************  ***************
143  -0.28321   0.00000  ***************  ***************
144  -0.27820   0.00000  ***************  ***************
145  -0.27318   0.00000  ***************  ***************
146  -0.26817   0.00000  ***************  ***************
147  -0.26316   0.00000  ***************  ***************
148  -0.25815   0.00000  ***************  ***************
149  -0.25313   0.00000  ***************  ***************
150  -0.24812   0.00000  ***************  ***************
151  -0.24311   0.00000  ***************  ***************
152  -0.23810   0.00000  ***************  ***************
153  -0.23308   0.00000  ***************  ***************
154  -0.22807   0.00000  ***************  ***************
155  -0.22306   0.00000  ***************  ***************
156  -0.21805   0.00000  ***************  ***************
157  -0.21303   0.00000  ***************  ***************
158  -0.20802   0.00000  ***************  ***************
159  -0.20301   0.00000  ***************  ***************
160  -0.19800   0.00000  ***************  ***************
161  -0.19298   0.00000  ***************  ***************
162  -0.18797   0.00000  ***************  ***************
163  -0.18296   0.00000  ***************  ***************
164  -0.17794   0.00000  ***************  ***************
