 i       X     FEXACT   FI_LAXW   ERR_LAXW
  0  -1.00000   0.00000    0.025752    0.025752
  1  -0.99499   0.05013    0.058591    0.008466
  2  -0.98997   0.10025    0.097669    0.002581
  3  -0.98496   0.15038    0.141523    0.008852
  4  -0.97995   0.20050    0.188858    0.011642
  5  -0.97494   0.25063    0.238393    0.012234
  6  -0.96992   0.30075    0.288685    0.012067
  7  -0.96491   0.35088    0.338234    0.012643
  8  -0.95990   0.40100    0.385971    0.015032
  9  -0.95489   0.45113    0.431937    0.019191
 10  -0.94987   0.50125    0.477667    0.023587
 11  -0.94486   0.55138    0.525857    0.025522
 12  -0.93985   0.60150    0.579252    0.022252
 13  -0.93484   0.65163    0.639159    0.012470
 14  -0.92982   0.70175    0.704298    0.002544
 15  -0.92481   0.75188    0.770607    0.018728
 16  -0.91980   0.80200    0.832137    0.030133
 17  -0.91479   0.85213    0.882687    0.030557
 18  -0.90977   0.90226    0.917462    0.015206
 19  -0.90476   0.95238    0.934129    0.018252
 20  -0.89975   0.99749    0.932976    0.064517
 21  -0.89474   0.94737    0.916287    0.031080
 22  -0.88972   0.89724    0.887348    0.009895
 23  -0.88471   0.84712    0.849537    0.002420
 24  -0.87970   0.79699    0.805793    0.008801
 25  -0.87469   0.74687    0.758478    0.011611
 26  -0.86967   0.69674    0.709461    0.012719
 27  -0.86466   0.64662    0.660174    0.013557
 28  -0.85965   0.59649    0.611500    0.015008
 29  -0.85464   0.54637    0.563565    0.017199
 30  -0.84962   0.49624    0.515643    0.019403
 31  -0.84461   0.44612    0.466396    0.020281
 32  -0.83960   0.39599    0.414480    0.018490
 33  -0.83459   0.34587    0.359300    0.013435
 34  -0.82957   0.29574    0.301570    0.005831
 35  -0.82456   0.24561    0.243385    0.002229
 36  -0.81955   0.19549    0.187745    0.007744
 37  -0.81454   0.14536    0.137734    0.007630
 38  -0.80952   0.09524    0.095705    0.000467
 39  -0.80451   0.04511    0.062775    0.017662
 40  -0.79950   0.00000    0.038758    0.038758
 41  -0.79449   0.00000    0.022469    0.022469
 42  -0.78947   0.00000    0.012201    0.012201
 43  -0.78446   0.00000    0.006192    0.006192
 44  -0.77945   0.00000    0.002930    0.002930
 45  -0.77444   0.00000    0.001289    0.001289
 46  -0.76942   0.00000    0.000527    0.000527
 47  -0.76441   0.00000    0.000201    0.000201
 48  -0.75940   0.00000    0.000072    0.000072
 49  -0.75439   0.00000    0.000021    0.000021
 50  -0.74937   0.00000   -0.000002    0.000002
 51  -0.74436   0.00000   -0.000011    0.000011
 52  -0.73935   0.00000   -0.000002    0.000002
 53  -0.73434   0.00000    0.000028    0.000028
 54  -0.72932   0.00000    0.000060    0.000060
 55  -0.72431   0.00000    0.000045    0.000045
 56  -0.71930   0.00000   -0.000059    0.000059
 57  -0.71429   0.00000   -0.000219    0.000219
 58  -0.70927   0.00000   -0.000284    0.000284
 59  -0.70426   0.00000   -0.000055    0.000055
 60  -0.69925   0.00000    0.000520    0.000520
 61  -0.69424   0.00000    0.001132    0.001132
 62  -0.68922   0.00000    0.001120    0.001120
 63  -0.68421   0.00000   -0.000131    0.000131
 64  -0.67920   0.00000   -0.002514    0.002514
 65  -0.67419   0.00000   -0.004733    0.004733
 66  -0.66917   0.00000   -0.004614    0.004614
 67  -0.66416   0.00000   -0.000375    0.000375
 68  -0.65915   0.00000    0.007695    0.007695
 69  -0.65414   0.00000    0.016268    0.016268
 70  -0.64912   0.00000    0.019732    0.019732
 71  -0.64411   0.00000    0.012735    0.012735
 72  -0.63910   0.00000   -0.006585    0.006585
 73  -0.63409   0.00000   -0.034441    0.034441
 74  -0.62907   0.00000   -0.061657    0.061657
 75  -0.62406   0.00000   -0.076446    0.076446
 76  -0.61905   0.00000   -0.068435    0.068435
 77  -0.61404   0.00000   -0.032107    0.032107
 78  -0.60902   0.00000    0.031772    0.031772
 79  -0.60401   0.00000    0.117048    0.117048
 80  -0.59900   0.14124    0.214643    0.073399
 81  -0.59398   0.34159    0.315340    0.026249
 82  -0.58897   0.45650    0.411839    0.044659
 83  -0.58396   0.54321    0.499641    0.043565
 84  -0.57895   0.61379    0.576886    0.036899
 85  -0.57393   0.67332    0.643607    0.029717
 86  -0.56892   0.72455    0.700864    0.023685
 87  -0.56391   0.76913    0.750065    0.019061
 88  -0.55890   0.80815    0.792548    0.015605
 89  -0.55388   0.84240    0.829414    0.012989
 90  -0.54887   0.87244    0.861494    0.010945
 91  -0.54386   0.89868    0.889400    0.009283
 92  -0.53885   0.92146    0.913585    0.007876
 93  -0.53383   0.94102    0.934397    0.006624
 94  -0.52882   0.95756    0.952106    0.005458
 95  -0.52381   0.97124    0.966893    0.004348
 96  -0.51880   0.98217    0.978842    0.003332
 97  -0.51378   0.99045    0.987969    0.002485
 98  -0.50877   0.99615    0.994314    0.001831
 99  -0.50376   0.99929    0.998061    0.001232
100  -0.49875   0.99992    0.999559    0.000362
101  -0.49373   0.99804    0.999139    0.001104
102  -0.48872   0.99362    0.996757    0.003137
103  -0.48371   0.98664    0.991714    0.005073
104  -0.47870   0.97705    0.982803    0.005758
105  -0.47368   0.96475    0.969040    0.004288
106  -0.46867   0.94966    0.950682    0.001022
107  -0.46366   0.93163    0.929800    0.001830
108  -0.45865   0.91049    0.909701    0.000787
109  -0.45363   0.88601    0.893097    0.007083
110  -0.44862   0.85792    0.879821    0.021901
111  -0.44361   0.82584    0.865476    0.039640
112  -0.43860   0.78928    0.842109    0.052830
113  -0.43358   0.74759    0.800963    0.053373
114  -0.42857   0.69985    0.736132    0.036277
115  -0.42356   0.64473    0.647369    0.002639
116  -0.41855   0.58011    0.540687    0.039426
117  -0.41353   0.50236    0.426554    0.075802
118  -0.40852   0.40394    0.316627    0.087310
119  -0.40351   0.26257    0.220514    0.042059
120  -0.39850   0.00000    0.143779    0.143779
121  -0.39348   0.00000    0.087604    0.087604
122  -0.38847   0.00000    0.049795    0.049795
