 i       X     FEXACT   FI_LAXF   ERR_LAXF
  0  -1.00000   0.00000    0.122354    0.122354
  1  -0.99499   0.05013    0.146812    0.096687
  2  -0.98997   0.10025    0.174239    0.073989
  3  -0.98496   0.15038    0.204450    0.054075
  4  -0.97995   0.20050    0.237490    0.036989
  5  -0.97494   0.25063    0.272779    0.022152
  6  -0.96992   0.30075    0.310399    0.009647
  7  -0.96491   0.35088    0.349383    0.001494
  8  -0.95990   0.40100    0.389873    0.011130
  9  -0.95489   0.45113    0.430565    0.020563
 10  -0.94987   0.50125    0.471700    0.029553
 11  -0.94486   0.55138    0.511701    0.039678
 12  -0.93985   0.60150    0.550944    0.050559
 13  -0.93484   0.65163    0.587639    0.063990
 14  -0.92982   0.70175    0.622337    0.079417
 15  -0.92481   0.75188    0.653084    0.098795
 16  -0.91980   0.80200    0.680637    0.121367
 17  -0.91479   0.85213    0.702970    0.149161
 18  -0.90977   0.90226    0.721042    0.181214
 19  -0.90476   0.95238    0.732921    0.219460
 20  -0.89975   0.99749    0.739730    0.257764
 21  -0.89474   0.94737    0.739860    0.207507
 22  -0.88972   0.89724    0.734517    0.162726
 23  -0.88471   0.84712    0.722651    0.124466
 24  -0.87970   0.79699    0.705429    0.091563
 25  -0.87469   0.74687    0.682518    0.064350
 26  -0.86967   0.69674    0.654913    0.041829
 27  -0.86466   0.64662    0.622999    0.023618
 28  -0.85965   0.59649    0.587494    0.008998
 29  -0.85464   0.54637    0.549357    0.002990
 30  -0.84962   0.49624    0.508958    0.012717
 31  -0.84461   0.44612    0.467625    0.021510
 32  -0.83960   0.39599    0.425358    0.029368
 33  -0.83459   0.34587    0.383667    0.037802
 34  -0.82957   0.29574    0.342196    0.046457
 35  -0.82456   0.24561    0.302527    0.056914
 36  -0.81955   0.19549    0.263989    0.068501
 37  -0.81454   0.14536    0.228184    0.082820
 38  -0.80952   0.09524    0.194175    0.098936
 39  -0.80451   0.04511    0.163530    0.118416
 40  -0.79950   0.00000    0.135121    0.135121
 41  -0.79449   0.00000    0.110385    0.110385
 42  -0.78947   0.00000    0.088098    0.088098
 43  -0.78446   0.00000    0.069439    0.069439
 44  -0.77945   0.00000    0.053198    0.053198
 45  -0.77444   0.00000    0.040195    0.040195
 46  -0.76942   0.00000    0.029350    0.029350
 47  -0.76441   0.00000    0.021092    0.021092
 48  -0.75940   0.00000    0.014559    0.014559
 49  -0.75439   0.00000    0.009857    0.009857
 50  -0.74937   0.00000    0.006372    0.006372
 51  -0.74436   0.00000    0.004022    0.004022
 52  -0.73935   0.00000    0.002418    0.002418
 53  -0.73434   0.00000    0.001427    0.001427
 54  -0.72932   0.00000    0.000818    0.000818
 55  -0.72431   0.00000    0.000519    0.000519
 56  -0.71930   0.00000    0.000363    0.000363
 57  -0.71429   0.00000    0.000413    0.000413
 58  -0.70927   0.00000    0.000459    0.000459
 59  -0.70426   0.00000    0.000781    0.000781
 60  -0.69925   0.00000    0.000978    0.000978
 61  -0.69424   0.00000    0.001701    0.001701
 62  -0.68922   0.00000    0.002133    0.002133
 63  -0.68421   0.00000    0.003591    0.003591
 64  -0.67920   0.00000    0.004463    0.004463
 65  -0.67419   0.00000    0.007242    0.007242
 66  -0.66917   0.00000    0.008915    0.008915
 67  -0.66416   0.00000    0.013933    0.013933
 68  -0.65915   0.00000    0.016978    0.016978
 69  -0.65414   0.00000    0.025545    0.025545
 70  -0.64912   0.00000    0.030790    0.030790
 71  -0.64411   0.00000    0.044592    0.044592
 72  -0.63910   0.00000    0.053122    0.053122
 73  -0.63409   0.00000    0.074044    0.074044
 74  -0.62907   0.00000    0.087117    0.087117
 75  -0.62406   0.00000    0.116883    0.116883
 76  -0.61905   0.00000    0.135716    0.135716
 77  -0.61404   0.00000    0.175350    0.175350
 78  -0.60902   0.00000    0.200791    0.200791
 79  -0.60401   0.00000    0.250051    0.250051
 80  -0.59900   0.14124    0.282196    0.140952
 81  -0.59398   0.34159    0.339190    0.002399
 82  -0.58897   0.45650    0.377096    0.079402
 83  -0.58396   0.54321    0.438341    0.104865
 84  -0.57895   0.61379    0.479973    0.133812
 85  -0.57393   0.67332    0.541002    0.132321
 86  -0.56892   0.72455    0.583521    0.141028
 87  -0.56391   0.76913    0.639885    0.129241
 88  -0.55890   0.80815    0.680227    0.127926
 89  -0.55388   0.84240    0.728520    0.113884
 90  -0.54887   0.87244    0.764054    0.108386
 91  -0.54386   0.89868    0.802518    0.096166
 92  -0.53885   0.92146    0.831517    0.089944
 93  -0.53383   0.94102    0.860005    0.081017
 94  -0.52882   0.95756    0.881752    0.075812
 95  -0.52381   0.97124    0.901155    0.070087
 96  -0.51880   0.98217    0.915693    0.066482
 97  -0.51378   0.99045    0.927207    0.063247
 98  -0.50877   0.99615    0.934921    0.061225
 99  -0.50376   0.99929    0.939505    0.059788
100  -0.49875   0.99992    0.940755    0.059166
101  -0.49373   0.99804    0.938920    0.059115
102  -0.48872   0.99362    0.933843    0.059776
103  -0.48371   0.98664    0.925685    0.060957
104  -0.47870   0.97705    0.914164    0.062881
105  -0.47368   0.96475    0.899500    0.065253
106  -0.46867   0.94966    0.881241    0.068419
107  -0.46366   0.93163    0.859762    0.071868
108  -0.45865   0.91049    0.834436    0.076053
109  -0.45363   0.88601    0.805880    0.080133
110  -0.44862   0.85792    0.773325    0.084594
111  -0.44361   0.82584    0.737695    0.088142
112  -0.43860   0.78928    0.698178    0.091100
113  -0.43358   0.74759    0.656002    0.091588
114  -0.42857   0.69985    0.610501    0.089354
115  -0.42356   0.64473    0.563074    0.081656
116  -0.41855   0.58011    0.513474    0.066640
117  -0.41353   0.50236    0.462989    0.039367
118  -0.40852   0.40394    0.412083    0.008147
119  -0.40351   0.26257    0.361521    0.098948
120  -0.39850   0.00000    0.312704    0.312704
121  -0.39348   0.00000    0.265426    0.265426
122  -0.38847   0.00000    0.222077    0.222077
123  -0.38346   0.00000    0.181177    0.181177
124  -0.37845   0.00000    0.145899    0.145899
125  -0.37343   0.00000    0.113499    0.113499
126  -0.36842   0.00000    0.087502    0.087502
127  -0.36341   0.00000    0.064275    0.064275
128  -0.35840   0.00000    0.047169    0.047169
129  -0.35338   0.00000    0.032310    0.032310
130  -0.34837   0.00000    0.022431    0.022431
131  -0.34336   0.00000    0.014091    0.014091
132  -0.33835   0.00000    0.009192    0.009192
133  -0.33333   0.00000    0.005174    0.005174
134  -0.32832   0.00000    0.003147    0.003147
135  -0.32331   0.00000    0.001533    0.001533
136  -0.31830   0.00000    0.000861    0.000861
137  -0.31328   0.00000    0.000343    0.000343
138  -0.30827   0.00000    0.000176    0.000176
139  -0.30326   0.00000    0.000051    0.000051
140  -0.29825   0.00000    0.000024    0.000024
141  -0.29323   0.00000    0.000004    0.000004
142  -0.28822   0.00000    0.000002    0.000002
143  -0.28321   0.00000    0.000000    0.000000
144  -0.27820   0.00000    0.000000    0.000000
145  -0.27318   0.00000    0.000000    0.000000
146  -0.26817   0.00000    0.000000    0.000000
147  -0.26316   0.00000    0.000000    0.000000
148  -0.25815   0.00000    0.000000    0.000000
149  -0.25313   0.00000    0.000000    0.000000
150  -0.24812   0.00000    0.000000    0.000000
151  -0.24311   0.00000    0.000000    0.000000
152  -0.23810   0.00000    0.000000    0.000000
153  -0.23308   0.00000    0.000000    0.000000
154  -0.22807   0.00000    0.000000    0.000000
155  -0.22306   0.00000    0.000000    0.000000
156  -0.21805   0.00000    0.000000    0.000000
157  -0.21303   0.00000    0.000000    0.000000
158  -0.20802   0.00000    0.000000    0.000000
159  -0.20301   0.00000    0.000000    0.000000
160  -0.19800   0.00000    0.000000    0.000000
161  -0.19298   0.00000    0.000000    0.000000
162  -0.18797   0.00000    0.000000    0.000000
163  -0.18296   0.00000    0.000000    0.000000
164  -0.17794   0.00000    0.000000    0.000000
165  -0.17293   0.00000    0.000000    0.000000
166  -0.16792   0.00000    0.000000    0.000000
167  -0.16291   0.00000    0.000000    0.000000
168  -0.15789   0.00000    0.000000    0.000000
169  -0.15288   0.00000    0.000000    0.000000
170  -0.14787   0.00000    0.000000    0.000000
171  -0.14286   0.00000    0.000000    0.000000
172  -0.13784   0.00000    0.000000    0.000000
173  -0.13283   0.00000    0.000000    0.000000
174  -0.12782   0.00000    0.000000    0.000000
175  -0.12281   0.00000    0.000000    0.000000
176  -0.11779   0.00000    0.000000    0.000000
177  -0.11278   0.00000    0.000000    0.000000
178  -0.10777   0.00000    0.000000    0.000000
179  -0.10276   0.00000    0.000000    0.000000
180  -0.09774   0.00000    0.000000    0.000000
181  -0.09273   0.00000    0.000000    0.000000
182  -0.08772   0.00000    0.000000    0.000000
183  -0.08271   0.00000    0.000000    0.000000
184  -0.07769   0.00000    0.000000    0.000000
185  -0.07268   0.00000    0.000000    0.000000
186  -0.06767   0.00000    0.000000    0.000000
187  -0.06266   0.00000    0.000000    0.000000
188  -0.05764   0.00000    0.000000    0.000000
189  -0.05263   0.00000    0.000000    0.000000
190  -0.04762   0.00000    0.000000    0.000000
191  -0.04261   0.00000    0.000000    0.000000
192  -0.03759   0.00000    0.000000    0.000000
193  -0.03258   0.00000    0.000000    0.000000
194  -0.02757   0.00000    0.000000    0.000000
195  -0.02256   0.00000    0.000000    0.000000
196  -0.01754   0.00000    0.000000    0.000000
197  -0.01253   0.00000    0.000000    0.000000
198  -0.00752   0.00000    0.000000    0.000000
199  -0.00251   0.00000    0.000000    0.000000
200   0.00251   0.00000    0.000000    0.000000
201   0.00752   0.00000    0.000000    0.000000
202   0.01253   0.00000    0.000000    0.000000
203   0.01754   0.00000    0.000000    0.000000
204   0.02256   0.00000    0.000000    0.000000
205   0.02757   0.00000    0.000000    0.000000
206   0.03258   0.00000    0.000000    0.000000
207   0.03759   0.00000    0.000000    0.000000
208   0.04261   0.00000    0.000000    0.000000
209   0.04762   0.00000    0.000000    0.000000
210   0.05263   0.00000    0.000000    0.000000
211   0.05764   0.00000    0.000000    0.000000
212   0.06266   0.00000    0.000001    0.000001
213   0.06767   0.00000    0.000001    0.000001
214   0.07268   0.00000    0.000002    0.000002
215   0.07769   0.00000    0.000003    0.000003
216   0.08271   0.00000    0.000005    0.000005
217   0.08772   0.00000    0.000008    0.000008
218   0.09273   0.00000    0.000013    0.000013
219   0.09774   0.00000    0.000020    0.000020
220   0.10276   0.00000    0.000032    0.000032
221   0.10777   0.00000    0.000050    0.000050
222   0.11278   0.00000    0.000078    0.000078
223   0.11779   0.00000    0.000118    0.000118
224   0.12281   0.00000    0.000182    0.000182
225   0.12782   0.00000    0.000273    0.000273
226   0.13283   0.00000    0.000410    0.000410
227   0.13784   0.00000    0.000604    0.000604
228   0.14286   0.00000    0.000891    0.000891
229   0.14787   0.00000    0.001290    0.001290
230   0.15288   0.00000    0.001864    0.001864
231   0.15789   0.00000    0.002648    0.002648
232   0.16291   0.00000    0.003747    0.003747
233   0.16792   0.00000    0.005225    0.005225
234   0.17293   0.00000    0.007242    0.007242
235   0.17794   0.00000    0.009901    0.009901
236   0.18296   0.00000    0.013436    0.013436
237   0.18797   0.00000    0.018002    0.018002
238   0.19298   0.00000    0.023913    0.023913
239   0.19799   0.00000    0.031378    0.031378
240   0.20301   0.00071    0.040780    0.040067
241   0.20802   0.00148    0.052373    0.050894
242   0.21303   0.00295    0.066569    0.063617
243   0.21805   0.00567    0.083622    0.077954
244   0.22306   0.01047    0.103897    0.093429
245   0.22807   0.01860    0.127569    0.108972
246   0.23308   0.03179    0.154847    0.123061
247   0.23810   0.05227    0.185713    0.133448
248   0.24311   0.08268    0.220094    0.137417
249   0.24812   0.12582    0.257658    0.131837
250   0.25313   0.18421    0.297937    0.113729
251   0.25815   0.25945    0.340201    0.080749
252   0.26316   0.35156    0.383546    0.031987
253   0.26817   0.45828    0.426846    0.031437
254   0.27318   0.57472    0.468835    0.105889
255   0.27820   0.69339    0.508122    0.185267
256   0.28321   0.80480    0.543285    0.261513
257   0.28822   0.89865    0.572930    0.325717
258   0.29323   0.96535    0.595793    0.369555
259   0.29825   0.99763    0.610813    0.386819
260   0.30326   0.99186    0.617217    0.374640
261   0.30827   0.94868    0.614584    0.334098
262   0.31328   0.87294    0.602876    0.270063
263   0.31830   0.77275    0.582465    0.190285
264   0.32331   0.65809    0.554103    0.103990
265   0.32832   0.53917    0.518893    0.020279
266   0.33333   0.42497    0.478194    0.053225
267   0.33835   0.32224    0.433569    0.111328
268   0.34336   0.23507    0.386632    0.151561
269   0.34837   0.16497    0.339013    0.174042
270   0.35338   0.11138    0.292177    0.180796
271   0.35840   0.07234    0.247458    0.175114
272   0.36341   0.04520    0.205858    0.160653
273   0.36842   0.02717    0.168194    0.141020
274   0.37343   0.01572    0.134871    0.119156
275   0.37845   0.00874    0.106164    0.097420
276   0.38346   0.00468    0.081938    0.077258
277   0.38847   0.00241    0.062055    0.059645
278   0.39348   0.00119    0.046022    0.044828
279   0.39850   0.00057    0.033488    0.032919
280   0.40351   0.00000    0.023818    0.023818
281   0.40852   0.00000    0.016630    0.016630
282   0.41353   0.00000    0.011316    0.011316
283   0.41855   0.00000    0.007573    0.007573
284   0.42356   0.00000    0.004914    0.004914
285   0.42857   0.00000    0.003150    0.003150
286   0.43358   0.00000    0.001943    0.001943
287   0.43860   0.00000    0.001195    0.001195
288   0.44361   0.00000    0.000707    0.000707
289   0.44862   0.00000    0.000424    0.000424
290   0.45363   0.00000    0.000272    0.000272
291   0.45865   0.00000    0.000178    0.000178
292   0.46366   0.00000    0.000203    0.000203
293   0.46867   0.00000    0.000176    0.000176
294   0.47368   0.00000    0.000368    0.000368
295   0.47870   0.00000    0.000362    0.000362
296   0.48371   0.00000    0.000841    0.000841
297   0.48872   0.00000    0.000840    0.000840
298   0.49373   0.00000    0.001895    0.001895
299   0.49875   0.00000    0.001895    0.001895
300   0.50376   0.00000    0.004092    0.004092
301   0.50877   0.00000    0.004092    0.004092
302   0.51378   0.00000    0.008431    0.008431
303   0.51880   0.00000    0.008431    0.008431
304   0.52381   0.00000    0.016554    0.016554
305   0.52882   0.00000    0.016554    0.016554
306   0.53383   0.00000    0.030928    0.030928
307   0.53885   0.00000    0.030928    0.030928
308   0.54386   0.00000    0.054909    0.054909
309   0.54887   0.00000    0.054909    0.054909
310   0.55388   0.00000    0.092509    0.092509
311   0.55890   0.00000    0.092509    0.092509
312   0.56391   0.00000    0.147730    0.147730
313   0.56892   0.00000    0.147730    0.147730
314   0.57393   0.00000    0.223392    0.223392
315   0.57895   0.00000    0.223392    0.223392
316   0.58396   0.00000    0.319689    0.319689
317   0.58897   0.00000    0.319689    0.319689
318   0.59398   0.00000    0.432954    0.432954
319   0.59900   0.00000    0.432954    0.432954
320   0.60401   1.00000    0.555343    0.444657
321   0.60902   1.00000    0.555343    0.444657
322   0.61404   1.00000    0.676000    0.324000
323   0.61905   1.00000    0.676000    0.324000
324   0.62406   1.00000    0.783627    0.216373
325   0.62907   1.00000    0.783627    0.216373
326   0.63409   1.00000    0.869625    0.130375
327   0.63910   1.00000    0.869625    0.130375
328   0.64411   1.00000    0.930413    0.069587
329   0.64912   1.00000    0.930413    0.069587
330   0.65414   1.00000    0.967816    0.032184
331   0.65915   1.00000    0.967817    0.032183
332   0.66416   1.00000    0.987396    0.012604
333   0.66917   1.00000    0.987396    0.012604
334   0.67419   1.00000    0.995756    0.004244
335   0.67920   1.00000    0.995756    0.004244
336   0.68421   1.00000    0.998247    0.001753
337   0.68922   1.00000    0.998247    0.001753
338   0.69424   1.00000    0.997961    0.002039
339   0.69925   1.00000    0.997961    0.002039
340   0.70426   1.00000    0.995897    0.004103
341   0.70927   1.00000    0.995897    0.004103
342   0.71429   1.00000    0.991569    0.008431
343   0.71930   1.00000    0.991569    0.008431
344   0.72431   1.00000    0.983446    0.016554
345   0.72932   1.00000    0.983446    0.016554
346   0.73434   1.00000    0.969072    0.030928
347   0.73935   1.00000    0.969072    0.030928
348   0.74436   1.00000    0.945091    0.054909
349   0.74937   1.00000    0.945091    0.054909
350   0.75439   1.00000    0.907491    0.092509
351   0.75940   1.00000    0.907491    0.092509
352   0.76441   1.00000    0.852270    0.147730
353   0.76942   1.00000    0.852271    0.147729
354   0.77444   1.00000    0.776608    0.223392
355   0.77945   1.00000    0.776608    0.223392
356   0.78446   1.00000    0.680310    0.319690
357   0.78947   1.00000    0.680311    0.319689
358   0.79449   1.00000    0.567046    0.432954
359   0.79950   1.00000    0.567046    0.432954
360   0.80451   0.00000    0.444657    0.444657
361   0.80952   0.00000    0.444657    0.444657
362   0.81454   0.00000    0.323999    0.323999
363   0.81955   0.00000    0.323999    0.323999
364   0.82456   0.00000    0.216370    0.216370
365   0.82957   0.00000    0.216370    0.216370
366   0.83459   0.00000    0.130368    0.130368
367   0.83960   0.00000    0.130369    0.130369
368   0.84461   0.00000    0.069567    0.069567
369   0.84962   0.00000    0.069568    0.069568
370   0.85464   0.00000    0.032132    0.032132
371   0.85965   0.00000    0.032135    0.032135
372   0.86466   0.00000    0.012472    0.012472
373   0.86967   0.00000    0.012479    0.012479
374   0.87469   0.00000    0.003921    0.003921
375   0.87970   0.00000    0.003939    0.003939
376   0.88471   0.00000    0.000994    0.000994
377   0.88972   0.00000    0.001036    0.001036
378   0.89474   0.00000    0.000334    0.000334
379   0.89975   0.00000    0.000429    0.000429
380   0.90476   0.00000    0.000447    0.000447
381   0.90977   0.00000    0.000652    0.000652
382   0.91479   0.00000    0.000954    0.000954
383   0.91980   0.00000    0.001377    0.001377
384   0.92481   0.00000    0.002003    0.002003
385   0.92982   0.00000    0.002832    0.002832
386   0.93484   0.00000    0.004022    0.004022
387   0.93985   0.00000    0.005571    0.005571
388   0.94486   0.00000    0.007721    0.007721
389   0.94987   0.00000    0.010471    0.010471
390   0.95489   0.00000    0.014162    0.014162
391   0.95990   0.00000    0.018793    0.018793
392   0.96491   0.00000    0.024804    0.024804
393   0.96992   0.00000    0.032195    0.032195
394   0.97494   0.00000    0.041470    0.041470
395   0.97995   0.00000    0.052632    0.052632
396   0.98496   0.00000    0.066181    0.066181
397   0.98997   0.00000    0.082121    0.082121
398   0.99499   0.00000    0.100842    0.100842
399   1.00000   0.00000    0.122354    0.122354
 
