 # t   L1   L2   Linf
  0.10000000E+01  0.12571339E-01  0.13958995E-01  0.19740937E-01
  0.20000000E+01  0.24894481E-01  0.27642464E-01  0.39092229E-01
  0.30000000E+01  0.36974324E-01  0.41055845E-01  0.58061566E-01
  0.40000000E+01  0.48815671E-01  0.54204469E-01  0.76656484E-01
  0.50000000E+01  0.60423228E-01  0.67093560E-01  0.94884372E-01
  0.60000000E+01  0.71801611E-01  0.79728242E-01  0.11275247E+00
  0.70000000E+01  0.82955342E-01  0.92113535E-01  0.13026788E+00
  0.80000000E+01  0.93888857E-01  0.10425436E+00  0.14743757E+00
  0.90000000E+01  0.10460650E+00  0.11615555E+00  0.16426834E+00
  0.10000000E+02  0.11511254E+00  0.12782182E+00  0.18076690E+00
  0.11000000E+02  0.12541114E+00  0.13925782E+00  0.19693979E+00
  0.12000000E+02  0.13550640E+00  0.15046809E+00  0.21279345E+00
  0.13000000E+02  0.14540234E+00  0.16145709E+00  0.22833417E+00
  0.14000000E+02  0.15510289E+00  0.17222917E+00  0.24356813E+00
  0.15000000E+02  0.16461191E+00  0.18278863E+00  0.25850138E+00
  0.16000000E+02  0.17393317E+00  0.19313966E+00  0.27313986E+00
  0.17000000E+02  0.18307039E+00  0.20328638E+00  0.28748938E+00
  0.18000000E+02  0.19202719E+00  0.21323281E+00  0.30155564E+00
  0.19000000E+02  0.20080715E+00  0.22298291E+00  0.31534424E+00
  0.20000000E+02  0.20941374E+00  0.23254055E+00  0.32886066E+00
  0.21000000E+02  0.21785039E+00  0.24190954E+00  0.34211026E+00
  0.22000000E+02  0.22612045E+00  0.25109360E+00  0.35509831E+00
  0.23000000E+02  0.23422722E+00  0.26009637E+00  0.36782997E+00
  0.24000000E+02  0.24217392E+00  0.26892143E+00  0.38031031E+00
  0.25000000E+02  0.24996371E+00  0.27757230E+00  0.39254428E+00
  0.26000000E+02  0.25759967E+00  0.28605240E+00  0.40453675E+00
  0.27000000E+02  0.26508486E+00  0.29436512E+00  0.41629247E+00
  0.28000000E+02  0.27262597E+00  0.30259264E+00  0.42791999E+00
  0.29000000E+02  0.27982226E+00  0.31057917E+00  0.43921450E+00
  0.30000000E+02  0.28687654E+00  0.31840806E+00  0.45028607E+00
  0.31000000E+02  0.29379162E+00  0.32608241E+00  0.46113910E+00
  0.32000000E+02  0.30057023E+00  0.33360528E+00  0.47177790E+00
  0.33000000E+02  0.30721507E+00  0.34097966E+00  0.48220669E+00
  0.34000000E+02  0.31372879E+00  0.34820847E+00  0.49242963E+00
  0.35000000E+02  0.32011396E+00  0.35529459E+00  0.50245077E+00
  0.36000000E+02  0.32637312E+00  0.36224084E+00  0.51227410E+00
  0.37000000E+02  0.33250876E+00  0.36904997E+00  0.52190352E+00
  0.38000000E+02  0.33852332E+00  0.37572470E+00  0.53134286E+00
  0.39000000E+02  0.34441918E+00  0.38226767E+00  0.54059587E+00
  0.40000000E+02  0.35019869E+00  0.38868149E+00  0.54966622E+00
  0.41000000E+02  0.35586414E+00  0.39496871E+00  0.55855752E+00
  0.42000000E+02  0.36141778E+00  0.40113182E+00  0.56727330E+00
