 # t   L1   L2   Linf
  0.10000000E+01  0.51814376E-03  0.57222944E-03  0.80116396E-03
  0.20000000E+01  0.10362646E-02  0.11444388E-02  0.16022928E-02
  0.30000000E+01  0.15543622E-02  0.17166279E-02  0.24033860E-02
  0.40000000E+01  0.20724362E-02  0.22887966E-02  0.32044431E-02
  0.50000000E+01  0.25904863E-02  0.28609450E-02  0.40054635E-02
  0.60000000E+01  0.31085121E-02  0.34330729E-02  0.48064467E-02
  0.70000000E+01  0.36265134E-02  0.40051802E-02  0.56073923E-02
  0.80000000E+01  0.41444898E-02  0.45772668E-02  0.64082996E-02
  0.90000000E+01  0.46624409E-02  0.51493326E-02  0.72091683E-02
  0.10000000E+02  0.51803664E-02  0.57213775E-02  0.80099977E-02
  0.11000000E+02  0.56982661E-02  0.62934014E-02  0.88107874E-02
  0.12000000E+02  0.62161470E-02  0.68654042E-02  0.96115486E-02
  0.13000000E+02  0.67340787E-02  0.74373859E-02  0.10412391E-01
  0.14000000E+02  0.72519964E-02  0.80093462E-02  0.11213212E-01
  0.15000000E+02  0.77698999E-02  0.85812853E-02  0.12014011E-01
  0.16000000E+02  0.82877887E-02  0.91532028E-02  0.12814789E-01
  0.17000000E+02  0.88056627E-02  0.97250988E-02  0.13615544E-01
  0.18000000E+02  0.93235213E-02  0.10296973E-01  0.14416276E-01
  0.19000000E+02  0.98413644E-02  0.10868826E-01  0.15216985E-01
  0.20000000E+02  0.10359192E-01  0.11440656E-01  0.16017670E-01
  0.21000000E+02  0.10877002E-01  0.12012465E-01  0.16818330E-01
  0.22000000E+02  0.11394797E-01  0.12584252E-01  0.17618965E-01
  0.23000000E+02  0.11912574E-01  0.13156016E-01  0.18419575E-01
  0.24000000E+02  0.12430334E-01  0.13727759E-01  0.19220158E-01
  0.25000000E+02  0.12948077E-01  0.14299479E-01  0.20020715E-01
  0.26000000E+02  0.13465801E-01  0.14871176E-01  0.20821245E-01
  0.27000000E+02  0.13983508E-01  0.15442851E-01  0.21621748E-01
  0.28000000E+02  0.14506798E-01  0.16020162E-01  0.22430388E-01
  0.29000000E+02  0.15024466E-01  0.16591815E-01  0.23230807E-01
  0.30000000E+02  0.15542113E-01  0.17163447E-01  0.24031192E-01
  0.31000000E+02  0.16059738E-01  0.17735055E-01  0.24831543E-01
  0.32000000E+02  0.16577341E-01  0.18306642E-01  0.25631860E-01
  0.33000000E+02  0.17094922E-01  0.18878205E-01  0.26432142E-01
  0.34000000E+02  0.17612480E-01  0.19449746E-01  0.27232390E-01
  0.35000000E+02  0.18130014E-01  0.20021264E-01  0.28032601E-01
  0.36000000E+02  0.18647526E-01  0.20592760E-01  0.28832776E-01
  0.37000000E+02  0.19165013E-01  0.21164232E-01  0.29632914E-01
  0.38000000E+02  0.19682477E-01  0.21735681E-01  0.30433015E-01
  0.39000000E+02  0.20199915E-01  0.22307108E-01  0.31233079E-01
  0.40000000E+02  0.20717330E-01  0.22878510E-01  0.32033104E-01
  0.41000000E+02  0.21234719E-01  0.23449890E-01  0.32833090E-01
  0.42000000E+02  0.21752082E-01  0.24021246E-01  0.33633037E-01
  0.43000000E+02  0.22269420E-01  0.24592579E-01  0.34432944E-01
  0.44000000E+02  0.22786732E-01  0.25163887E-01  0.35232810E-01
  0.45000000E+02  0.23304017E-01  0.25735173E-01  0.36032636E-01
  0.46000000E+02  0.23821276E-01  0.26306434E-01  0.36832421E-01
  0.47000000E+02  0.24338507E-01  0.26877671E-01  0.37632163E-01
