 # t   L1   L2   Linf
  0.10000000E+01  0.78555164E-03  0.87252856E-03  0.12339413E-02
  0.20000000E+01  0.15701363E-02  0.17439805E-02  0.24663607E-02
  0.30000000E+01  0.23533104E-02  0.26138676E-02  0.36965669E-02
  0.40000000E+01  0.31359552E-02  0.34831708E-02  0.49259455E-02
  0.50000000E+01  0.39176430E-02  0.43514013E-02  0.61538104E-02
  0.60000000E+01  0.46979216E-02  0.52180728E-02  0.73794693E-02
  0.70000000E+01  0.54776704E-02  0.60841625E-02  0.86043021E-02
  0.80000000E+01  0.62564721E-02  0.69491836E-02  0.98276291E-02
  0.90000000E+01  0.70338658E-02  0.78126514E-02  0.11048758E-01
  0.10000000E+02  0.78107294E-02  0.86755396E-02  0.12269061E-01
  0.11000000E+02  0.85866556E-02  0.95373630E-02  0.13487867E-01
  0.12000000E+02  0.93611751E-02  0.10397639E-01  0.14704482E-01
  0.13000000E+02  0.10135164E-01  0.11257337E-01  0.15920274E-01
  0.14000000E+02  0.10908225E-01  0.12115975E-01  0.17134575E-01
  0.15000000E+02  0.11679881E-01  0.12973071E-01  0.18346693E-01
  0.16000000E+02  0.12451006E-01  0.13829592E-01  0.19557989E-01
  0.17000000E+02  0.13221213E-01  0.14685055E-01  0.20767803E-01
  0.18000000E+02  0.13990468E-01  0.15539463E-01  0.21976117E-01
  0.19000000E+02  0.14758288E-01  0.16392337E-01  0.23182257E-01
  0.20000000E+02  0.15525651E-01  0.17244638E-01  0.24387600E-01
  0.21000000E+02  0.16292064E-01  0.18095888E-01  0.25591448E-01
  0.22000000E+02  0.17057040E-01  0.18945609E-01  0.26793128E-01
  0.23000000E+02  0.17821570E-01  0.19794760E-01  0.27994017E-01
  0.24000000E+02  0.18585153E-01  0.20642863E-01  0.29193414E-01
  0.25000000E+02  0.19347295E-01  0.21489443E-01  0.30390651E-01
  0.26000000E+02  0.20109003E-01  0.22335455E-01  0.31587102E-01
  0.27000000E+02  0.20869766E-01  0.23180423E-01  0.32782065E-01
  0.28000000E+02  0.21629085E-01  0.24023874E-01  0.33974876E-01
  0.29000000E+02  0.22387980E-01  0.24866758E-01  0.35166904E-01
  0.30000000E+02  0.23145933E-01  0.25708603E-01  0.36357451E-01
  0.31000000E+02  0.23902439E-01  0.26548935E-01  0.37545851E-01
  0.32000000E+02  0.24658532E-01  0.27388704E-01  0.38733474E-01
  0.33000000E+02  0.25413686E-01  0.28227437E-01  0.39919620E-01
  0.34000000E+02  0.26167389E-01  0.29064663E-01  0.41103627E-01
  0.35000000E+02  0.26920691E-01  0.29901328E-01  0.42286860E-01
  0.36000000E+02  0.27673056E-01  0.30736960E-01  0.43468621E-01
  0.37000000E+02  0.28423968E-01  0.31571091E-01  0.44648250E-01
  0.38000000E+02  0.29174488E-01  0.32404663E-01  0.45827111E-01
  0.39000000E+02  0.29924075E-01  0.33237206E-01  0.47004503E-01
  0.40000000E+02  0.30672204E-01  0.34068254E-01  0.48179771E-01
  0.41000000E+02  0.31419953E-01  0.34898745E-01  0.49354275E-01
  0.42000000E+02  0.32166772E-01  0.35728210E-01  0.50527314E-01
  0.43000000E+02  0.32912130E-01  0.36556186E-01  0.51698237E-01
  0.44000000E+02  0.33657118E-01  0.37383607E-01  0.52868400E-01
  0.45000000E+02  0.34401179E-01  0.38210006E-01  0.54037104E-01
  0.46000000E+02  0.35143776E-01  0.39034921E-01  0.55203697E-01
  0.47000000E+02  0.35886014E-01  0.39859283E-01  0.56369535E-01
  0.48000000E+02  0.36627327E-01  0.40682628E-01  0.57533919E-01
  0.49000000E+02  0.37367172E-01  0.41504494E-01  0.58696198E-01
  0.50000000E+02  0.38106670E-01  0.42325808E-01  0.59857728E-01
  0.51000000E+02  0.38845245E-01  0.43146109E-01  0.61017807E-01
  0.52000000E+02  0.39582350E-01  0.43964937E-01  0.62175790E-01
