 # t   L1   L2   Linf
  0.10000000E+01  0.16572508E-02  0.18407405E-02  0.26032001E-02
  0.20000000E+01  0.33101822E-02  0.36766892E-02  0.51996212E-02
  0.30000000E+01  0.49578997E-02  0.55068294E-02  0.77878314E-02
  0.40000000E+01  0.66022392E-02  0.73332345E-02  0.10370760E-01
  0.50000000E+01  0.82422901E-02  0.91548852E-02  0.12946957E-01
  0.60000000E+01  0.98771880E-02  0.10970773E-01  0.15515013E-01
  0.70000000E+01  0.11508717E-01  0.12782954E-01  0.18077827E-01
  0.80000000E+01  0.13135988E-01  0.14590418E-01  0.20633958E-01
  0.90000000E+01  0.14758166E-01  0.16392164E-01  0.23182016E-01
  0.10000000E+02  0.16376984E-01  0.18190232E-01  0.25724873E-01
  0.11000000E+02  0.17991574E-01  0.19983620E-01  0.28261094E-01
  0.12000000E+02  0.19601131E-01  0.21771334E-01  0.30789310E-01
  0.13000000E+02  0.21207337E-01  0.23555399E-01  0.33312365E-01
  0.14000000E+02  0.22809347E-01  0.25334821E-01  0.35828831E-01
  0.15000000E+02  0.24406380E-01  0.27108612E-01  0.38337359E-01
  0.16000000E+02  0.26000073E-01  0.28878784E-01  0.40840767E-01
  0.17000000E+02  0.27589600E-01  0.30644347E-01  0.43337633E-01
  0.18000000E+02  0.29175073E-01  0.32405315E-01  0.45828034E-01
  0.19000000E+02  0.30755484E-01  0.34160711E-01  0.48310540E-01
  0.20000000E+02  0.32332625E-01  0.35912524E-01  0.50787957E-01
  0.21000000E+02  0.33905758E-01  0.37659777E-01  0.53258966E-01
  0.22000000E+02  0.35473860E-01  0.39401503E-01  0.55722139E-01
  0.23000000E+02  0.37038712E-01  0.41139674E-01  0.58180260E-01
  0.24000000E+02  0.38599601E-01  0.42873320E-01  0.60632028E-01
  0.25000000E+02  0.40155490E-01  0.44601481E-01  0.63076018E-01
  0.26000000E+02  0.41708150E-01  0.46326115E-01  0.65514993E-01
  0.27000000E+02  0.43256890E-01  0.48046260E-01  0.67947669E-01
  0.28000000E+02  0.44800661E-01  0.49760962E-01  0.70372627E-01
  0.29000000E+02  0.46341223E-01  0.51472165E-01  0.72792605E-01
  0.30000000E+02  0.47877909E-01  0.53178914E-01  0.75206338E-01
  0.31000000E+02  0.49409656E-01  0.54880263E-01  0.77612411E-01
  0.32000000E+02  0.50938215E-01  0.56578139E-01  0.80013540E-01
  0.33000000E+02  0.52462940E-01  0.58271596E-01  0.82408477E-01
  0.34000000E+02  0.53982757E-01  0.59959695E-01  0.84795813E-01
  0.35000000E+02  0.55499406E-01  0.61644349E-01  0.87178240E-01
  0.36000000E+02  0.57012264E-01  0.63324617E-01  0.89554528E-01
  0.37000000E+02  0.58520243E-01  0.64999569E-01  0.91923272E-01
  0.38000000E+02  0.60025076E-01  0.66671103E-01  0.94287143E-01
  0.39000000E+02  0.61526159E-01  0.68338286E-01  0.96644926E-01
  0.40000000E+02  0.63022392E-01  0.70000194E-01  0.98995224E-01
  0.41000000E+02  0.64515501E-01  0.71658711E-01  0.10134068E+00
  0.42000000E+02  0.66004901E-01  0.73312910E-01  0.10368011E+00
  0.43000000E+02  0.67489480E-01  0.74961875E-01  0.10601210E+00
  0.44000000E+02  0.68970955E-01  0.76607476E-01  0.10833929E+00
  0.45000000E+02  0.70448763E-01  0.78248792E-01  0.11066050E+00
  0.46000000E+02  0.71921778E-01  0.79884916E-01  0.11297433E+00
  0.47000000E+02  0.73391712E-01  0.81517700E-01  0.11528340E+00
  0.48000000E+02  0.74858016E-01  0.83146235E-01  0.11758653E+00
  0.49000000E+02  0.76319558E-01  0.84769616E-01  0.11988234E+00
  0.50000000E+02  0.77778040E-01  0.86389685E-01  0.12217342E+00
  0.51000000E+02  0.79232932E-01  0.88005537E-01  0.12445862E+00
  0.52000000E+02  0.80683089E-01  0.89616276E-01  0.12673655E+00
  0.53000000E+02  0.82130209E-01  0.91223728E-01  0.12900979E+00
  0.54000000E+02  0.83573777E-01  0.92826995E-01  0.13127719E+00
  0.55000000E+02  0.85012638E-01  0.94425191E-01  0.13353739E+00
  0.56000000E+02  0.86448484E-01  0.96020124E-01  0.13579292E+00
  0.57000000E+02  0.87880816E-01  0.97610906E-01  0.13804266E+00
  0.58000000E+02  0.89308469E-01  0.99196654E-01  0.14028525E+00
  0.59000000E+02  0.90733129E-01  0.10077917E+00  0.14252322E+00
  0.60000000E+02  0.92154312E-01  0.10235756E+00  0.14475544E+00
  0.61000000E+02  0.93570845E-01  0.10393096E+00  0.14698057E+00
  0.62000000E+02  0.94984406E-01  0.10550115E+00  0.14920111E+00
  0.63000000E+02  0.96394528E-01  0.10706725E+00  0.15141594E+00
  0.64000000E+02  0.97800026E-01  0.10862839E+00  0.15362375E+00
  0.65000000E+02  0.99202576E-01  0.11018635E+00  0.15582699E+00
  0.66000000E+02  0.10060172E+00  0.11174026E+00  0.15802458E+00
  0.67000000E+02  0.10199627E+00  0.11328925E+00  0.16021519E+00
  0.68000000E+02  0.10338789E+00  0.11483507E+00  0.16240127E+00
  0.69000000E+02  0.10477615E+00  0.11637687E+00  0.16458174E+00
  0.70000000E+02  0.10615984E+00  0.11791380E+00  0.16675529E+00
  0.71000000E+02  0.10754062E+00  0.11944759E+00  0.16892435E+00
  0.72000000E+02  0.10891807E+00  0.12097738E+00  0.17108784E+00
  0.73000000E+02  0.11029098E+00  0.12250234E+00  0.17324447E+00
  0.74000000E+02  0.11166100E+00  0.12402418E+00  0.17539663E+00
  0.75000000E+02  0.11302773E+00  0.12554206E+00  0.17754327E+00
  0.76000000E+02  0.11438994E+00  0.12705514E+00  0.17968311E+00
  0.77000000E+02  0.11574930E+00  0.12856513E+00  0.18181850E+00
  0.78000000E+02  0.11710539E+00  0.13007119E+00  0.18394843E+00
  0.79000000E+02  0.11845699E+00  0.13157249E+00  0.18607160E+00
  0.80000000E+02  0.11980576E+00  0.13307072E+00  0.18819037E+00
  0.81000000E+02  0.12115129E+00  0.13456505E+00  0.19030371E+00
  0.82000000E+02  0.12249236E+00  0.13605466E+00  0.19241034E+00
  0.83000000E+02  0.12383062E+00  0.13754122E+00  0.19451261E+00
  0.84000000E+02  0.12516568E+00  0.13902392E+00  0.19660949E+00
  0.85000000E+02  0.12649631E+00  0.14050192E+00  0.19869972E+00
  0.86000000E+02  0.12782414E+00  0.14197691E+00  0.20078561E+00
  0.87000000E+02  0.12914881E+00  0.14344805E+00  0.20286616E+00
  0.88000000E+02  0.13046907E+00  0.14491455E+00  0.20494012E+00
  0.89000000E+02  0.13178656E+00  0.14637805E+00  0.20700976E+00
  0.90000000E+02  0.13310092E+00  0.14783774E+00  0.20907411E+00
  0.91000000E+02  0.13441089E+00  0.14929281E+00  0.21113191E+00
  0.92000000E+02  0.13571813E+00  0.15074491E+00  0.21318544E+00
  0.93000000E+02  0.13702225E+00  0.15219323E+00  0.21523371E+00
  0.94000000E+02  0.13832202E+00  0.15363697E+00  0.21727549E+00
  0.95000000E+02  0.13961907E+00  0.15507777E+00  0.21931303E+00
  0.96000000E+02  0.14091305E+00  0.15651481E+00  0.22134534E+00
  0.97000000E+02  0.14220268E+00  0.15794731E+00  0.22337122E+00
  0.98000000E+02  0.14348963E+00  0.15937688E+00  0.22539289E+00
  0.99000000E+02  0.14477354E+00  0.16080273E+00  0.22740938E+00
  0.10000000E+03  0.14605685E+00  0.16222745E+00  0.22942416E+00
