 # t   L1   L2   Linf
  0.10000000E+01  0.19580897E-05  0.21741147E-05  0.30727411E-05
  0.20000000E+01  0.39161796E-05  0.43482293E-05  0.61454824E-05
  0.30000000E+01  0.58731677E-05  0.65211220E-05  0.92164949E-05
  0.40000000E+01  0.78312595E-05  0.86952383E-05  0.12289239E-04
  0.50000000E+01  0.97893513E-05  0.10869354E-04  0.15361984E-04
  0.60000000E+01  0.11746338E-04  0.13042247E-04  0.18432994E-04
  0.70000000E+01  0.13704431E-04  0.15216363E-04  0.21505740E-04
  0.80000000E+01  0.15662523E-04  0.17390480E-04  0.24578485E-04
  0.90000000E+01  0.17619509E-04  0.19563372E-04  0.27649493E-04
  0.10000000E+02  0.19577602E-04  0.21737488E-04  0.30722240E-04
  0.11000000E+02  0.21535694E-04  0.23911604E-04  0.33794985E-04
  0.12000000E+02  0.23492679E-04  0.26084497E-04  0.36865992E-04
  0.13000000E+02  0.25450773E-04  0.28258613E-04  0.39938740E-04
  0.14000000E+02  0.27408866E-04  0.30432729E-04  0.43011486E-04
  0.15000000E+02  0.29365849E-04  0.32605622E-04  0.46082490E-04
  0.16000000E+02  0.31323944E-04  0.34779738E-04  0.49155240E-04
  0.17000000E+02  0.33282024E-04  0.36953840E-04  0.52227966E-04
  0.18000000E+02  0.35240091E-04  0.39127942E-04  0.55300672E-04
  0.19000000E+02  0.37197077E-04  0.41300820E-04  0.58371680E-04
  0.20000000E+02  0.39155157E-04  0.43474922E-04  0.61444406E-04
  0.21000000E+02  0.41113223E-04  0.45649024E-04  0.64517110E-04
  0.22000000E+02  0.43070209E-04  0.47821902E-04  0.67588120E-04
  0.23000000E+02  0.45028290E-04  0.49996004E-04  0.70660847E-04
  0.24000000E+02  0.46986354E-04  0.52170106E-04  0.73733547E-04
  0.25000000E+02  0.48943342E-04  0.54342984E-04  0.76804560E-04
  0.26000000E+02  0.50901423E-04  0.56517086E-04  0.79877287E-04
  0.27000000E+02  0.52859485E-04  0.58691188E-04  0.82949985E-04
  0.28000000E+02  0.54816475E-04  0.60864066E-04  0.86021000E-04
  0.29000000E+02  0.56774555E-04  0.63038168E-04  0.89093726E-04
  0.30000000E+02  0.58732616E-04  0.65212270E-04  0.92166422E-04
  0.31000000E+02  0.60689607E-04  0.67385148E-04  0.95237439E-04
  0.32000000E+02  0.62647688E-04  0.69559250E-04  0.98310166E-04
  0.33000000E+02  0.64605747E-04  0.71733351E-04  0.10138286E-03
