 # t   L1   L2   Linf
  0.87000000E+02  0.62039343E+00  0.68906606E+00  0.97441401E+00
  0.88000000E+02  0.62106375E+00  0.68981281E+00  0.97546862E+00
  0.89000000E+02  0.62170632E+00  0.69052868E+00  0.97647961E+00
  0.90000000E+02  0.62232230E+00  0.69121497E+00  0.97744877E+00
  0.91000000E+02  0.62291278E+00  0.69187288E+00  0.97837784E+00
  0.92000000E+02  0.62347882E+00  0.69250360E+00  0.97926848E+00
  0.93000000E+02  0.62402142E+00  0.69310824E+00  0.98012227E+00
  0.94000000E+02  0.62454156E+00  0.69368789E+00  0.98094073E+00
  0.95000000E+02  0.62504017E+00  0.69424356E+00  0.98172532E+00
  0.96000000E+02  0.62551813E+00  0.69477626E+00  0.98247745E+00
  0.97000000E+02  0.62597630E+00  0.69528693E+00  0.98319845E+00
  0.98000000E+02  0.62641549E+00  0.69577648E+00  0.98388961E+00
  0.99000000E+02  0.62683650E+00  0.69624579E+00  0.98455216E+00
  0.10000000E+03  0.62724007E+00  0.69669568E+00  0.98518729E+00
