 i       X     FEXACT   FI_LAXF   ERR_LAXF
   0   0.00000   0.00000  -0.00118   0.00118
   1   0.00063   0.00393   0.00274   0.00119
   2   0.00125   0.00786   0.00666   0.00120
   3   0.00188   0.01179   0.01058   0.00121
   4   0.00250   0.01572   0.01449   0.00122
   5   0.00313   0.01965   0.01841   0.00123
   6   0.00375   0.02357   0.02233   0.00124
   7   0.00438   0.02750   0.02625   0.00125
   8   0.00500   0.03143   0.03017   0.00126
   9   0.00563   0.03536   0.03408   0.00127
  10   0.00625   0.03928   0.03800   0.00128
  11   0.00688   0.04321   0.04192   0.00129
  12   0.00750   0.04714   0.04583   0.00130
  13   0.00813   0.05106   0.04975   0.00131
  14   0.00876   0.05498   0.05366   0.00132
  15   0.00938   0.05891   0.05757   0.00133
  16   0.01001   0.06283   0.06149   0.00134
  17   0.01063   0.06675   0.06540   0.00135
  18   0.01126   0.07067   0.06931   0.00136
  19   0.01188   0.07459   0.07322   0.00137
  20   0.01251   0.07851   0.07713   0.00138
  21   0.01313   0.08242   0.08103   0.00139
  22   0.01376   0.08634   0.08494   0.00140
  23   0.01438   0.09025   0.08884   0.00141
  24   0.01501   0.09417   0.09275   0.00142
  25   0.01563   0.09808   0.09665   0.00143
  26   0.01626   0.10199   0.10055   0.00144
  27   0.01689   0.10590   0.10445   0.00145
  28   0.01751   0.10980   0.10834   0.00146
  29   0.01814   0.11371   0.11224   0.00147
  30   0.01876   0.11761   0.11613   0.00148
  31   0.01939   0.12151   0.12002   0.00149
  32   0.02001   0.12541   0.12391   0.00150
  33   0.02064   0.12931   0.12780   0.00151
  34   0.02126   0.13320   0.13169   0.00152
  35   0.02189   0.13710   0.13557   0.00153
  36   0.02251   0.14099   0.13945   0.00154
  37   0.02314   0.14488   0.14333   0.00155
  38   0.02376   0.14876   0.14721   0.00156
  39   0.02439   0.15265   0.15108   0.00157
  40   0.02502   0.15653   0.15496   0.00157
  41   0.02564   0.16041   0.15883   0.00158
  42   0.02627   0.16429   0.16270   0.00159
  43   0.02689   0.16816   0.16656   0.00160
  44   0.02752   0.17204   0.17042   0.00161
  45   0.02814   0.17590   0.17428   0.00162
  46   0.02877   0.17977   0.17814   0.00163
  47   0.02939   0.18364   0.18200   0.00164
  48   0.03002   0.18750   0.18585   0.00165
  49   0.03064   0.19136   0.18970   0.00166
  50   0.03127   0.19521   0.19354   0.00167
  51   0.03189   0.19906   0.19739   0.00168
  52   0.03252   0.20291   0.20123   0.00168
  53   0.03315   0.20676   0.20506   0.00169
  54   0.03377   0.21060   0.20890   0.00170
  55   0.03440   0.21444   0.21273   0.00171
  56   0.03502   0.21828   0.21656   0.00172
  57   0.03565   0.22211   0.22038   0.00173
  58   0.03627   0.22594   0.22420   0.00174
  59   0.03690   0.22977   0.22802   0.00175
  60   0.03752   0.23359   0.23183   0.00176
  61   0.03815   0.23741   0.23564   0.00177
  62   0.03877   0.24122   0.23945   0.00177
  63   0.03940   0.24503   0.24325   0.00178
  64   0.04003   0.24884   0.24705   0.00179
  65   0.04065   0.25265   0.25084   0.00180
  66   0.04128   0.25645   0.25464   0.00181
  67   0.04190   0.26024   0.25842   0.00182
  68   0.04253   0.26403   0.26221   0.00183
  69   0.04315   0.26782   0.26599   0.00184
  70   0.04378   0.27161   0.26976   0.00184
  71   0.04440   0.27539   0.27353   0.00185
  72   0.04503   0.27916   0.27730   0.00186
  73   0.04565   0.28293   0.28106   0.00187
  74   0.04628   0.28670   0.28482   0.00188
  75   0.04690   0.29046   0.28857   0.00189
  76   0.04753   0.29422   0.29232   0.00190
  77   0.04816   0.29797   0.29607   0.00190
  78   0.04878   0.30172   0.29981   0.00191
  79   0.04941   0.30546   0.30354   0.00192
  80   0.05003   0.30920   0.30728   0.00193
  81   0.05066   0.31294   0.31100   0.00194
  82   0.05128   0.31667   0.31472   0.00194
  83   0.05191   0.32039   0.31844   0.00195
  84   0.05253   0.32411   0.32215   0.00196
  85   0.05316   0.32783   0.32586   0.00197
  86   0.05378   0.33154   0.32956   0.00198
  87   0.05441   0.33524   0.33326   0.00199
