 # t   L1   L2   Linf
  0.10000000E+01  0.12661736E-01  0.53711495E-01  0.61463494E+00
  0.20000000E+01  0.17480256E-01  0.62238186E-01  0.63271369E+00
  0.30000000E+01  0.21062804E-01  0.67376337E-01  0.63717084E+00
  0.40000000E+01  0.24125240E-01  0.71776031E-01  0.64521096E+00
  0.50000000E+01  0.26794977E-01  0.74964841E-01  0.64678935E+00
  0.60000000E+01  0.29206896E-01  0.78049037E-01  0.65249927E+00
  0.70000000E+01  0.31392499E-01  0.80428878E-01  0.65322038E+00
  0.80000000E+01  0.33508522E-01  0.82961364E-01  0.65786217E+00
  0.90000000E+01  0.35446562E-01  0.84889217E-01  0.65820221E+00
  0.10000000E+02  0.37001644E-01  0.85175535E-01  0.66222218E+00
  0.11000000E+02  0.38493544E-01  0.85297539E-01  0.62905847E+00
  0.12000000E+02  0.40138805E-01  0.86877879E-01  0.63018000E+00
  0.13000000E+02  0.41812041E-01  0.88713817E-01  0.63481626E+00
  0.14000000E+02  0.43319141E-01  0.90110311E-01  0.63557214E+00
  0.15000000E+02  0.44882557E-01  0.91781745E-01  0.63968171E+00
  0.16000000E+02  0.46300219E-01  0.93036251E-01  0.64033671E+00
  0.17000000E+02  0.47789896E-01  0.94604842E-01  0.64433036E+00
  0.18000000E+02  0.49170666E-01  0.96123209E-01  0.64767214E+00
  0.19000000E+02  0.50523262E-01  0.97225531E-01  0.64796418E+00
  0.20000000E+02  0.51876030E-01  0.98661655E-01  0.65127103E+00
  0.21000000E+02  0.53151344E-01  0.99684701E-01  0.65151078E+00
  0.22000000E+02  0.54424095E-01  0.10103405E+00  0.65551179E+00
  0.23000000E+02  0.55644292E-01  0.10203403E+00  0.65609599E+00
  0.24000000E+02  0.56791260E-01  0.10323984E+00  0.65853828E+00
  0.25000000E+02  0.57967272E-01  0.10414941E+00  0.65797714E+00
  0.26000000E+02  0.59079862E-01  0.10529443E+00  0.66076250E+00
  0.27000000E+02  0.60180101E-01  0.10609908E+00  0.66078527E+00
  0.28000000E+02  0.61251051E-01  0.10718661E+00  0.66341413E+00
  0.29000000E+02  0.62051503E-01  0.10675687E+00  0.66572386E+00
  0.30000000E+02  0.63038383E-01  0.10756381E+00  0.66767081E+00
  0.31000000E+02  0.63786349E-01  0.10712211E+00  0.64570555E+00
  0.32000000E+02  0.64758480E-01  0.10795736E+00  0.64733517E+00
  0.33000000E+02  0.65838178E-01  0.10910204E+00  0.65051589E+00
  0.34000000E+02  0.66769046E-01  0.10990777E+00  0.64991403E+00
  0.35000000E+02  0.67813170E-01  0.11098589E+00  0.65066482E+00
