 # t   L1   L2   Linf
  0.10000000E+01  0.45807090E-01  0.91689265E-01  0.50551079E+00
  0.20000000E+01  0.72514299E-01  0.11642207E+00  0.48252359E+00
  0.30000000E+01  0.94805151E-01  0.13565822E+00  0.50158931E+00
  0.40000000E+01  0.11403688E+00  0.15140710E+00  0.48627324E+00
  0.50000000E+01  0.13151362E+00  0.16527483E+00  0.50000170E+00
  0.60000000E+01  0.14711086E+00  0.17726093E+00  0.48991095E+00
  0.70000000E+01  0.16181520E+00  0.18833030E+00  0.50103709E+00
  0.80000000E+01  0.17514794E+00  0.19818546E+00  0.49223282E+00
  0.90000000E+01  0.18797836E+00  0.20748986E+00  0.50183096E+00
  0.10000000E+02  0.19969805E+00  0.21593270E+00  0.51514404E+00
  0.11000000E+02  0.21113609E+00  0.22396675E+00  0.53270744E+00
  0.12000000E+02  0.22164201E+00  0.23143287E+00  0.54846474E+00
  0.13000000E+02  0.23200473E+00  0.23857804E+00  0.56274548E+00
  0.14000000E+02  0.24153389E+00  0.24527396E+00  0.57573712E+00
  0.15000000E+02  0.25103533E+00  0.25176812E+00  0.58763782E+00
  0.16000000E+02  0.25976945E+00  0.25787029E+00  0.59858782E+00
  0.17000000E+02  0.26856253E+00  0.26385538E+00  0.60869661E+00
  0.18000000E+02  0.27663954E+00  0.26950605E+00  0.61806106E+00
  0.19000000E+02  0.28480780E+00  0.27505895E+00  0.62680707E+00
  0.20000000E+02  0.29233861E+00  0.28035700E+00  0.63493520E+00
  0.21000000E+02  0.29997930E+00  0.28555939E+00  0.64259049E+00
  0.22000000E+02  0.30695509E+00  0.29047305E+00  0.64972475E+00
  0.23000000E+02  0.31413387E+00  0.29537515E+00  0.65649696E+00
  0.24000000E+02  0.32062307E+00  0.29995216E+00  0.66293805E+00
  0.25000000E+02  0.32738841E+00  0.30459115E+00  0.66898285E+00
  0.26000000E+02  0.33349601E+00  0.30894897E+00  0.67476836E+00
  0.27000000E+02  0.33988912E+00  0.31335193E+00  0.68020639E+00
  0.28000000E+02  0.34563720E+00  0.31748730E+00  0.68541707E+00
  0.29000000E+02  0.35168066E+00  0.32167047E+00  0.69037119E+00
  0.30000000E+02  0.35710495E+00  0.32558990E+00  0.69505812E+00
  0.31000000E+02  0.36287609E+00  0.32962056E+00  0.69955640E+00
  0.32000000E+02  0.36798042E+00  0.33333614E+00  0.70382938E+00
  0.33000000E+02  0.37345384E+00  0.33717359E+00  0.70793072E+00
  0.34000000E+02  0.37827845E+00  0.34071146E+00  0.71184168E+00
  0.35000000E+02  0.38349363E+00  0.34437972E+00  0.71559404E+00
  0.36000000E+02  0.38805441E+00  0.34775076E+00  0.71918523E+00
  0.37000000E+02  0.39302398E+00  0.35126253E+00  0.72262816E+00
  0.38000000E+02  0.39738847E+00  0.35452279E+00  0.72588752E+00
  0.39000000E+02  0.40211176E+00  0.35786326E+00  0.72910089E+00
  0.40000000E+02  0.40620909E+00  0.36093061E+00  0.73208845E+00
  0.41000000E+02  0.41071664E+00  0.36412479E+00  0.73506901E+00
  0.42000000E+02  0.41455801E+00  0.36700878E+00  0.73796506E+00
  0.43000000E+02  0.41886098E+00  0.37006433E+00  0.74067875E+00
  0.44000000E+02  0.42252893E+00  0.37284158E+00  0.74341283E+00
  0.45000000E+02  0.42660488E+00  0.37572038E+00  0.74596708E+00
  0.46000000E+02  0.43009975E+00  0.37839031E+00  0.74846454E+00
  0.47000000E+02  0.43405184E+00  0.38122024E+00  0.75081807E+00
  0.48000000E+02  0.43737792E+00  0.38377868E+00  0.75315309E+00
  0.49000000E+02  0.44112228E+00  0.38643769E+00  0.75532010E+00
  0.50000000E+02  0.44428223E+00  0.38887895E+00  0.75750726E+00
  0.51000000E+02  0.44787263E+00  0.39142773E+00  0.75950017E+00
  0.52000000E+02  0.45087499E+00  0.39375718E+00  0.76155233E+00
  0.53000000E+02  0.45431671E+00  0.39620191E+00  0.76338213E+00
  0.54000000E+02  0.45718232E+00  0.39843728E+00  0.76527283E+00
  0.55000000E+02  0.46047475E+00  0.40077174E+00  0.76698722E+00
  0.56000000E+02  0.46322895E+00  0.40293099E+00  0.76874836E+00
  0.57000000E+02  0.46638383E+00  0.40516654E+00  0.77033443E+00
  0.58000000E+02  0.46895766E+00  0.40719134E+00  0.77197516E+00
  0.59000000E+02  0.47198231E+00  0.40933282E+00  0.77357850E+00
  0.60000000E+02  0.47438316E+00  0.41122787E+00  0.77506003E+00
  0.61000000E+02  0.47728448E+00  0.41327985E+00  0.77663270E+00
  0.62000000E+02  0.47959916E+00  0.41511039E+00  0.77798855E+00
  0.63000000E+02  0.48233398E+00  0.41701365E+00  0.77951030E+00
  0.64000000E+02  0.48454093E+00  0.41876504E+00  0.78071289E+00
  0.65000000E+02  0.48728992E+00  0.42073658E+00  0.78214005E+00
  0.66000000E+02  0.48938377E+00  0.42240320E+00  0.78324529E+00
  0.67000000E+02  0.49196273E+00  0.42421962E+00  0.78458379E+00
  0.68000000E+02  0.49395277E+00  0.42580985E+00  0.78559700E+00
  0.69000000E+02  0.49643712E+00  0.42755449E+00  0.78685228E+00
  0.70000000E+02  0.49833055E+00  0.42907182E+00  0.78777840E+00
  0.71000000E+02  0.50072389E+00  0.43074906E+00  0.78895543E+00
  0.72000000E+02  0.50253453E+00  0.43220682E+00  0.78975099E+00
  0.73000000E+02  0.50483394E+00  0.43381132E+00  0.79090244E+00
  0.74000000E+02  0.50658977E+00  0.43522557E+00  0.79174674E+00
  0.75000000E+02  0.50880313E+00  0.43676515E+00  0.79270182E+00
