 # t   L1   L2   Linf
  0.10000000E+01  0.30087357E+00  0.29100850E+00  0.61405437E+00
  0.20000000E+01  0.40942480E+00  0.36467287E+00  0.72552802E+00
  0.30000000E+01  0.47986592E+00  0.41346988E+00  0.73798943E+00
  0.40000000E+01  0.51826947E+00  0.44392915E+00  0.78717259E+00
  0.50000000E+01  0.55552258E+00  0.46888952E+00  0.77164263E+00
  0.60000000E+01  0.56702890E+00  0.48023901E+00  0.79446842E+00
  0.70000000E+01  0.58719223E+00  0.49129415E+00  0.77114211E+00
  0.80000000E+01  0.58867345E+00  0.49508722E+00  0.80608262E+00
  0.90000000E+01  0.60626802E+00  0.50353919E+00  0.78076560E+00
  0.10000000E+02  0.60269999E+00  0.50452237E+00  0.79418760E+00
  0.11000000E+02  0.61573679E+00  0.51011120E+00  0.76865109E+00
  0.12000000E+02  0.61229225E+00  0.50956885E+00  0.80300185E+00
  0.13000000E+02  0.62468591E+00  0.51519818E+00  0.77669205E+00
  0.14000000E+02  0.61963491E+00  0.51421400E+00  0.78971085E+00
  0.15000000E+02  0.62951649E+00  0.51869948E+00  0.76368100E+00
  0.16000000E+02  0.62597904E+00  0.51720509E+00  0.79798856E+00
  0.17000000E+02  0.63547626E+00  0.52189700E+00  0.77113141E+00
  0.18000000E+02  0.63081720E+00  0.52033712E+00  0.78546519E+00
  0.19000000E+02  0.63897719E+00  0.52430848E+00  0.75878525E+00
  0.20000000E+02  0.63548180E+00  0.52251413E+00  0.79289097E+00
  0.21000000E+02  0.64327772E+00  0.52664165E+00  0.76543724E+00
  0.22000000E+02  0.63898497E+00  0.52485636E+00  0.78141772E+00
  0.23000000E+02  0.64610133E+00  0.52845495E+00  0.75408033E+00
  0.24000000E+02  0.64261821E+00  0.52655683E+00  0.78792772E+00
  0.25000000E+02  0.64948407E+00  0.53027084E+00  0.75993579E+00
  0.26000000E+02  0.64528355E+00  0.52839561E+00  0.77753075E+00
  0.27000000E+02  0.65175173E+00  0.53169921E+00  0.74963563E+00
  0.28000000E+02  0.64821252E+00  0.52977690E+00  0.78322007E+00
  0.29000000E+02  0.65450165E+00  0.53317213E+00  0.75478879E+00
  0.30000000E+02  0.65031515E+00  0.53127013E+00  0.77384941E+00
  0.31000000E+02  0.65644615E+00  0.53433656E+00  0.74550945E+00
  0.32000000E+02  0.65273717E+00  0.53242554E+00  0.77884319E+00
  0.33000000E+02  0.65867663E+00  0.53556949E+00  0.75006510E+00
  0.34000000E+02  0.65448002E+00  0.53367169E+00  0.77041320E+00
  0.35000000E+02  0.66043437E+00  0.53654571E+00  0.74172370E+00
  0.36000000E+02  0.65648868E+00  0.53466166E+00  0.77482610E+00
  0.37000000E+02  0.66228108E+00  0.53760410E+00  0.74577541E+00
  0.38000000E+02  0.65801378E+00  0.53572558E+00  0.76723763E+00
  0.39000000E+02  0.66384372E+00  0.53844184E+00  0.74044641E+00
  0.40000000E+02  0.65966266E+00  0.53659101E+00  0.77116652E+00
  0.41000000E+02  0.66543033E+00  0.53936914E+00  0.74425695E+00
  0.42000000E+02  0.66104127E+00  0.53751682E+00  0.76431966E+00
  0.43000000E+02  0.66680369E+00  0.54010205E+00  0.74120438E+00
  0.44000000E+02  0.66239719E+00  0.53828602E+00  0.76784489E+00
  0.45000000E+02  0.66818336E+00  0.54092792E+00  0.74432081E+00
  0.46000000E+02  0.66367201E+00  0.53910438E+00  0.76164568E+00
  0.47000000E+02  0.66148578E+00  0.53404717E+00  0.75019059E+00
  0.48000000E+02  0.66602886E+00  0.54000758E+00  0.75203061E+00
  0.49000000E+02  0.66263153E+00  0.53474703E+00  0.75318806E+00
  0.50000000E+02  0.66739053E+00  0.54077311E+00  0.74640976E+00
  0.51000000E+02  0.66359301E+00  0.53521364E+00  0.74763412E+00
  0.52000000E+02  0.66844374E+00  0.54137681E+00  0.74934066E+00
  0.53000000E+02  0.66460390E+00  0.53585579E+00  0.75037597E+00
  0.54000000E+02  0.66965140E+00  0.54207120E+00  0.74420465E+00
  0.55000000E+02  0.66547454E+00  0.53627649E+00  0.74530107E+00
  0.56000000E+02  0.67061351E+00  0.54262410E+00  0.74689731E+00
  0.57000000E+02  0.66637243E+00  0.53687056E+00  0.74782851E+00
  0.58000000E+02  0.67169065E+00  0.54325863E+00  0.74280021E+00
  0.59000000E+02  0.66716563E+00  0.53725273E+00  0.74316815E+00
  0.60000000E+02  0.67257297E+00  0.54376780E+00  0.74467475E+00
  0.61000000E+02  0.66796747E+00  0.53780562E+00  0.74551582E+00
  0.62000000E+02  0.67353811E+00  0.54435088E+00  0.74241907E+00
  0.63000000E+02  0.66869352E+00  0.53815459E+00  0.74121474E+00
  0.64000000E+02  0.67434955E+00  0.54482157E+00  0.74264966E+00
  0.65000000E+02  0.66941266E+00  0.53867132E+00  0.74341164E+00
  0.66000000E+02  0.67521758E+00  0.54535955E+00  0.74202829E+00
  0.67000000E+02  0.67007962E+00  0.53899102E+00  0.73968573E+00
  0.68000000E+02  0.67596538E+00  0.54579571E+00  0.74080126E+00
  0.69000000E+02  0.67072680E+00  0.53947534E+00  0.74149313E+00
  0.70000000E+02  0.67674843E+00  0.54629354E+00  0.74164428E+00
  0.71000000E+02  0.67134116E+00  0.53976873E+00  0.73933637E+00
  0.72000000E+02  0.67743861E+00  0.54669824E+00  0.74009524E+00
  0.73000000E+02  0.67192514E+00  0.54022354E+00  0.74047731E+00
  0.74000000E+02  0.67814672E+00  0.54715986E+00  0.74127703E+00
  0.75000000E+02  0.67249220E+00  0.54049293E+00  0.73899108E+00
  0.76000000E+02  0.67878437E+00  0.54753560E+00  0.73984318E+00
  0.77000000E+02  0.67302025E+00  0.54092053E+00  0.74003506E+00
  0.78000000E+02  0.67942600E+00  0.54796423E+00  0.74093224E+00
  0.79000000E+02  0.67354447E+00  0.54116780E+00  0.73865841E+00
  0.80000000E+02  0.68001554E+00  0.54831308E+00  0.73959910E+00
  0.81000000E+02  0.67402272E+00  0.54157012E+00  0.73962424E+00
  0.82000000E+02  0.68059784E+00  0.54871141E+00  0.74061276E+00
  0.83000000E+02  0.67450790E+00  0.54179684E+00  0.73834350E+00
  0.84000000E+02  0.68114316E+00  0.54903518E+00  0.73936770E+00
  0.85000000E+02  0.67494156E+00  0.54217550E+00  0.73924587E+00
  0.86000000E+02  0.68167230E+00  0.54940555E+00  0.74031953E+00
  0.87000000E+02  0.67539100E+00  0.54238306E+00  0.73804919E+00
  0.88000000E+02  0.68217686E+00  0.54970584E+00  0.73915165E+00
  0.89000000E+02  0.67578459E+00  0.54273951E+00  0.73889960E+00
  0.90000000E+02  0.68265818E+00  0.55005031E+00  0.74005230E+00
