 # t   L1   L2   Linf
  0.10000000E+01  0.13250359E+00  0.16580917E+00  0.44465732E+00
  0.20000000E+01  0.20007579E+00  0.21615345E+00  0.51420553E+00
  0.30000000E+01  0.25206656E+00  0.25215862E+00  0.58692051E+00
  0.40000000E+01  0.29252034E+00  0.28054819E+00  0.63556881E+00
  0.50000000E+01  0.32861931E+00  0.30535858E+00  0.66965203E+00
  0.60000000E+01  0.35741506E+00  0.32600446E+00  0.69494936E+00
  0.70000000E+01  0.38537110E+00  0.34569091E+00  0.71335725E+00
  0.80000000E+01  0.40675952E+00  0.36143499E+00  0.72886633E+00
  0.90000000E+01  0.42801164E+00  0.37643916E+00  0.74377993E+00
  0.10000000E+02  0.44435122E+00  0.38879315E+00  0.75677934E+00
  0.11000000E+02  0.46166336E+00  0.40120214E+00  0.76639653E+00
  0.12000000E+02  0.47472314E+00  0.41132952E+00  0.77377461E+00
  0.13000000E+02  0.48940999E+00  0.42167467E+00  0.77827723E+00
  0.14000000E+02  0.49891992E+00  0.42935164E+00  0.78409401E+00
  0.15000000E+02  0.51011585E+00  0.43720499E+00  0.79039383E+00
  0.16000000E+02  0.51732062E+00  0.44308387E+00  0.79620249E+00
  0.17000000E+02  0.52739459E+00  0.45017060E+00  0.79978815E+00
  0.18000000E+02  0.53361679E+00  0.45520065E+00  0.80215173E+00
  0.19000000E+02  0.54233638E+00  0.46095130E+00  0.80232621E+00
  0.20000000E+02  0.54662739E+00  0.46464162E+00  0.80260809E+00
  0.21000000E+02  0.55262189E+00  0.46837532E+00  0.80653178E+00
  0.22000000E+02  0.55676130E+00  0.47212779E+00  0.80839648E+00
  0.23000000E+02  0.56269353E+00  0.47583024E+00  0.80938999E+00
  0.24000000E+02  0.56568468E+00  0.47842827E+00  0.80858352E+00
  0.25000000E+02  0.57136141E+00  0.48189812E+00  0.80778931E+00
  0.26000000E+02  0.57309983E+00  0.48362735E+00  0.81078655E+00
  0.27000000E+02  0.57667191E+00  0.48558049E+00  0.81343818E+00
  0.28000000E+02  0.57916170E+00  0.48800938E+00  0.81425160E+00
  0.29000000E+02  0.58334505E+00  0.49034866E+00  0.81431150E+00
  0.30000000E+02  0.58476180E+00  0.49170952E+00  0.81271011E+00
  0.31000000E+02  0.58893350E+00  0.49407768E+00  0.81127041E+00
  0.32000000E+02  0.58931413E+00  0.49484808E+00  0.80919371E+00
  0.33000000E+02  0.59169237E+00  0.49580201E+00  0.81118143E+00
  0.34000000E+02  0.59322829E+00  0.49749533E+00  0.81146143E+00
  0.35000000E+02  0.59650876E+00  0.49917950E+00  0.81102671E+00
  0.36000000E+02  0.59708131E+00  0.49988158E+00  0.80900219E+00
  0.37000000E+02  0.60049628E+00  0.50171132E+00  0.80723336E+00
  0.38000000E+02  0.60005406E+00  0.50196812E+00  0.81039402E+00
  0.39000000E+02  0.60184871E+00  0.50241792E+00  0.81220292E+00
  0.40000000E+02  0.60300426E+00  0.50385588E+00  0.81234302E+00
  0.41000000E+02  0.60571521E+00  0.50516932E+00  0.81179335E+00
  0.42000000E+02  0.60586754E+00  0.50553721E+00  0.80968025E+00
  0.43000000E+02  0.60881877E+00  0.50704905E+00  0.80784455E+00
  0.44000000E+02  0.60801574E+00  0.50704495E+00  0.80537676E+00
  0.45000000E+02  0.60937227E+00  0.50714919E+00  0.80708473E+00
  0.46000000E+02  0.61027259E+00  0.50839397E+00  0.80715651E+00
  0.47000000E+02  0.61267348E+00  0.50951937E+00  0.80654514E+00
  0.48000000E+02  0.61253168E+00  0.50967146E+00  0.80438728E+00
  0.49000000E+02  0.61519508E+00  0.51101715E+00  0.80252842E+00
  0.50000000E+02  0.61426319E+00  0.51084347E+00  0.80573480E+00
  0.51000000E+02  0.61522611E+00  0.51074750E+00  0.80745339E+00
  0.52000000E+02  0.61610723E+00  0.51197231E+00  0.80753162E+00
  0.53000000E+02  0.61830655E+00  0.51295875E+00  0.80694145E+00
  0.54000000E+02  0.61797120E+00  0.51299874E+00  0.80480907E+00
  0.55000000E+02  0.62042241E+00  0.51421509E+00  0.80296716E+00
  0.56000000E+02  0.61946492E+00  0.51395420E+00  0.80047902E+00
  0.57000000E+02  0.62009435E+00  0.51368653E+00  0.80221851E+00
  0.58000000E+02  0.62089011E+00  0.51485475E+00  0.80232101E+00
  0.59000000E+02  0.62294551E+00  0.51576521E+00  0.80176137E+00
  0.60000000E+02  0.62251206E+00  0.51571064E+00  0.79966378E+00
  0.61000000E+02  0.62486621E+00  0.51685422E+00  0.79785633E+00
  0.62000000E+02  0.62380127E+00  0.51651929E+00  0.80085300E+00
  0.63000000E+02  0.62419234E+00  0.51613727E+00  0.80262651E+00
  0.64000000E+02  0.62507290E+00  0.51733889E+00  0.80274878E+00
  0.65000000E+02  0.62698676E+00  0.51817364E+00  0.80222369E+00
  0.66000000E+02  0.62652912E+00  0.51807280E+00  0.80016071E+00
  0.67000000E+02  0.62871985E+00  0.51914154E+00  0.79837273E+00
  0.68000000E+02  0.62763954E+00  0.51877182E+00  0.79592447E+00
  0.69000000E+02  0.62780440E+00  0.51827732E+00  0.79774483E+00
  0.70000000E+02  0.62865639E+00  0.51946398E+00  0.79790775E+00
  0.71000000E+02  0.63047750E+00  0.52025448E+00  0.79743182E+00
  0.72000000E+02  0.63000204E+00  0.52010221E+00  0.79541904E+00
  0.73000000E+02  0.63210740E+00  0.52112689E+00  0.79367372E+00
  0.74000000E+02  0.63099530E+00  0.52071762E+00  0.79633581E+00
  0.75000000E+02  0.63096284E+00  0.52014079E+00  0.79818701E+00
  0.76000000E+02  0.63191224E+00  0.52137228E+00  0.79836513E+00
  0.77000000E+02  0.63363134E+00  0.52210986E+00  0.79791894E+00
  0.78000000E+02  0.63315101E+00  0.52193673E+00  0.79593527E+00
  0.79000000E+02  0.63515235E+00  0.52290758E+00  0.79420351E+00
  0.80000000E+02  0.63404245E+00  0.52248411E+00  0.79180130E+00
  0.81000000E+02  0.63539396E+00  0.52317360E+00  0.79278251E+00
  0.82000000E+02  0.63316078E+00  0.52150954E+00  0.79392285E+00
  0.83000000E+02  0.63642488E+00  0.52375997E+00  0.79352761E+00
  0.84000000E+02  0.63582392E+00  0.52351801E+00  0.79260119E+00
  0.85000000E+02  0.63789651E+00  0.52449369E+00  0.78990445E+00
  0.86000000E+02  0.63678186E+00  0.52404713E+00  0.79219881E+00
  0.87000000E+02  0.63805094E+00  0.52471038E+00  0.79319139E+00
  0.88000000E+02  0.63575419E+00  0.52299792E+00  0.79435663E+00
  0.89000000E+02  0.63899890E+00  0.52526070E+00  0.79398563E+00
  0.90000000E+02  0.63839258E+00  0.52501014E+00  0.79306911E+00
  0.91000000E+02  0.64041815E+00  0.52594320E+00  0.79039541E+00
  0.92000000E+02  0.63929024E+00  0.52549273E+00  0.78803875E+00
  0.93000000E+02  0.64047738E+00  0.52611680E+00  0.78907053E+00
  0.94000000E+02  0.63809423E+00  0.52435696E+00  0.79028435E+00
  0.95000000E+02  0.64131056E+00  0.52661778E+00  0.78996167E+00
  0.96000000E+02  0.64071061E+00  0.52635109E+00  0.78908352E+00
  0.97000000E+02  0.64269895E+00  0.52725525E+00  0.78645752E+00
  0.98000000E+02  0.64157880E+00  0.52679121E+00  0.78839565E+00
  0.99000000E+02  0.64271540E+00  0.52739364E+00  0.78943603E+00
  0.10000000E+03  0.64026997E+00  0.52559741E+00  0.79067045E+00
  0.10100000E+03  0.64347109E+00  0.52786884E+00  0.79036776E+00
  0.10200000E+03  0.64286693E+00  0.52760014E+00  0.78949700E+00
  0.10300000E+03  0.64481363E+00  0.52846936E+00  0.78688996E+00
  0.10400000E+03  0.64369673E+00  0.52800733E+00  0.78457826E+00
  0.10500000E+03  0.64476343E+00  0.52857643E+00  0.78565467E+00
  0.10600000E+03  0.64225575E+00  0.52674508E+00  0.78693388E+00
  0.10700000E+03  0.64543139E+00  0.52901396E+00  0.78667557E+00
  0.10800000E+03  0.64483571E+00  0.52873661E+00  0.78583975E+00
  0.10900000E+03  0.64674898E+00  0.52958137E+00  0.78327627E+00
  0.11000000E+03  0.64565005E+00  0.52911190E+00  0.78488767E+00
  0.11100000E+03  0.64667388E+00  0.52966234E+00  0.78597096E+00
  0.11200000E+03  0.64412573E+00  0.52780251E+00  0.78726747E+00
  0.11300000E+03  0.64728151E+00  0.53008022E+00  0.78702593E+00
  0.11400000E+03  0.64668161E+00  0.52980480E+00  0.78619601E+00
  0.11500000E+03  0.64855709E+00  0.53062024E+00  0.78364844E+00
  0.11600000E+03  0.64747194E+00  0.53015645E+00  0.78138105E+00
  0.11700000E+03  0.64843475E+00  0.53067788E+00  0.78249701E+00
  0.11800000E+03  0.64584754E+00  0.52879136E+00  0.78383411E+00
  0.11900000E+03  0.64897350E+00  0.53106561E+00  0.78363273E+00
  0.12000000E+03  0.64838278E+00  0.53078661E+00  0.78283433E+00
  0.12100000E+03  0.65022767E+00  0.53158087E+00  0.78032607E+00
  0.12200000E+03  0.64916658E+00  0.53111377E+00  0.78164539E+00
  0.12300000E+03  0.65009215E+00  0.53161875E+00  0.78276711E+00
  0.12400000E+03  0.64750755E+00  0.52970923E+00  0.78411892E+00
  0.12500000E+03  0.65058243E+00  0.53199077E+00  0.78393181E+00
  0.12600000E+03  0.64998720E+00  0.53171613E+00  0.78313837E+00
  0.12700000E+03  0.65179736E+00  0.53248540E+00  0.78064366E+00
  0.12800000E+03  0.65075685E+00  0.53202627E+00  0.77841941E+00
  0.12900000E+03  0.65162831E+00  0.53250564E+00  0.77957053E+00
  0.13000000E+03  0.64901663E+00  0.53057546E+00  0.78095882E+00
  0.13100000E+03  0.65206338E+00  0.53285266E+00  0.78080776E+00
  0.13200000E+03  0.65147738E+00  0.53257794E+00  0.78004263E+00
  0.13300000E+03  0.65327070E+00  0.53332860E+00  0.77758317E+00
  0.13400000E+03  0.65224637E+00  0.53286900E+00  0.77864452E+00
  0.13500000E+03  0.65308491E+00  0.53333365E+00  0.77980061E+00
  0.13600000E+03  0.65048006E+00  0.53138438E+00  0.78120154E+00
  0.13700000E+03  0.65348002E+00  0.53366764E+00  0.78106276E+00
  0.13800000E+03  0.65290411E+00  0.53339873E+00  0.78030195E+00
  0.13900000E+03  0.65465384E+00  0.53412786E+00  0.77785419E+00
  0.14000000E+03  0.65365096E+00  0.53367763E+00  0.77567124E+00
  0.14100000E+03  0.65444095E+00  0.53411943E+00  0.77685368E+00
  0.14200000E+03  0.65181795E+00  0.53215396E+00  0.77828727E+00
  0.14300000E+03  0.65479109E+00  0.53443213E+00  0.77818075E+00
  0.14400000E+03  0.65422726E+00  0.53416557E+00  0.77744532E+00
  0.14500000E+03  0.65597237E+00  0.53487817E+00  0.77502908E+00
  0.14600000E+03  0.65497423E+00  0.53442939E+00  0.77586373E+00
  0.14700000E+03  0.65573477E+00  0.53485791E+00  0.77705057E+00
  0.14800000E+03  0.65312107E+00  0.53287621E+00  0.77849514E+00
  0.14900000E+03  0.65605120E+00  0.53515947E+00  0.77839932E+00
  0.15000000E+03  0.65550183E+00  0.53489955E+00  0.77766774E+00
  0.15100000E+03  0.65720363E+00  0.53559341E+00  0.77526171E+00
  0.15200000E+03  0.65622698E+00  0.53515481E+00  0.77311759E+00
  0.15300000E+03  0.65694358E+00  0.53556278E+00  0.77432805E+00
  0.15400000E+03  0.65431845E+00  0.53356823E+00  0.77580181E+00
  0.15500000E+03  0.65722288E+00  0.53584580E+00  0.77573482E+00
  0.15600000E+03  0.65668686E+00  0.53558990E+00  0.77502598E+00
  0.15700000E+03  0.65838376E+00  0.53626894E+00  0.77264814E+00
  0.15800000E+03  0.65741303E+00  0.53583309E+00  0.77328384E+00
  0.15900000E+03  0.65617482E+00  0.53453735E+00  0.77553328E+00
  0.16000000E+03  0.65750279E+00  0.53610226E+00  0.77598167E+00
  0.16100000E+03  0.65837726E+00  0.53650142E+00  0.77592409E+00
  0.16200000E+03  0.65797448E+00  0.53628736E+00  0.77432367E+00
  0.16300000E+03  0.65948909E+00  0.53691599E+00  0.77284993E+00
  0.16400000E+03  0.65853951E+00  0.53649072E+00  0.77074174E+00
  0.16500000E+03  0.65723801E+00  0.53516086E+00  0.77301757E+00
  0.16600000E+03  0.65859318E+00  0.53673839E+00  0.77348683E+00
  0.16700000E+03  0.65943570E+00  0.53712401E+00  0.77345507E+00
  0.16800000E+03  0.65906924E+00  0.53691303E+00  0.77188016E+00
  0.16900000E+03  0.66055340E+00  0.53753032E+00  0.77042653E+00
  0.17000000E+03  0.65961052E+00  0.53710867E+00  0.77088751E+00
  0.17100000E+03  0.65827820E+00  0.53574791E+00  0.77317205E+00
  0.17200000E+03  0.65967351E+00  0.53735153E+00  0.77364479E+00
  0.17300000E+03  0.66048504E+00  0.53772226E+00  0.77362139E+00
  0.17400000E+03  0.66012486E+00  0.53752123E+00  0.77205465E+00
  0.17500000E+03  0.66155268E+00  0.53812113E+00  0.77060416E+00
  0.17600000E+03  0.66063042E+00  0.53771018E+00  0.76852870E+00
  0.17700000E+03  0.65924002E+00  0.53631822E+00  0.77083689E+00
  0.17800000E+03  0.66066293E+00  0.53793383E+00  0.77132837E+00
  0.17900000E+03  0.66144468E+00  0.53829206E+00  0.77132811E+00
  0.18000000E+03  0.66112007E+00  0.53809492E+00  0.76978425E+00
  0.18100000E+03  0.66251881E+00  0.53868461E+00  0.76835182E+00
  0.18200000E+03  0.66160363E+00  0.53827780E+00  0.76865903E+00
  0.18300000E+03  0.66018510E+00  0.53685723E+00  0.77097502E+00
  0.18400000E+03  0.66164531E+00  0.53849680E+00  0.77146974E+00
  0.18500000E+03  0.66239903E+00  0.53884172E+00  0.77147700E+00
  0.18600000E+03  0.66208175E+00  0.53865453E+00  0.76994050E+00
  0.18700000E+03  0.66344243E+00  0.53922832E+00  0.76851103E+00
  0.18800000E+03  0.66253240E+00  0.53883212E+00  0.76646502E+00
  0.18900000E+03  0.66106033E+00  0.53738291E+00  0.76880226E+00
  0.19000000E+03  0.66254813E+00  0.53903379E+00  0.76931383E+00
  0.19100000E+03  0.66328145E+00  0.53936712E+00  0.76934189E+00
  0.19200000E+03  0.66299127E+00  0.53918431E+00  0.76782597E+00
  0.19300000E+03  0.66433136E+00  0.53974886E+00  0.76641277E+00
  0.19400000E+03  0.66342145E+00  0.53935708E+00  0.76658428E+00
  0.19500000E+03  0.66192361E+00  0.53788131E+00  0.76892857E+00
  0.19600000E+03  0.66344597E+00  0.53955421E+00  0.76944320E+00
  0.19700000E+03  0.66416427E+00  0.53987559E+00  0.76947809E+00
  0.19800000E+03  0.66387165E+00  0.53970255E+00  0.76796885E+00
  0.19900000E+03  0.66517998E+00  0.54025250E+00  0.76655847E+00
  0.20000000E+03  0.66427140E+00  0.53987109E+00  0.76453862E+00
  0.20100000E+03  0.66272401E+00  0.53836896E+00  0.76690206E+00
  0.20200000E+03  0.66427366E+00  0.54005247E+00  0.76743188E+00
  0.20300000E+03  0.66498654E+00  0.54036305E+00  0.76748553E+00
  0.20400000E+03  0.66470658E+00  0.54019467E+00  0.76599486E+00
  0.20500000E+03  0.66599594E+00  0.54073621E+00  0.76459916E+00
  0.20600000E+03  0.66508723E+00  0.54035933E+00  0.76465056E+00
  0.20700000E+03  0.66351615E+00  0.53883248E+00  0.76702043E+00
  0.20800000E+03  0.66509778E+00  0.54053627E+00  0.76755315E+00
  0.20900000E+03  0.66579818E+00  0.54083606E+00  0.76761304E+00
  0.21000000E+03  0.66551584E+00  0.54067717E+00  0.76612849E+00
  0.21100000E+03  0.66677574E+00  0.54120521E+00  0.76473550E+00
  0.21200000E+03  0.66586828E+00  0.54083839E+00  0.76273866E+00
  0.21300000E+03  0.66425119E+00  0.53928720E+00  0.76512585E+00
  0.21400000E+03  0.66585962E+00  0.54100092E+00  0.76567230E+00
  0.21500000E+03  0.66655508E+00  0.54129061E+00  0.76574916E+00
  0.21600000E+03  0.66628519E+00  0.54113648E+00  0.76428143E+00
  0.21700000E+03  0.66752757E+00  0.54165686E+00  0.76290172E+00
  0.21800000E+03  0.66661977E+00  0.54129455E+00  0.76284643E+00
  0.21900000E+03  0.66498086E+00  0.53972031E+00  0.76523953E+00
  0.22000000E+03  0.66661884E+00  0.54145273E+00  0.76578876E+00
  0.22100000E+03  0.66730392E+00  0.54173263E+00  0.76587137E+00
  0.22200000E+03  0.66704225E+00  0.54158765E+00  0.76440928E+00
  0.22300000E+03  0.66824664E+00  0.54209549E+00  0.76303219E+00
  0.22400000E+03  0.66734003E+00  0.54174286E+00  0.76105539E+00
  0.22500000E+03  0.66565829E+00  0.54014611E+00  0.76346419E+00
  0.22600000E+03  0.66732242E+00  0.54188779E+00  0.76402586E+00
  0.22700000E+03  0.66800291E+00  0.54215822E+00  0.76412389E+00
  0.22800000E+03  0.66775470E+00  0.54201799E+00  0.76267707E+00
  0.22900000E+03  0.66894161E+00  0.54251881E+00  0.76131203E+00
  0.23000000E+03  0.66803449E+00  0.54217058E+00  0.76116167E+00
  0.23100000E+03  0.66633263E+00  0.54055230E+00  0.76357593E+00
  0.23200000E+03  0.66802965E+00  0.54231126E+00  0.76414026E+00
  0.23300000E+03  0.66869586E+00  0.54257278E+00  0.76424362E+00
  0.23400000E+03  0.66846456E+00  0.54244129E+00  0.76280204E+00
  0.23500000E+03  0.66960663E+00  0.54293044E+00  0.76143952E+00
  0.23600000E+03  0.66871355E+00  0.54259149E+00  0.75948004E+00
  0.23700000E+03  0.66695882E+00  0.54095235E+00  0.76190860E+00
  0.23800000E+03  0.66869886E+00  0.54271992E+00  0.76248424E+00
  0.23900000E+03  0.66934313E+00  0.54297252E+00  0.76260164E+00
  0.24000000E+03  0.66912475E+00  0.54284570E+00  0.76117397E+00
  0.24100000E+03  0.67025079E+00  0.54332840E+00  0.75982242E+00
  0.24200000E+03  0.66937381E+00  0.54299368E+00  0.75958702E+00
  0.24300000E+03  0.66758376E+00  0.54133440E+00  0.76202066E+00
  0.24400000E+03  0.66935950E+00  0.54311796E+00  0.76259887E+00
  0.24500000E+03  0.66998600E+00  0.54336242E+00  0.76272121E+00
  0.24600000E+03  0.66978330E+00  0.54324393E+00  0.76129843E+00
  0.24700000E+03  0.67086736E+00  0.54371572E+00  0.75994932E+00
  0.24800000E+03  0.67000289E+00  0.54338985E+00  0.75800467E+00
  0.24900000E+03  0.66816405E+00  0.54171121E+00  0.76045136E+00
  0.25000000E+03  0.66998098E+00  0.54350278E+00  0.76103988E+00
  0.25100000E+03  0.67058675E+00  0.54373882E+00  0.76117506E+00
  0.25200000E+03  0.67039642E+00  0.54362484E+00  0.75976500E+00
  0.25300000E+03  0.67146578E+00  0.54409071E+00  0.75842590E+00
  0.25400000E+03  0.67062055E+00  0.54376887E+00  0.75811419E+00
  0.25500000E+03  0.66875261E+00  0.54207137E+00  0.76056561E+00
  0.25600000E+03  0.67059497E+00  0.54387773E+00  0.76115660E+00
  0.25700000E+03  0.67118442E+00  0.54410633E+00  0.76129640E+00
  0.25800000E+03  0.67100865E+00  0.54400025E+00  0.75989091E+00
  0.25900000E+03  0.67203863E+00  0.54445589E+00  0.75855417E+00
  0.26000000E+03  0.67120529E+00  0.54414247E+00  0.75662213E+00
  0.26100000E+03  0.66930716E+00  0.54242698E+00  0.75908551E+00
  0.26200000E+03  0.67117322E+00  0.54424078E+00  0.75968593E+00
  0.26300000E+03  0.67174306E+00  0.54446142E+00  0.75983749E+00
  0.26400000E+03  0.67157913E+00  0.54435966E+00  0.75844366E+00
  0.26500000E+03  0.67259563E+00  0.54480983E+00  0.75711608E+00
  0.26600000E+03  0.67178051E+00  0.54450021E+00  0.75673564E+00
  0.26700000E+03  0.66985752E+00  0.54276704E+00  0.75920345E+00
  0.26800000E+03  0.67174487E+00  0.54459457E+00  0.75980624E+00
  0.26900000E+03  0.67229971E+00  0.54480838E+00  0.75996214E+00
  0.27000000E+03  0.67214930E+00  0.54471411E+00  0.75857258E+00
  0.27100000E+03  0.67313727E+00  0.54515466E+00  0.75724728E+00
  0.27200000E+03  0.67232494E+00  0.54485304E+00  0.75532591E+00
  0.27300000E+03  0.67037674E+00  0.54310313E+00  0.75780470E+00
  0.27400000E+03  0.67228375E+00  0.54493755E+00  0.75841613E+00
  0.27500000E+03  0.67282002E+00  0.54514382E+00  0.75858284E+00
  0.27600000E+03  0.67268092E+00  0.54505365E+00  0.75720400E+00
  0.27700000E+03  0.67365688E+00  0.54548918E+00  0.75588711E+00
  0.27800000E+03  0.67286146E+00  0.54519110E+00  0.75544458E+00
  0.27900000E+03  0.67089171E+00  0.54342462E+00  0.75792752E+00
  0.28000000E+03  0.67281677E+00  0.54527179E+00  0.75854123E+00
  0.28100000E+03  0.67333925E+00  0.54547178E+00  0.75871200E+00
  0.28200000E+03  0.67321271E+00  0.54538868E+00  0.75733719E+00
  0.28300000E+03  0.67416888E+00  0.54581514E+00  0.75602248E+00
  0.28400000E+03  0.67336905E+00  0.54552466E+00  0.75411007E+00
  0.28500000E+03  0.67138098E+00  0.54374258E+00  0.75660313E+00
  0.28600000E+03  0.67331963E+00  0.54559613E+00  0.75722478E+00
  0.28700000E+03  0.67382452E+00  0.54578897E+00  0.75740553E+00
  0.28800000E+03  0.67370876E+00  0.54570975E+00  0.75604059E+00
  0.28900000E+03  0.67465378E+00  0.54613157E+00  0.75473363E+00
  0.29000000E+03  0.67387012E+00  0.54584438E+00  0.75423480E+00
  0.29100000E+03  0.67186398E+00  0.54404674E+00  0.75673175E+00
  0.29200000E+03  0.67381726E+00  0.54591216E+00  0.75735559E+00
  0.29300000E+03  0.67430946E+00  0.54609922E+00  0.75754015E+00
  0.29400000E+03  0.67420539E+00  0.54602667E+00  0.75617899E+00
  0.29500000E+03  0.67513179E+00  0.54643993E+00  0.75487412E+00
  0.29600000E+03  0.67434392E+00  0.54615994E+00  0.75296920E+00
  0.29700000E+03  0.67233256E+00  0.54434777E+00  0.75547550E+00
  0.29800000E+03  0.67428701E+00  0.54621908E+00  0.75610666E+00
  0.29900000E+03  0.67476253E+00  0.54639936E+00  0.75630043E+00
  0.30000000E+03  0.67466873E+00  0.54633045E+00  0.75494841E+00
  0.30100000E+03  0.67558480E+00  0.54673943E+00  0.75365068E+00
  0.30200000E+03  0.67481303E+00  0.54646249E+00  0.75310065E+00
  0.30300000E+03  0.67278780E+00  0.54463570E+00  0.75561061E+00
  0.30400000E+03  0.67475209E+00  0.54651807E+00  0.75624386E+00
  0.30500000E+03  0.67521595E+00  0.54669301E+00  0.75644121E+00
  0.30600000E+03  0.67513301E+00  0.54663039E+00  0.75509274E+00
  0.30700000E+03  0.67603155E+00  0.54703128E+00  0.75379703E+00
  0.30800000E+03  0.67526793E+00  0.54676115E+00  0.75189832E+00
  0.30900000E+03  0.67322596E+00  0.54492082E+00  0.75441694E+00
  0.31000000E+03  0.67519131E+00  0.54680863E+00  0.75505695E+00
  0.31100000E+03  0.67563934E+00  0.54697712E+00  0.75526284E+00
  0.31200000E+03  0.67556618E+00  0.54691791E+00  0.75392283E+00
  0.31300000E+03  0.67645515E+00  0.54731486E+00  0.75263372E+00
  0.31400000E+03  0.67571491E+00  0.54704753E+00  0.75203697E+00
  0.31500000E+03  0.67365189E+00  0.54519346E+00  0.75455902E+00
  0.31600000E+03  0.67562637E+00  0.54709158E+00  0.75520103E+00
  0.31700000E+03  0.67606366E+00  0.54725515E+00  0.75541029E+00
  0.31800000E+03  0.67600061E+00  0.54720187E+00  0.75407362E+00
  0.31900000E+03  0.67687305E+00  0.54759115E+00  0.75278643E+00
  0.32000000E+03  0.67614030E+00  0.54733028E+00  0.75089288E+00
  0.32100000E+03  0.67406192E+00  0.54546357E+00  0.75342296E+00
  0.32200000E+03  0.67603735E+00  0.54736671E+00  0.75407123E+00
  0.32300000E+03  0.67645963E+00  0.54752416E+00  0.75428841E+00
  0.32400000E+03  0.67640587E+00  0.54747405E+00  0.75295960E+00
  0.32500000E+03  0.67726945E+00  0.54785970E+00  0.75167853E+00
  0.32600000E+03  0.67655905E+00  0.54760139E+00  0.75103903E+00
  0.32700000E+03  0.67446072E+00  0.54572176E+00  0.75357233E+00
  0.32800000E+03  0.67644774E+00  0.54763453E+00  0.75422251E+00
  0.32900000E+03  0.67685701E+00  0.54778744E+00  0.75444285E+00
  0.33000000E+03  0.67681267E+00  0.54774291E+00  0.75311718E+00
  0.33100000E+03  0.67766066E+00  0.54812129E+00  0.75183794E+00
  0.33200000E+03  0.67695709E+00  0.54786910E+00  0.74994865E+00
  0.33300000E+03  0.67484466E+00  0.54597767E+00  0.75248942E+00
  0.33400000E+03  0.67684231E+00  0.54789508E+00  0.75314541E+00
  0.33500000E+03  0.67722756E+00  0.54804215E+00  0.75337312E+00
  0.33600000E+03  0.67719204E+00  0.54800057E+00  0.75205476E+00
  0.33700000E+03  0.67803182E+00  0.54837561E+00  0.75078120E+00
  0.33800000E+03  0.67734962E+00  0.54812575E+00  0.75010246E+00
  0.33900000E+03  0.67521828E+00  0.54622218E+00  0.75264626E+00
  0.34000000E+03  0.67722868E+00  0.54814858E+00  0.75330406E+00
  0.34100000E+03  0.67759996E+00  0.54829146E+00  0.75353474E+00
  0.34200000E+03  0.67757321E+00  0.54825514E+00  0.75221932E+00
  0.34300000E+03  0.67839827E+00  0.54862328E+00  0.75094750E+00
  0.34400000E+03  0.67772228E+00  0.54837922E+00  0.74906174E+00
  0.34500000E+03  0.67557797E+00  0.54646463E+00  0.75161249E+00
  0.34600000E+03  0.67759838E+00  0.54839529E+00  0.75227569E+00
  0.34700000E+03  0.67794689E+00  0.54853262E+00  0.75251325E+00
  0.34800000E+03  0.67792852E+00  0.54849904E+00  0.75120465E+00
  0.34900000E+03  0.67874599E+00  0.54886410E+00  0.74993811E+00
  0.35000000E+03  0.67809042E+00  0.54862215E+00  0.74922325E+00
  0.35100000E+03  0.67592816E+00  0.54669614E+00  0.75177685E+00
  0.35200000E+03  0.67796051E+00  0.54863523E+00  0.75244176E+00
  0.35300000E+03  0.67829607E+00  0.54876869E+00  0.75268209E+00
  0.35400000E+03  0.67828587E+00  0.54874006E+00  0.75137625E+00
  0.35500000E+03  0.67908942E+00  0.54909857E+00  0.75011137E+00
  0.35600000E+03  0.67843945E+00  0.54886212E+00  0.74822853E+00
  0.35700000E+03  0.67626529E+00  0.54692581E+00  0.75078862E+00
  0.35800000E+03  0.67830704E+00  0.54886882E+00  0.75145857E+00
  0.35900000E+03  0.67862102E+00  0.54899699E+00  0.75170532E+00
  0.36000000E+03  0.67861878E+00  0.54897089E+00  0.75040585E+00
  0.36100000E+03  0.67941532E+00  0.54932657E+00  0.74914589E+00
  0.36200000E+03  0.67878486E+00  0.54909202E+00  0.74839769E+00
  0.36300000E+03  0.67659365E+00  0.54714497E+00  0.75096044E+00
  0.36400000E+03  0.67864658E+00  0.54909588E+00  0.75163200E+00
  0.36500000E+03  0.67894858E+00  0.54922047E+00  0.75188136E+00
