 # t   L1   L2   Linf
  0.10000000E+01  0.43657011E-01  0.93748147E-01  0.58979326E+00
  0.20000000E+01  0.63172784E-01  0.11283947E+00  0.63080420E+00
  0.30000000E+01  0.78426190E-01  0.12613723E+00  0.64588449E+00
  0.40000000E+01  0.89605864E-01  0.13242263E+00  0.66373069E+00
  0.50000000E+01  0.99702195E-01  0.13705004E+00  0.59648268E+00
  0.60000000E+01  0.10953551E+00  0.14634458E+00  0.61499287E+00
  0.70000000E+01  0.12012049E+00  0.15683779E+00  0.63466654E+00
  0.80000000E+01  0.12857384E+00  0.16492716E+00  0.64567473E+00
  0.90000000E+01  0.13649195E+00  0.17133209E+00  0.65295849E+00
  0.10000000E+02  0.14189399E+00  0.17330146E+00  0.64360793E+00
  0.11000000E+02  0.14822759E+00  0.17527208E+00  0.61231061E+00
  0.12000000E+02  0.15509518E+00  0.18047224E+00  0.61846527E+00
  0.13000000E+02  0.16311249E+00  0.18718362E+00  0.63087025E+00
  0.14000000E+02  0.16954731E+00  0.19291004E+00  0.65226172E+00
  0.15000000E+02  0.17596735E+00  0.19847524E+00  0.67358830E+00
  0.16000000E+02  0.18089330E+00  0.20122626E+00  0.70059048E+00
  0.17000000E+02  0.18549270E+00  0.20279977E+00  0.65702222E+00
  0.18000000E+02  0.19153263E+00  0.20865504E+00  0.67487819E+00
  0.19000000E+02  0.19919254E+00  0.21592372E+00  0.69536033E+00
  0.20000000E+02  0.20468776E+00  0.22172578E+00  0.71067253E+00
  0.21000000E+02  0.20873536E+00  0.22391738E+00  0.72069006E+00
  0.22000000E+02  0.21140557E+00  0.22366559E+00  0.67656573E+00
  0.23000000E+02  0.21746048E+00  0.22901751E+00  0.68446617E+00
  0.24000000E+02  0.22268249E+00  0.23411277E+00  0.68793620E+00
  0.25000000E+02  0.22793669E+00  0.23830177E+00  0.68447622E+00
  0.26000000E+02  0.23225803E+00  0.24189715E+00  0.68175468E+00
  0.27000000E+02  0.23500328E+00  0.24209269E+00  0.67683008E+00
  0.28000000E+02  0.23730536E+00  0.24131779E+00  0.64355223E+00
  0.29000000E+02  0.24206341E+00  0.24488489E+00  0.63945554E+00
  0.30000000E+02  0.24616739E+00  0.24833953E+00  0.64846145E+00
  0.31000000E+02  0.25118670E+00  0.25141473E+00  0.65453878E+00
  0.32000000E+02  0.25451831E+00  0.25392354E+00  0.66503925E+00
  0.33000000E+02  0.25665816E+00  0.25340666E+00  0.62953298E+00
  0.34000000E+02  0.25870610E+00  0.25345460E+00  0.63597105E+00
  0.35000000E+02  0.26309778E+00  0.25662179E+00  0.64666433E+00
  0.36000000E+02  0.26667623E+00  0.25958974E+00  0.65672790E+00
  0.37000000E+02  0.27142812E+00  0.26262575E+00  0.66190757E+00
  0.38000000E+02  0.27381312E+00  0.26480109E+00  0.67072348E+00
  0.39000000E+02  0.27593807E+00  0.26425727E+00  0.63802477E+00
  0.40000000E+02  0.27784306E+00  0.26508564E+00  0.64298504E+00
  0.41000000E+02  0.28202362E+00  0.26813567E+00  0.65159711E+00
  0.42000000E+02  0.28519277E+00  0.27080453E+00  0.65958491E+00
  0.43000000E+02  0.28974889E+00  0.27385607E+00  0.66329527E+00
  0.44000000E+02  0.29191837E+00  0.27579906E+00  0.67031821E+00
  0.45000000E+02  0.29352867E+00  0.27538597E+00  0.64065240E+00
  0.46000000E+02  0.29568951E+00  0.27660947E+00  0.64448931E+00
  0.47000000E+02  0.29927056E+00  0.27963103E+00  0.65162125E+00
  0.48000000E+02  0.30215535E+00  0.28217020E+00  0.65817318E+00
  0.49000000E+02  0.30627026E+00  0.28530485E+00  0.66086125E+00
  0.50000000E+02  0.30805532E+00  0.28715117E+00  0.66629535E+00
  0.51000000E+02  0.30927516E+00  0.28701239E+00  0.63961576E+00
  0.52000000E+02  0.31082373E+00  0.28829748E+00  0.64211341E+00
  0.53000000E+02  0.31456243E+00  0.29133757E+00  0.64722100E+00
  0.54000000E+02  0.31666598E+00  0.29370264E+00  0.65155177E+00
  0.55000000E+02  0.32031999E+00  0.29683428E+00  0.65238536E+00
  0.56000000E+02  0.32146545E+00  0.29839181E+00  0.65533481E+00
  0.57000000E+02  0.32279101E+00  0.29847376E+00  0.63141836E+00
  0.58000000E+02  0.32358715E+00  0.29934589E+00  0.63923104E+00
  0.59000000E+02  0.32669723E+00  0.30221385E+00  0.64649212E+00
  0.60000000E+02  0.32839512E+00  0.30410308E+00  0.65103413E+00
  0.61000000E+02  0.33185804E+00  0.30702813E+00  0.65482607E+00
  0.62000000E+02  0.33186230E+00  0.30799953E+00  0.66357149E+00
  0.63000000E+02  0.33333976E+00  0.30820351E+00  0.67019184E+00
  0.64000000E+02  0.33330878E+00  0.30829223E+00  0.67441682E+00
  0.65000000E+02  0.33643677E+00  0.31083114E+00  0.67588081E+00
  0.66000000E+02  0.33670771E+00  0.31204870E+00  0.67859178E+00
  0.67000000E+02  0.34020446E+00  0.31466946E+00  0.68327726E+00
  0.68000000E+02  0.33994883E+00  0.31492211E+00  0.68667559E+00
  0.69000000E+02  0.34133790E+00  0.31521503E+00  0.68686946E+00
  0.70000000E+02  0.34019441E+00  0.31435076E+00  0.68578160E+00
  0.71000000E+02  0.34318895E+00  0.31655656E+00  0.68660650E+00
  0.72000000E+02  0.34328737E+00  0.31707577E+00  0.68892882E+00
  0.73000000E+02  0.34638357E+00  0.31943457E+00  0.68847525E+00
  0.74000000E+02  0.34544770E+00  0.31899338E+00  0.68570337E+00
  0.75000000E+02  0.34676081E+00  0.31939922E+00  0.68034523E+00
  0.76000000E+02  0.34531122E+00  0.31757950E+00  0.68071907E+00
  0.77000000E+02  0.34800280E+00  0.31957639E+00  0.68051999E+00
  0.78000000E+02  0.34758093E+00  0.31951417E+00  0.67753532E+00
  0.79000000E+02  0.35027222E+00  0.32175020E+00  0.67319460E+00
  0.80000000E+02  0.34919400E+00  0.32076772E+00  0.66601110E+00
  0.81000000E+02  0.35159598E+00  0.32258272E+00  0.66391651E+00
  0.82000000E+02  0.34988388E+00  0.32062704E+00  0.66237047E+00
  0.83000000E+02  0.35073437E+00  0.32064250E+00  0.65845746E+00
