 i       X     FEXACT   FI_UPWIND   ERR_UP
   0  -1.00000   0.00000    0.170870    0.170870
   1  -0.99900   0.00000    0.171206    0.171206
   2  -0.99800   0.00000    0.171542    0.171542
   3  -0.99700   0.00000    0.171880    0.171880
   4  -0.99600   0.00000    0.172219    0.172219
   5  -0.99500   0.00000    0.172559    0.172559
   6  -0.99400   0.00000    0.172901    0.172901
   7  -0.99300   0.00000    0.173243    0.173243
   8  -0.99200   0.00000    0.173587    0.173587
   9  -0.99100   0.00000    0.173931    0.173931
  10  -0.99000   0.00000    0.174277    0.174277
  11  -0.98899   0.00000    0.174624    0.174624
  12  -0.98799   0.00000    0.174973    0.174973
  13  -0.98699   0.00000    0.175322    0.175322
  14  -0.98599   0.00000    0.175673    0.175673
  15  -0.98499   0.00000    0.176024    0.176024
  16  -0.98399   0.00000    0.176377    0.176377
  17  -0.98299   0.00000    0.176731    0.176731
  18  -0.98199   0.00000    0.177086    0.177086
  19  -0.98099   0.00000    0.177442    0.177442
  20  -0.97999   0.00000    0.177799    0.177799
  21  -0.97899   0.00000    0.178157    0.178157
  22  -0.97799   0.00000    0.178516    0.178516
  23  -0.97699   0.00000    0.178877    0.178877
  24  -0.97599   0.00000    0.179238    0.179238
  25  -0.97499   0.00000    0.179601    0.179601
  26  -0.97399   0.00000    0.179964    0.179964
  27  -0.97299   0.00000    0.180329    0.180329
  28  -0.97199   0.00000    0.180694    0.180694
  29  -0.97099   0.00000    0.181061    0.181061
  30  -0.96999   0.00000    0.181428    0.181428
  31  -0.96898   0.00000    0.181796    0.181796
  32  -0.96798   0.00000    0.182166    0.182166
  33  -0.96698   0.00000    0.182536    0.182536
  34  -0.96598   0.00000    0.182908    0.182908
  35  -0.96498   0.00000    0.183280    0.183280
  36  -0.96398   0.00000    0.183653    0.183653
  37  -0.96298   0.00000    0.184028    0.184028
  38  -0.96198   0.00000    0.184403    0.184403
  39  -0.96098   0.00000    0.184780    0.184780
  40  -0.95998   0.00000    0.185157    0.185157
  41  -0.95898   0.00000    0.185535    0.185535
  42  -0.95798   0.00000    0.185915    0.185915
  43  -0.95698   0.00000    0.186295    0.186295
  44  -0.95598   0.00000    0.186676    0.186676
  45  -0.95498   0.00000    0.187059    0.187059
  46  -0.95398   0.00000    0.187442    0.187442
  47  -0.95298   0.00000    0.187826    0.187826
  48  -0.95198   0.00000    0.188211    0.188211
  49  -0.95098   0.00000    0.188597    0.188597
  50  -0.94998   0.00000    0.188984    0.188984
  51  -0.94897   0.00000    0.189372    0.189372
  52  -0.94797   0.00000    0.189761    0.189761
  53  -0.94697   0.00000    0.190150    0.190150
  54  -0.94597   0.00000    0.190541    0.190541
  55  -0.94497   0.00000    0.190932    0.190932
  56  -0.94397   0.00000    0.191324    0.191324
  57  -0.94297   0.00000    0.191717    0.191717
  58  -0.94197   0.00000    0.192111    0.192111
  59  -0.94097   0.00000    0.192505    0.192505
  60  -0.93997   0.00000    0.192901    0.192901
  61  -0.93897   0.00000    0.193297    0.193297
  62  -0.93797   0.00000    0.193694    0.193694
  63  -0.93697   0.00000    0.194092    0.194092
  64  -0.93597   0.00000    0.194491    0.194491
  65  -0.93497   0.00000    0.194891    0.194891
  66  -0.93397   0.00000    0.195291    0.195291
  67  -0.93297   0.00000    0.195692    0.195692
  68  -0.93197   0.00000    0.196094    0.196094
  69  -0.93097   0.00000    0.196496    0.196496
  70  -0.92996   0.00000    0.196900    0.196900
  71  -0.92896   0.00000    0.197304    0.197304
  72  -0.92796   0.00000    0.197709    0.197709
  73  -0.92696   0.00000    0.198114    0.198114
  74  -0.92596   0.00000    0.198520    0.198520
  75  -0.92496   0.00000    0.198927    0.198927
  76  -0.92396   0.00000    0.199335    0.199335
  77  -0.92296   0.00000    0.199744    0.199744
  78  -0.92196   0.00000    0.200153    0.200153
  79  -0.92096   0.00000    0.200563    0.200563
  80  -0.91996   0.00000    0.200974    0.200974
  81  -0.91896   0.00000    0.201386    0.201386
  82  -0.91796   0.00000    0.201798    0.201798
  83  -0.91696   0.00000    0.202211    0.202211
  84  -0.91596   0.00000    0.202625    0.202625
  85  -0.91496   0.00000    0.203039    0.203039
  86  -0.91396   0.00000    0.203455    0.203455
  87  -0.91296   0.00000    0.203870    0.203870
  88  -0.91196   0.00000    0.204287    0.204287
  89  -0.91096   0.00000    0.204704    0.204704
  90  -0.90995   0.00000    0.205122    0.205122
  91  -0.90895   0.00000    0.205540    0.205540
  92  -0.90795   0.00000    0.205959    0.205959
  93  -0.90695   0.00000    0.206379    0.206379
  94  -0.90595   0.00000    0.206799    0.206799
  95  -0.90495   0.00000    0.207220    0.207220
  96  -0.90395   0.00000    0.207642    0.207642
  97  -0.90295   0.00000    0.208064    0.208064
  98  -0.90195   0.00000    0.208486    0.208486
  99  -0.90095   0.00000    0.208909    0.208909
 100  -0.89995   0.00000    0.209333    0.209333
 101  -0.89895   0.00000    0.209757    0.209757
 102  -0.89795   0.00000    0.210182    0.210182
 103  -0.89695   0.00000    0.210607    0.210607
 104  -0.89595   0.00000    0.211033    0.211033
 105  -0.89495   0.00000    0.211460    0.211460
 106  -0.89395   0.00000    0.211886    0.211886
 107  -0.89295   0.00000    0.212314    0.212314
 108  -0.89195   0.00000    0.212742    0.212742
 109  -0.89095   0.00000    0.213170    0.213170
 110  -0.88994   0.00000    0.213599    0.213599
 111  -0.88894   0.00000    0.214028    0.214028
 112  -0.88794   0.00000    0.214458    0.214458
 113  -0.88694   0.00000    0.214889    0.214889
 114  -0.88594   0.00000    0.215319    0.215319
 115  -0.88494   0.00000    0.215751    0.215751
 116  -0.88394   0.00000    0.216182    0.216182
 117  -0.88294   0.00000    0.216614    0.216614
 118  -0.88194   0.00000    0.217047    0.217047
 119  -0.88094   0.00000    0.217480    0.217480
 120  -0.87994   0.00000    0.217913    0.217913
 121  -0.87894   0.00000    0.218347    0.218347
 122  -0.87794   0.00000    0.218781    0.218781
 123  -0.87694   0.00000    0.219216    0.219216
 124  -0.87594   0.00000    0.219651    0.219651
 125  -0.87494   0.00000    0.220087    0.220087
 126  -0.87394   0.00000    0.220522    0.220522
 127  -0.87294   0.00000    0.220959    0.220959
 128  -0.87194   0.00000    0.221395    0.221395
 129  -0.87094   0.00000    0.221832    0.221832
 130  -0.86993   0.00000    0.222269    0.222269
 131  -0.86893   0.00000    0.222707    0.222707
 132  -0.86793   0.00000    0.223145    0.223145
 133  -0.86693   0.00000    0.223583    0.223583
 134  -0.86593   0.00000    0.224022    0.224022
 135  -0.86493   0.00000    0.224461    0.224461
 136  -0.86393   0.00000    0.224900    0.224900
 137  -0.86293   0.00000    0.225340    0.225340
 138  -0.86193   0.00000    0.225780    0.225780
 139  -0.86093   0.00000    0.226220    0.226220
 140  -0.85993   0.00000    0.226660    0.226660
 141  -0.85893   0.00000    0.227101    0.227101
 142  -0.85793   0.00000    0.227542    0.227542
 143  -0.85693   0.00000    0.227983    0.227983
 144  -0.85593   0.00000    0.228424    0.228424
 145  -0.85493   0.00000    0.228866    0.228866
 146  -0.85393   0.00000    0.229308    0.229308
 147  -0.85293   0.00000    0.229750    0.229750
 148  -0.85193   0.00000    0.230192    0.230192
 149  -0.85093   0.00000    0.230635    0.230635
 150  -0.84992   0.00000    0.231077    0.231077
 151  -0.84892   0.00000    0.231520    0.231520
 152  -0.84792   0.00000    0.231963    0.231963
 153  -0.84692   0.00000    0.232406    0.232406
 154  -0.84592   0.00000    0.232850    0.232850
 155  -0.84492   0.00000    0.233293    0.233293
 156  -0.84392   0.00000    0.233737    0.233737
 157  -0.84292   0.00000    0.234181    0.234181
 158  -0.84192   0.00000    0.234625    0.234625
 159  -0.84092   0.00000    0.235069    0.235069
 160  -0.83992   0.00000    0.235513    0.235513
 161  -0.83892   0.00000    0.235958    0.235958
 162  -0.83792   0.00000    0.236402    0.236402
 163  -0.83692   0.00000    0.236846    0.236846
 164  -0.83592   0.00000    0.237291    0.237291
 165  -0.83492   0.00000    0.237735    0.237735
 166  -0.83392   0.00000    0.238179    0.238179
 167  -0.83292   0.00000    0.238623    0.238623
 168  -0.83192   0.00000    0.239068    0.239068
 169  -0.83092   0.00000    0.239512    0.239512
 170  -0.82991   0.00000    0.239956    0.239956
 171  -0.82891   0.00000    0.240400    0.240400
 172  -0.82791   0.00000    0.240845    0.240845
 173  -0.82691   0.00000    0.241289    0.241289
 174  -0.82591   0.00000    0.241733    0.241733
 175  -0.82491   0.00000    0.242178    0.242178
 176  -0.82391   0.00000    0.242622    0.242622
 177  -0.82291   0.00000    0.243066    0.243066
 178  -0.82191   0.00000    0.243510    0.243510
 179  -0.82091   0.00000    0.243955    0.243955
 180  -0.81991   0.00000    0.244399    0.244399
 181  -0.81891   0.00000    0.244843    0.244843
 182  -0.81791   0.00000    0.245287    0.245287
 183  -0.81691   0.00000    0.245732    0.245732
 184  -0.81591   0.00000    0.246176    0.246176
 185  -0.81491   0.00000    0.246620    0.246620
