 i       X     FEXACT   FI_LAXW   ERR_LAXW
 132  -0.86793   0.00000    0.235686    0.235686
 133  -0.86693   0.00000    0.228572    0.228572
 134  -0.86593   0.00000    0.221534    0.221534
 135  -0.86493   0.00000    0.214567    0.214567
 136  -0.86393   0.00000    0.207666    0.207666
 137  -0.86293   0.00000    0.200827    0.200827
 138  -0.86193   0.00000    0.194048    0.194048
 139  -0.86093   0.00000    0.187325    0.187325
 140  -0.85993   0.00000    0.180657    0.180657
 141  -0.85893   0.00000    0.174043    0.174043
 142  -0.85793   0.00000    0.167482    0.167482
 143  -0.85693   0.00000    0.160974    0.160974
 144  -0.85593   0.00000    0.154522    0.154522
 145  -0.85493   0.00000    0.148128    0.148128
 146  -0.85393   0.00000    0.141795    0.141795
 147  -0.85293   0.00000    0.135528    0.135528
 148  -0.85193   0.00000    0.129333    0.129333
 149  -0.85093   0.00000    0.123216    0.123216
 150  -0.84992   0.00000    0.117185    0.117185
 151  -0.84892   0.00000    0.111248    0.111248
 152  -0.84792   0.00000    0.105415    0.105415
 153  -0.84692   0.00000    0.099696    0.099696
 154  -0.84592   0.00000    0.094101    0.094101
 155  -0.84492   0.00000    0.088644    0.088644
 156  -0.84392   0.00000    0.083337    0.083337
 157  -0.84292   0.00000    0.078192    0.078192
 158  -0.84192   0.00000    0.073224    0.073224
 159  -0.84092   0.00000    0.068446    0.068446
 160  -0.83992   0.00000    0.063874    0.063874
 161  -0.83892   0.00000    0.059521    0.059521
 162  -0.83792   0.00000    0.055404    0.055404
 163  -0.83692   0.00000    0.051535    0.051535
 164  -0.83592   0.00000    0.047931    0.047931
 165  -0.83492   0.00000    0.044605    0.044605
 166  -0.83392   0.00000    0.041571    0.041571
 167  -0.83292   0.00000    0.038844    0.038844
 168  -0.83192   0.00000    0.036437    0.036437
 169  -0.83092   0.00000    0.034360    0.034360
 170  -0.82991   0.00000    0.032627    0.032627
 171  -0.82891   0.00000    0.031248    0.031248
 172  -0.82791   0.00000    0.030232    0.030232
 173  -0.82691   0.00000    0.029587    0.029587
 174  -0.82591   0.00000    0.029321    0.029321
 175  -0.82491   0.00000    0.029440    0.029440
 176  -0.82391   0.00000    0.029948    0.029948
 177  -0.82291   0.00000    0.030848    0.030848
 178  -0.82191   0.00000    0.032142    0.032142
 179  -0.82091   0.00000    0.033829    0.033829
 180  -0.81991   0.00000    0.035908    0.035908
 181  -0.81891   0.00000    0.038375    0.038375
 182  -0.81791   0.00000    0.041225    0.041225
 183  -0.81691   0.00000    0.044451    0.044451
 184  -0.81591   0.00000    0.048045    0.048045
 185  -0.81491   0.00000    0.051996    0.051996
 186  -0.81391   0.00000    0.056292    0.056292
 187  -0.81291   0.00000    0.060919    0.060919
 188  -0.81191   0.00000    0.065862    0.065862
 189  -0.81091   0.00000    0.071104    0.071104
 190  -0.80990   0.00000    0.076626    0.076626
 191  -0.80890   0.00000    0.082408    0.082408
 192  -0.80790   0.00000    0.088429    0.088429
 193  -0.80690   0.00000    0.094665    0.094665
 194  -0.80590   0.00000    0.101093    0.101093
 195  -0.80490   0.00000    0.107687    0.107687
 196  -0.80390   0.00000    0.114420    0.114420
 197  -0.80290   0.00000    0.121265    0.121265
 198  -0.80190   0.00000    0.128195    0.128195
 199  -0.80090   0.00000    0.135178    0.135178
 200  -0.79990   0.00046    0.142187    0.141730
 201  -0.79890   0.00054    0.149191    0.148655
 202  -0.79790   0.00062    0.156159    0.155538
 203  -0.79690   0.00073    0.163061    0.162335
 204  -0.79590   0.00084    0.169865    0.169025
 205  -0.79490   0.00097    0.176540    0.175571
 206  -0.79390   0.00113    0.183056    0.181929
 207  -0.79290   0.00130    0.189382    0.188085
 208  -0.79190   0.00150    0.195488    0.193985
 209  -0.79090   0.00172    0.201344    0.199620
 210  -0.78989   0.00198    0.206922    0.204946
 211  -0.78889   0.00228    0.212192    0.209913
 212  -0.78789   0.00260    0.217128    0.214524
 213  -0.78689   0.00299    0.221703    0.218709
 214  -0.78589   0.00341    0.225891    0.222482
 215  -0.78489   0.00388    0.229669    0.225793
 216  -0.78389   0.00444    0.233013    0.228577
 217  -0.78289   0.00503    0.235902    0.230873
 218  -0.78189   0.00569    0.238316    0.232624
 219  -0.78089   0.00648    0.240236    0.233753
 220  -0.77989   0.00732    0.241645    0.234329
 221  -0.77889   0.00831    0.242528    0.234221
 222  -0.77789   0.00935    0.242870    0.233524
 223  -0.77689   0.01050    0.242660    0.232161
 224  -0.77589   0.01186    0.241888    0.230025
 225  -0.77489   0.01329    0.240545    0.227257
 226  -0.77389   0.01497    0.238625    0.223659
 227  -0.77289   0.01671    0.236122    0.219410
 228  -0.77189   0.01863    0.233034    0.214400
 229  -0.77089   0.02089    0.229360    0.208473
 230  -0.76988   0.02322    0.225100    0.201880
 231  -0.76888   0.02594    0.220257    0.194315
 232  -0.76788   0.02875    0.214836    0.186083
 233  -0.76688   0.03182    0.208843    0.177022
 234  -0.76588   0.03538    0.202285    0.166902
 235  -0.76488   0.03904    0.195172    0.156133
 236  -0.76388   0.04327    0.187516    0.144247
 237  -0.76288   0.04760    0.179330    0.131733
 238  -0.76188   0.05228    0.170628    0.118348
 239  -0.76088   0.05767    0.161427    0.103758
 240  -0.75988   0.06315    0.151744    0.088592
 241  -0.75888   0.06944    0.141598    0.072161
 242  -0.75788   0.07581    0.131009    0.055201
 243  -0.75688   0.08264    0.119999    0.037356
 244  -0.75588   0.09044    0.108592    0.018156
 245  -0.75488   0.09829    0.096810    0.001481
 246  -0.75388   0.10667    0.084679    0.021992
 247  -0.75288   0.11617    0.072225    0.043947
 248  -0.75188   0.12570    0.059474    0.066222
 249  -0.75088   0.13645    0.046456    0.089997
 250  -0.74987   0.14719    0.033196    0.113995
 251  -0.74887   0.15854    0.019726    0.138817
 252  -0.74787   0.17129    0.006074    0.165215
 253  -0.74687   0.18394   -0.007729    0.191671
 254  -0.74587   0.19809   -0.021653    0.219745
 255  -0.74487   0.21208   -0.035668    0.247747
 256  -0.74387   0.22672   -0.049742    0.276464
 257  -0.74287   0.24300   -0.063844    0.306842
 258  -0.74187   0.25899   -0.077943    0.336933
 259  -0.74087   0.27669   -0.092008    0.368698
