 i       X     FEXACT   FI_FTCS   ERR_FTCS
   0   0.00000    0.00000              NaN               NaN
   1   0.00251    0.01573              NaN               NaN
   2   0.00501    0.03148              NaN               NaN
   3   0.00752    0.04721              NaN               NaN
   4   0.01003    0.06293              NaN               NaN
   5   0.01253    0.07864              NaN               NaN
   6   0.01504    0.09433              NaN               NaN
   7   0.01754    0.10999              NaN               NaN
   8   0.02005    0.12563              NaN               NaN
   9   0.02256    0.14124              NaN               NaN
  10   0.02506    0.15681              NaN               NaN
  11   0.02757    0.17234              NaN               NaN
  12   0.03008    0.18783              NaN               NaN
  13   0.03258    0.20327              NaN               NaN
  14   0.03509    0.21867              NaN               NaN
  15   0.03759    0.23400              NaN               NaN
  16   0.04010    0.24928              NaN               NaN
  17   0.04261    0.26450              NaN               NaN
  18   0.04511    0.27966              NaN               NaN
  19   0.04762    0.29474              NaN               NaN
  20   0.05013    0.30975              NaN               NaN
  21   0.05263    0.32468              NaN               NaN
  22   0.05514    0.33954              NaN               NaN
  23   0.05764    0.35431              NaN               NaN
  24   0.06015    0.36899              NaN               NaN
  25   0.06266    0.38358              NaN               NaN
  26   0.06516    0.39807              NaN               NaN
  27   0.06767    0.41247              NaN               NaN
  28   0.07018    0.42676              NaN               NaN
  29   0.07268    0.44095              NaN               NaN
  30   0.07519    0.45503              NaN               NaN
  31   0.07769    0.46899              NaN               NaN
  32   0.08020    0.48284              NaN               NaN
  33   0.08271    0.49657              NaN               NaN
  34   0.08521    0.51018              NaN               NaN
  35   0.08772    0.52366              NaN               NaN
  36   0.09023    0.53701              NaN               NaN
  37   0.09273    0.55022              NaN               NaN
  38   0.09524    0.56330              NaN               NaN
  39   0.09774    0.57624              NaN               NaN
  40   0.10025    0.58904              NaN               NaN
  41   0.10276    0.60169              NaN               NaN
  42   0.10526    0.61419              NaN               NaN
  43   0.10777    0.62654              NaN               NaN
  44   0.11028    0.63874              NaN               NaN
  45   0.11278    0.65078              NaN               NaN
  46   0.11529    0.66265              NaN               NaN
  47   0.11779    0.67436              NaN               NaN
  48   0.12030    0.68591              NaN               NaN
  49   0.12281    0.69728              NaN               NaN
  50   0.12531    0.70848              NaN               NaN
  51   0.12782    0.71950              NaN               NaN
  52   0.13033    0.73035              NaN               NaN
  53   0.13283    0.74102              NaN               NaN
  54   0.13534    0.75150              NaN               NaN
  55   0.13784    0.76179              NaN               NaN
  56   0.14035    0.77190              NaN               NaN
  57   0.14286    0.78181              NaN               NaN
  58   0.14536    0.79154              NaN               NaN
  59   0.14787    0.80106              NaN               NaN
  60   0.15038    0.81039              NaN               NaN
  61   0.15288    0.81955              NaN               NaN
