 i       X     FEXACT   FI_LAXW   ERR_LAXW
   0   0.00000   0.00000   0.19268   0.19268
   1   0.00251   0.01573   0.20811   0.19237
   2   0.00501   0.03148   0.22349   0.19201
   3   0.00752   0.04721   0.23881   0.19160
   4   0.01003   0.06293   0.25407   0.19113
   5   0.01253   0.07864   0.26927   0.19063
   6   0.01504   0.09433   0.28440   0.19007
   7   0.01754   0.10999   0.29946   0.18946
   8   0.02005   0.12563   0.31445   0.18881
   9   0.02256   0.14124   0.32935   0.18811
  10   0.02506   0.15681   0.34418   0.18737
  11   0.02757   0.17234   0.35892   0.18658
  12   0.03008   0.18783   0.37357   0.18574
  13   0.03258   0.20327   0.38812   0.18485
  14   0.03509   0.21867   0.40258   0.18392
  15   0.03759   0.23400   0.41694   0.18294
  16   0.04010   0.24928   0.43119   0.18191
  17   0.04261   0.26450   0.44534   0.18084
  18   0.04511   0.27966   0.45938   0.17972
  19   0.04762   0.29474   0.47330   0.17856
  20   0.05013   0.30975   0.48710   0.17735
  21   0.05263   0.32468   0.50079   0.17610
  22   0.05514   0.33954   0.51435   0.17481
  23   0.05764   0.35431   0.52778   0.17347
  24   0.06015   0.36899   0.54108   0.17209
  25   0.06266   0.38358   0.55425   0.17067
  26   0.06516   0.39807   0.56728   0.16921
  27   0.06767   0.41247   0.58017   0.16770
  28   0.07018   0.42676   0.59291   0.16615
  29   0.07268   0.44095   0.60551   0.16457
  30   0.07519   0.45503   0.61796   0.16294
  31   0.07769   0.46899   0.63026   0.16127
  32   0.08020   0.48284   0.64240   0.15956
  33   0.08271   0.49657   0.65439   0.15782
  34   0.08521   0.51018   0.66621   0.15604
  35   0.08772   0.52366   0.67787   0.15421
  36   0.09023   0.53701   0.68936   0.15236
  37   0.09273   0.55022   0.70068   0.15046
  38   0.09524   0.56330   0.71183   0.14853
  39   0.09774   0.57624   0.72280   0.14656
  40   0.10025   0.58904   0.73360   0.14456
  41   0.10276   0.60169   0.74421   0.14252
  42   0.10526   0.61419   0.75464   0.14045
  43   0.10777   0.62654   0.76489   0.13834
  44   0.11028   0.63874   0.77494   0.13620
  45   0.11278   0.65078   0.78481   0.13403
  46   0.11529   0.66265   0.79448   0.13183
  47   0.11779   0.67436   0.80395   0.12959
  48   0.12030   0.68591   0.81323   0.12732
  49   0.12281   0.69728   0.82230   0.12502
  50   0.12531   0.70848   0.83117   0.12269
  51   0.12782   0.71950   0.83983   0.12033
  52   0.13033   0.73035   0.84828   0.11793
  53   0.13283   0.74102   0.85653   0.11551
  54   0.13534   0.75150   0.86456   0.11306
  55   0.13784   0.76179   0.87237   0.11058
  56   0.14035   0.77190   0.87997   0.10807
  57   0.14286   0.78181   0.88734   0.10553
