 i       X     FEXACT   FI_LAXF   ERR_LAXF
   0   0.00000   0.00000   0.06273   0.06273
   1   0.00251   0.01573   0.06818   0.05245
   2   0.00501   0.03148   0.07361   0.04213
   3   0.00752   0.04721   0.07902   0.03181
   4   0.01003   0.06293   0.08442   0.02148
   5   0.01253   0.07864   0.08979   0.01114
   6   0.01504   0.09433   0.09514   0.00081
   7   0.01754   0.10999   0.10046   0.00953
   8   0.02005   0.12563   0.10576   0.01987
   9   0.02256   0.14124   0.11104   0.03020
  10   0.02506   0.15681   0.11628   0.04053
  11   0.02757   0.17234   0.12150   0.05084
  12   0.03008   0.18783   0.12669   0.06114
  13   0.03258   0.20327   0.13184   0.07143
  14   0.03509   0.21867   0.13697   0.08170
  15   0.03759   0.23400   0.14206   0.09195
  16   0.04010   0.24928   0.14711   0.10217
  17   0.04261   0.26450   0.15213   0.11237
  18   0.04511   0.27966   0.15711   0.12255
  19   0.04762   0.29474   0.16205   0.13269
  20   0.05013   0.30975   0.16695   0.14280
  21   0.05263   0.32468   0.17181   0.15287
  22   0.05514   0.33954   0.17663   0.16291
  23   0.05764   0.35431   0.18140   0.17290
  24   0.06015   0.36899   0.18613   0.18285
  25   0.06266   0.38358   0.19081   0.19276
  26   0.06516   0.39807   0.19545   0.20262
  27   0.06767   0.41247   0.20003   0.21243
  28   0.07018   0.42676   0.20457   0.22219
  29   0.07268   0.44095   0.20906   0.23189
  30   0.07519   0.45503   0.21349   0.24153
  31   0.07769   0.46899   0.21787   0.25112
  32   0.08020   0.48284   0.22220   0.26064
  33   0.08271   0.49657   0.22647   0.27010
  34   0.08521   0.51018   0.23069   0.27949
  35   0.08772   0.52366   0.23485   0.28881
  36   0.09023   0.53701   0.23895   0.29806
  37   0.09273   0.55022   0.24299   0.30723
  38   0.09524   0.56330   0.24697   0.31633
  39   0.09774   0.57624   0.25089   0.32535
  40   0.10025   0.58904   0.25475   0.33429
  41   0.10276   0.60169   0.25854   0.34315
  42   0.10526   0.61419   0.26227   0.35192
  43   0.10777   0.62654   0.26594   0.36061
  44   0.11028   0.63874   0.26954   0.36920
  45   0.11278   0.65078   0.27307   0.37771
  46   0.11529   0.66265   0.27653   0.38612
  47   0.11779   0.67436   0.27993   0.39443
  48   0.12030   0.68591   0.28326   0.40265
  49   0.12281   0.69728   0.28651   0.41077
  50   0.12531   0.70848   0.28970   0.41878
  51   0.12782   0.71950   0.29281   0.42669
  52   0.13033   0.73035   0.29585   0.43450
  53   0.13283   0.74102   0.29882   0.44220
  54   0.13534   0.75150   0.30171   0.44978
  55   0.13784   0.76179   0.30453   0.45726
  56   0.14035   0.77190   0.30728   0.46462
  57   0.14286   0.78181   0.30994   0.47187
  58   0.14536   0.79154   0.31253   0.47900
  59   0.14787   0.80106   0.31505   0.48601
  60   0.15038   0.81039   0.31748   0.49291
  61   0.15288   0.81955   0.31984   0.49971
  62   0.15539   0.82843   0.32211   0.50632
  63   0.15789   0.83718   0.32431   0.51288
  64   0.16040   0.84566   0.32643   0.51923
  65   0.16291   0.85399   0.32846   0.52553
  66   0.16541   0.86205   0.33041   0.53163
  67   0.16792   0.86995   0.33229   0.53766
  68   0.17043   0.87758   0.33408   0.54350
  69   0.17293   0.88505   0.33578   0.54927
  70   0.17544   0.89224   0.33741   0.55483
  71   0.17794   0.89927   0.33894   0.56032
  72   0.18045   0.90602   0.34040   0.56562
  73   0.18296   0.91259   0.34177   0.57082
  74   0.18546   0.91890   0.34306   0.57584
  75   0.18797   0.92502   0.34426   0.58076
  76   0.19048   0.93086   0.34538   0.58549
  77   0.19298   0.93652   0.34641   0.59012
  78   0.19549   0.94191   0.34735   0.59456
  79   0.19799   0.94710   0.34821   0.59889
  80   0.20050   0.95202   0.34898   0.60303
  81   0.20301   0.95673   0.34966   0.60707
  82   0.20551   0.96118   0.35026   0.61092
  83   0.20802   0.96542   0.35077   0.61465
  84   0.21053   0.96939   0.35120   0.61819
  85   0.21303   0.97315   0.35154   0.62161
  86   0.21554   0.97664   0.35179   0.62485
  87   0.21805   0.97992   0.35195   0.62797
  88   0.22055   0.98292   0.35203   0.63090
  89   0.22306   0.98571   0.35202   0.63369
  90   0.22556   0.98823   0.35192   0.63631
  91   0.22807   0.99053   0.35173   0.63879
  92   0.23058   0.99256   0.35146   0.64110
  93   0.23308   0.99436   0.35110   0.64326
  94   0.23559   0.99590   0.35065   0.64525
  95   0.23810   0.99721   0.35012   0.64709
  96   0.24060   0.99825   0.34950   0.64876
  97   0.24311   0.99906   0.34879   0.65028
  98   0.24561   0.99962   0.34799   0.65163
  99   0.24812   0.99993   0.34711   0.65282
 100   0.25063   0.99999   0.34615   0.65385
 101   0.25313   0.99981   0.34509   0.65471
 102   0.25564   0.99937   0.34396   0.65542
 103   0.25815   0.99869   0.34273   0.65596
 104   0.26065   0.99776   0.34143   0.65634
 105   0.26316   0.99658   0.34003   0.65655
 106   0.26566   0.99516   0.33856   0.65661
 107   0.26817   0.99349   0.33699   0.65649
 108   0.27068   0.99158   0.33535   0.65623
