 i       X     FEXACT   FI_UPWIND   ERR_UP
   0   0.00000   0.00000   0.11331   0.11331
   1   0.00251   0.01573   0.12273   0.10700
   2   0.00501   0.03148   0.13213   0.10065
   3   0.00752   0.04721   0.14148   0.09427
   4   0.01003   0.06293   0.15081   0.08787
   5   0.01253   0.07864   0.16009   0.08145
   6   0.01504   0.09433   0.16934   0.07501
   7   0.01754   0.10999   0.17854   0.06855
   8   0.02005   0.12563   0.18770   0.06207
   9   0.02256   0.14124   0.19682   0.05558
  10   0.02506   0.15681   0.20588   0.04907
  11   0.02757   0.17234   0.21490   0.04256
  12   0.03008   0.18783   0.22386   0.03603
  13   0.03258   0.20327   0.23276   0.02949
  14   0.03509   0.21867   0.24161   0.02294
  15   0.03759   0.23400   0.25040   0.01639
  16   0.04010   0.24928   0.25912   0.00984
  17   0.04261   0.26450   0.26778   0.00328
  18   0.04511   0.27966   0.27638   0.00328
  19   0.04762   0.29474   0.28490   0.00984
  20   0.05013   0.30975   0.29336   0.01639
  21   0.05263   0.32468   0.30174   0.02294
  22   0.05514   0.33954   0.31005   0.02949
  23   0.05764   0.35431   0.31828   0.03603
  24   0.06015   0.36899   0.32643   0.04256
  25   0.06266   0.38358   0.33450   0.04907
  26   0.06516   0.39807   0.34249   0.05558
  27   0.06767   0.41247   0.35039   0.06207
  28   0.07018   0.42676   0.35821   0.06855
  29   0.07268   0.44095   0.36594   0.07501
  30   0.07519   0.45503   0.37357   0.08145
  31   0.07769   0.46899   0.38112   0.08787
  32   0.08020   0.48284   0.38857   0.09427
  33   0.08271   0.49657   0.39592   0.10065
  34   0.08521   0.51018   0.40317   0.10700
  35   0.08772   0.52366   0.41033   0.11333
  36   0.09023   0.53701   0.41738   0.11962
  37   0.09273   0.55022   0.42433   0.12589
  38   0.09524   0.56330   0.43118   0.13213
  39   0.09774   0.57624   0.43791   0.13833
  40   0.10025   0.58904   0.44454   0.14450
  41   0.10276   0.60169   0.45106   0.15063
  42   0.10526   0.61419   0.45747   0.15673
  43   0.10777   0.62654   0.46376   0.16278
  44   0.11028   0.63874   0.46994   0.16880
  45   0.11278   0.65078   0.47600   0.17477
  46   0.11529   0.66265   0.48195   0.18070
  47   0.11779   0.67436   0.48777   0.18659
  48   0.12030   0.68591   0.49348   0.19243
  49   0.12281   0.69728   0.49906   0.19822
  50   0.12531   0.70848   0.50451   0.20397
  51   0.12782   0.71950   0.50985   0.20966
  52   0.13033   0.73035   0.51505   0.21530
  53   0.13283   0.74102   0.52013   0.22089
  54   0.13534   0.75150   0.52508   0.22642
  55   0.13784   0.76179   0.52990   0.23189
  56   0.14035   0.77190   0.53459   0.23731
  57   0.14286   0.78181   0.53914   0.24267
  58   0.14536   0.79154   0.54356   0.24797
  59   0.14787   0.80106   0.54785   0.25321
  60   0.15038   0.81039   0.55200   0.25839
  61   0.15288   0.81955   0.55601   0.26353
  62   0.15539   0.82843   0.55989   0.26854
  63   0.15789   0.83718   0.56363   0.27356
  64   0.16040   0.84566   0.56722   0.27844
  65   0.16291   0.85399   0.57068   0.28331
  66   0.16541   0.86205   0.57400   0.28805
  67   0.16792   0.86995   0.57717   0.29278
  68   0.17043   0.87758   0.58020   0.29738
  69   0.17293   0.88505   0.58309   0.30196
  70   0.17544   0.89224   0.58583   0.30641
  71   0.17794   0.89927   0.58842   0.31084
  72   0.18045   0.90602   0.59087   0.31514
  73   0.18296   0.91259   0.59318   0.31942
  74   0.18546   0.91890   0.59533   0.32356
  75   0.18797   0.92502   0.59734   0.32767
  76   0.19048   0.93086   0.59920   0.33166
  77   0.19298   0.93652   0.60091   0.33561
  78   0.19549   0.94191   0.60248   0.33943
  79   0.19799   0.94710   0.60389   0.34321
  80   0.20050   0.95202   0.60516   0.34686
  81   0.20301   0.95673   0.60627   0.35046
  82   0.20551   0.96118   0.60723   0.35395
  83   0.20802   0.96542   0.60805   0.35738
  84   0.21053   0.96939   0.60871   0.36068
  85   0.21303   0.97315   0.60922   0.36393
  86   0.21554   0.97664   0.60958   0.36706
  87   0.21805   0.97992   0.60979   0.37013
  88   0.22055   0.98292   0.60985   0.37308
  89   0.22306   0.98571   0.60975   0.37596
  90   0.22556   0.98823   0.60951   0.37872
  91   0.22807   0.99053   0.60911   0.38141
  92   0.23058   0.99256   0.60857   0.38399
  93   0.23308   0.99436   0.60787   0.38649
  94   0.23559   0.99590   0.60702   0.38888
  95   0.23810   0.99721   0.60602   0.39119
  96   0.24060   0.99825   0.60487   0.39338
  97   0.24311   0.99906   0.60357   0.39549
  98   0.24561   0.99962   0.60212   0.39750
  99   0.24812   0.99993   0.60052   0.39941
 100   0.25063   0.99999   0.59878   0.40122
 101   0.25313   0.99981   0.59688   0.40292
 102   0.25564   0.99937   0.59484   0.40454
 103   0.25815   0.99869   0.59265   0.40604
 104   0.26065   0.99776   0.59031   0.40746
 105   0.26316   0.99658   0.58782   0.40876
 106   0.26566   0.99516   0.58519   0.40997
 107   0.26817   0.99349   0.58242   0.41107
 108   0.27068   0.99158   0.57950   0.41208
 109   0.27318   0.98941   0.57643   0.41297
 110   0.27569   0.98701   0.57323   0.41378
 111   0.27820   0.98435   0.56988   0.41447
 112   0.28070   0.98146   0.56639   0.41507
 113   0.28321   0.97831   0.56276   0.41555
 114   0.28571   0.97494   0.55899   0.41595
 115   0.28822   0.97130   0.55508   0.41622
 116   0.29073   0.96745   0.55103   0.41642
 117   0.29323   0.96333   0.54685   0.41648
 118   0.29574   0.95900   0.54253   0.41647
 119   0.29825   0.95440   0.53808   0.41632
 120   0.30075   0.94960   0.53349   0.41611
 121   0.30326   0.94453   0.52877   0.41575
 122   0.30576   0.93926   0.52392   0.41534
 123   0.30827   0.93372   0.51894   0.41477
 124   0.31078   0.92798   0.51383   0.41415
 125   0.31328   0.92198   0.50860   0.41338
 126   0.31579   0.91579   0.50324   0.41256
